knox,38,20,10,12,18,28,52,36,32,22,,,,,,25,2
whirr,8,4,10,10,14,16,70,64,36,34,68,90,,,,25,2
fluo,30,32,30,16,40,6,4,26,4,24,20,24,,,,24,2
skywalking,6,4,48,16,10,10,0,24,22,58,46,32,88,124,,23,2
oodt,6,14,2,8,28,44,32,92,,,,,,,,21,2
juneau,32,32,14,20,18,16,4,12,20,62,32,26,38,,,20,2
mrunit,20,14,6,0,8,12,16,16,12,16,48,64,,,,15,2
commonsrdf,86,68,14,8,12,2,14,18,0,0,24,14,46,0,0,14,2
muse,18,6,2,2,8,14,,,,,,,,,,7,2
nuvem,4,12,12,6,2,8,14,8,4,6,2,4,2,6,0,6,2
omid,12,22,12,4,6,0,0,18,0,6,6,2,10,12,0,6,2
mod_ftp,18,0,0,4,6,10,0,8,0,0,0,6,16,12,,5,2
vxquery,14,6,6,20,16,2,0,0,0,0,0,0,0,0,0,0,2
harmony,2310,358,192,198,272,302,184,360,780,712,732,920,1112,1020,1370,712,1
tuscany,160,98,148,174,272,506,566,526,512,542,332,504,498,474,442,474,1
shindig,156,306,440,600,482,636,464,332,370,278,562,448,280,426,676,440,1
geode,754,580,362,344,248,380,404,740,516,516,514,436,418,338,432,432,1
netbeans,516,336,218,116,204,186,306,568,162,342,652,682,780,650,1798,342,1
servicemix,80,176,268,282,296,328,384,450,398,342,258,312,414,348,350,328,1
cxf,250,284,232,188,148,164,252,256,280,502,808,728,574,608,518,280,1
impala,10,50,104,86,224,266,344,402,276,270,222,252,262,292,326,262,1
airflow,142,258,254,182,186,250,358,246,312,378,182,164,250,310,252,250,1
trafodion,196,360,250,154,224,266,176,706,380,224,362,276,362,98,144,250,1
qpid,262,250,282,238,384,256,146,272,244,142,194,202,188,60,248,244,1
jackrabbit,86,152,46,144,250,312,274,256,340,162,202,232,264,266,222,232,1
hawq,316,398,190,196,224,208,204,158,574,336,404,224,230,522,360,230,1
roller,110,152,140,188,260,222,234,300,206,306,194,124,218,158,148,194,1
deltaspike,274,310,178,206,64,206,218,170,256,66,170,86,34,270,120,178,1
felix,322,126,194,118,86,136,148,246,196,168,146,318,156,168,296,168,1
jspwiki,54,166,198,190,226,148,262,184,160,148,142,134,134,166,180,166,1
sling,104,154,156,170,160,158,210,214,190,156,124,72,98,148,170,156,1
drill,726,218,78,56,76,164,86,64,88,140,222,164,164,188,70,140,1
thrift,120,74,48,132,146,68,64,186,196,220,214,132,142,80,98,132,1
river,200,122,166,150,174,74,164,190,58,66,134,20,26,14,48,122,1
aurora,0,76,96,102,102,158,118,112,100,152,180,158,132,360,232,118,1
mynewt,88,38,26,156,116,104,214,118,82,94,134,200,166,308,254,118,1
guacamole,12,4,54,94,114,116,72,110,126,132,124,188,82,126,132,114,1
dolphinscheduler,60,8,116,34,58,32,174,190,222,120,110,100,158,76,218,110,1
druid,56,108,102,148,114,70,86,126,104,110,152,162,68,150,182,110,1
shiro,108,112,46,50,190,134,80,146,88,138,166,80,126,78,98,108,1
brooklyn,66,132,100,134,100,106,106,126,80,108,76,226,208,172,186,108,1
uima,36,82,76,78,102,120,118,106,134,118,154,102,104,150,118,106,1
stanbol,208,22,100,78,70,50,188,76,106,98,100,80,130,170,168,100,1
ode,134,94,102,66,76,92,60,132,56,92,116,160,108,158,96,96,1
shardingsphere,126,26,54,94,40,62,30,46,110,30,208,114,176,122,96,94,1
esme,90,86,118,136,62,62,50,104,80,108,126,190,128,38,16,90,1
iotdb,90,80,82,62,26,30,86,76,116,88,112,138,68,132,96,86,1
openwhisk,86,130,60,32,70,174,138,44,90,38,36,36,126,142,82,82,1
