,project_name,project_aliase,project_status
610,CloudStack,cloudstack,graduated
617,Amaterasu,amaterasu,retired
620,Any23,any23,graduated
621,Hermes,pubscribe,graduated
627,OpenNLP,opennlp,graduated
630,iota,iota,retired
634,Giraph,giraph,graduated
635,jclouds,jclouds,graduated
637,SystemML,systemml,graduated
639,Hudi,hudi,graduated
643,Lucene.NET,lucenenet,graduated
665,Heraldry,heraldry,retired
669,DataSketches,datasketches,graduated
681,DolphinScheduler,dolphinscheduler,graduated
724,Flex,flex,graduated
735,Lens,lens,graduated
749,Rave,rave,graduated
754,Flume,flume,graduated
769,Druid,druid,graduated
786,Bloodhound,bloodhound,graduated
802,iBATIS,ibatis,graduated
818,NiFi,nifi,graduated
893,Aries,aries,graduated
911,cTAKES,ctakes,graduated
948,Johnzon,johnzon,graduated
974,MADlib,madlib,graduated
1053,Subversion,subversion,graduated
1088,JDO,jdo,graduated
1097,ServiceMix,servicemix,graduated
1107,Muse,muse,graduated
1141,Onami,onami,graduated
1145,Storm,storm,graduated
1215,Concerted,concerted,retired
1276,WebWork 2,struts,graduated
1336,Olingo,olingo,graduated
1342,TripleSoup,triplesoup,retired
1348,mod_ftp,mod_ftp,graduated
1422,Harmony,harmony,graduated
1570,Composer,composer,retired
1694,RCF,rcf,retired
1989,CarbonData,carbondata,graduated
2027,Spark,spark,graduated
2188,S4,s4,retired
2248,Wicket,wicket,graduated
2314,Beam,beam,graduated
2374,Brooklyn,brooklyn,graduated
2421,Warble,warble,retired
2481,Nutch,nutch,graduated
2585,RocketMQ,rocketmq,graduated
2720,Climate Model Diagnostic Analyzer,cmda,retired
3112,Kabuki,kabuki,retired
3138,MetaModel,metamodel,graduated
3381,PredictionIO,predictionio,graduated
3471,OGNL,commons,graduated
4044,Directory,directory,graduated
4066,CommonsRDF,commonsrdf,graduated
