openwebbeans,jena,etch,wave,shindig,droids,sanselan,rya,skywalking,stdcxx,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,nmaven,hama,zipkin,xap,datasketches,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,freemarker,ambari,samoa,singa,openoffice,guacamole,sis,photark,tika,unomi,tashi,shardingsphere,pinot,odf,allura,imperius,myriad,wink,juddi,gora,airflow,daffodil,cordova,madlib,trafficserver,tez,iota,iotdb,yoko,gobblin,asterixdb,edgent,amaterasu,griffin,helix,mrql,giraph,commonsrdf,omid,river,pivot,batchee,deltacloud,gearpump,weex,slider,tephra,clerezza,bluesky,twill,kato,tuscany,druid,systemml,npanday,graffito,juneau,tvm,openwhisk,gossip,manifoldcf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,subversion,pulsar,apisix,lucy,nifi,predictionio,knox,trafodion,s2graph,buildr,datafu,any23,taverna,joshua,ranger,hudi,ariatosca,superset,solr,kalumet,ibatis,hawq,aries,jackrabbit,thrift,syncope,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,lens,uima,drill,jclouds,falcon,trafficcontrol,celix,htrace,sling,kafka,hise,bookkeeper,storm,cloudstack,metron,brooklyn,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,click,stratos,cassandra,tinkerpop,johnzon,carbondata,fluo,xmlbeans,calcite,atlas,zeppelin,warble,directory,kitty,aurora,synapse,openmeetings,bloodhound,harmony,bigtop,nuvem,agila,empire,oltu,oodt,jdo,sqoop,roller,olio,flex,esme,qpid,isis,mod_ftp,abdera,felix,openaz,hdt,chemistry,lokahi,marmotta,geode,pubscribe,cmda,deltaspike,servicemix,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,fineract,beam,ace,iceberg,pdfbox,plc4x,lucenenet,kylin,phoenix,ant,triplesoup,flume,crunch,depot,myfaces,accumulo,airavata,mynewt,ripple,olingo,directmemory,stanbol,eagle,spark,groovy,rocketmq,lenya,geronimo,stonehenge,rcf,impala,netbeans,dubbo,ftpserver,oozie,apex,couchdb,whirr,provisionr,parquet,cxf,activemq,concerted,alois,ode,rave,commons,openjpa,pirk,metamodel,ivy,beehive,cayenne,struts,spamassassin,kudu,socialsite,corinthia,tapestry,ctakes,muse,avalon,onami,nutch,kabuki
18,190,6,122,274,10,6,18,24,16,70,34,32,6,46,12,-1,20,10,76,24,36,0,30,22,28,0,116,26,36,26,2,14,1700,96,0,0,42,6,0,46,0,16,28,16,60,18,-1,12,188,18,414,16,-1,24,24,78,30,8,198,44,68,0,18,2,100,18,0,150,72,2,10,42,72,44,4,34,12,16,16,344,92,70,78,12,10,40,58,22,26,2,26,14,-1,-1,36,16,0,2,-1,64,-1,40,-1,80,14,582,4,74,4,82,56,114,26,162,30,12,134,0,-1,112,74,184,160,-1,0,18,26,12,94,106,4,28,-1,246,64,50,-1,40,222,6,0,176,152,10,30,444,2402,76,110,198,130,408,22,-1,8,48,526,278,186,26,256,6,30,104,26,372,0,16,6,120,64,308,84,440,74,6,2,4,2,100,-1,54,264,2,446,54,264,36,0,10,252,0,4,108,0,24,490,-1,6,130,300,46,10,2,496,14,150,104,448,24,64,30,46,50,256,-1,50,-1,194,-1,2,-1,-1,96,74,0,-1,48,80,158,-1,-1,114,162,148,84,-1,258,416,110,2,88,-1,-1,50,-1,48,240,326,-1,-1,86,96,-1,110,24,14,8,88,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1
46,184,8,90,284,10,14,40,16,10,112,22,30,30,52,12,-1,16,14,-1,8,52,2,26,48,6,6,120,88,44,66,14,2,2114,88,16,0,32,0,2,100,4,24,38,2,32,14,-1,40,288,2,316,52,-1,12,4,88,24,26,92,22,32,26,36,8,-1,0,0,36,64,18,48,22,104,32,6,26,8,0,14,478,86,64,2,16,20,6,64,18,12,20,28,6,-1,-1,10,24,0,6,-1,36,-1,18,-1,94,32,282,16,62,4,68,44,14,118,232,56,0,176,0,-1,552,38,320,160,-1,0,10,48,22,74,76,12,66,-1,-1,108,82,-1,26,78,2,52,160,186,4,92,338,2468,364,70,26,228,396,8,-1,30,40,688,656,182,6,216,4,52,66,6,646,0,50,4,82,72,174,86,560,96,4,14,2,18,-1,-1,-1,132,32,724,68,202,44,0,14,154,2,18,-1,0,56,468,-1,40,204,352,36,12,12,552,2,176,134,534,16,74,26,20,98,228,-1,118,-1,102,-1,4,-1,-1,42,54,14,-1,64,50,130,-1,-1,-1,342,-1,84,-1,248,68,140,6,74,-1,-1,30,-1,74,218,362,-1,-1,42,70,-1,134,-1,18,10,126,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
24,238,4,118,164,12,36,60,60,16,78,68,114,22,112,12,-1,8,6,-1,6,0,2,4,16,6,0,114,22,52,36,14,2,1956,80,0,2,16,32,0,28,2,42,28,0,34,58,-1,18,310,14,456,12,-1,30,0,70,32,14,142,26,0,18,8,2,-1,0,0,26,-1,0,64,8,114,54,26,54,6,40,6,474,70,108,16,32,44,12,14,10,14,18,62,30,-1,-1,12,8,0,0,-1,102,-1,50,-1,112,12,224,22,104,0,-1,24,18,50,122,52,4,252,0,-1,292,176,94,222,-1,2,14,52,2,92,26,14,30,-1,-1,102,64,-1,28,186,4,8,132,386,0,106,450,2486,202,60,-1,198,386,70,-1,20,88,406,306,122,2,-1,4,-1,108,56,480,0,22,2,108,80,112,112,590,70,6,68,26,2,-1,-1,-1,274,14,1562,102,118,24,0,26,156,6,30,-1,0,80,380,-1,2,118,292,74,0,-1,354,36,106,84,-1,4,210,34,30,106,268,-1,68,-1,224,-1,-1,-1,-1,76,78,10,-1,-1,58,38,-1,-1,-1,410,-1,46,-1,192,140,296,0,104,-1,-1,16,-1,-1,344,362,-1,-1,54,130,-1,222,-1,16,46,92,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1
60,198,6,108,396,4,2,104,20,10,18,38,102,62,142,28,-1,36,4,-1,0,20,2,24,2,4,12,122,18,4,48,2,0,3232,116,6,4,16,8,6,158,0,20,8,2,24,46,-1,24,140,14,604,52,-1,88,6,78,110,2,208,34,0,4,38,2,-1,18,8,102,-1,0,62,26,76,40,20,68,4,26,20,322,138,328,30,26,30,20,44,6,12,26,34,0,-1,-1,10,22,0,20,-1,72,-1,16,-1,112,-1,186,20,22,4,-1,10,16,84,156,52,6,390,2,-1,158,194,150,134,-1,0,50,68,6,10,198,48,118,-1,-1,112,146,-1,26,150,2,30,108,258,0,52,-1,-1,206,90,-1,228,-1,76,-1,64,28,-1,476,44,18,-1,28,-1,196,62,356,0,40,2,184,60,148,90,530,74,6,4,20,18,-1,-1,-1,194,38,-1,96,144,12,6,20,120,0,16,-1,12,-1,470,-1,6,60,218,108,26,-1,-1,12,100,62,-1,12,132,44,40,44,-1,-1,44,-1,318,-1,-1,-1,-1,48,82,18,-1,-1,114,100,-1,-1,-1,212,-1,24,-1,196,402,218,0,114,-1,-1,70,-1,-1,560,336,-1,-1,76,106,-1,258,-1,10,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,158,2,72,400,14,4,60,40,20,62,32,84,2,54,44,-1,28,6,-1,2,46,0,6,6,6,4,94,40,10,8,2,10,2736,94,2,6,8,18,0,108,18,10,10,0,18,24,-1,38,156,10,-1,14,-1,66,44,106,28,20,188,14,44,8,38,2,-1,8,4,106,-1,16,30,30,48,66,0,24,6,2,12,226,92,42,18,24,30,236,32,8,36,34,28,8,-1,-1,2,36,0,8,-1,86,-1,36,-1,76,-1,304,0,46,0,-1,24,16,88,176,44,8,-1,0,-1,412,104,180,122,-1,2,-1,60,40,12,108,56,74,-1,-1,116,218,-1,28,98,6,12,86,156,6,104,-1,-1,134,58,-1,336,-1,92,-1,44,18,-1,336,106,4,-1,16,-1,48,46,512,0,72,0,104,10,184,134,694,26,2,10,16,10,-1,-1,-1,118,14,-1,88,170,24,0,20,100,42,0,-1,2,-1,392,-1,24,174,144,-1,6,-1,-1,32,70,142,-1,6,22,56,20,74,-1,-1,74,-1,-1,-1,-1,-1,-1,40,118,40,-1,-1,64,176,-1,-1,-1,284,-1,50,-1,204,582,216,10,118,-1,-1,24,-1,-1,542,186,-1,-1,108,158,-1,302,-1,26,-1,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,150,4,238,414,2,2,44,26,20,40,58,-1,2,182,40,-1,24,2,-1,0,20,-1,22,8,28,0,90,24,12,34,36,2,2134,148,0,0,2,6,2,100,6,20,66,20,26,32,-1,20,132,8,-1,26,-1,26,10,126,12,10,198,2,20,18,90,12,-1,14,2,16,-1,0,66,18,52,62,0,10,2,2,40,430,100,10,18,8,8,180,36,14,22,54,14,6,-1,-1,16,62,0,2,-1,34,-1,36,-1,92,-1,228,0,20,2,-1,36,18,56,198,70,4,-1,2,-1,98,144,168,94,-1,0,-1,14,58,8,68,16,122,-1,-1,100,88,-1,40,82,0,0,52,154,0,88,-1,-1,298,194,-1,-1,-1,48,-1,60,18,-1,-1,90,12,-1,22,-1,78,130,734,0,164,12,132,46,170,152,670,60,2,28,36,58,-1,-1,-1,94,28,-1,186,188,18,2,16,250,32,0,-1,14,-1,372,-1,52,54,256,-1,4,-1,-1,24,48,118,-1,6,42,62,34,30,-1,-1,176,-1,-1,-1,-1,-1,-1,72,190,10,-1,-1,44,136,-1,-1,-1,534,-1,14,-1,204,538,196,12,-1,-1,-1,80,-1,-1,604,480,-1,-1,132,-1,-1,-1,-1,16,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,186,0,86,206,4,2,42,12,20,88,52,-1,8,98,-1,-1,14,2,-1,2,50,-1,18,8,30,4,126,28,6,22,16,12,1438,98,0,8,20,20,2,94,0,8,44,8,36,20,-1,48,158,12,-1,18,-1,100,0,40,4,0,-1,6,0,44,-1,10,-1,22,10,24,-1,8,62,22,54,38,28,18,104,12,22,420,90,124,4,18,18,162,60,12,12,28,6,12,-1,-1,2,68,0,0,-1,40,-1,34,-1,54,-1,178,6,34,2,-1,4,22,68,208,54,10,-1,30,-1,186,114,188,138,-1,2,-1,26,24,24,62,6,100,-1,-1,58,108,-1,68,120,28,6,88,168,0,-1,-1,-1,286,176,-1,-1,-1,42,-1,94,36,-1,-1,118,28,-1,-1,-1,104,40,588,0,116,0,98,72,-1,172,768,138,2,10,28,2,-1,-1,-1,156,6,-1,120,158,24,2,66,178,20,4,-1,44,-1,344,-1,24,34,284,-1,28,-1,-1,2,134,98,-1,8,44,68,46,36,-1,-1,78,-1,-1,-1,-1,-1,-1,84,96,12,-1,-1,106,-1,-1,-1,-1,380,-1,12,-1,226,840,130,12,-1,-1,-1,48,-1,-1,418,-1,-1,-1,84,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,270,28,86,286,4,2,40,184,24,70,100,-1,62,-1,-1,-1,6,2,-1,0,18,-1,26,54,52,16,80,18,0,12,10,16,2008,62,2,2,2,12,0,126,0,24,32,14,72,6,-1,28,250,6,-1,58,-1,326,2,98,10,14,-1,16,2,52,-1,30,-1,36,10,4,-1,6,56,34,78,18,6,78,12,40,6,394,60,70,22,6,48,236,136,6,30,52,8,14,-1,-1,46,66,0,0,-1,198,-1,16,-1,128,-1,266,2,98,2,-1,32,8,46,236,80,6,-1,26,-1,238,-1,248,70,-1,0,-1,32,30,0,116,32,-1,-1,-1,104,128,-1,52,160,0,14,84,250,0,-1,-1,-1,328,98,-1,-1,-1,50,-1,48,46,-1,-1,118,16,-1,-1,-1,142,18,932,0,144,0,164,78,-1,-1,1038,-1,6,18,16,2,-1,-1,-1,194,6,-1,76,90,56,16,62,90,98,2,-1,0,-1,340,-1,0,52,318,-1,32,-1,-1,8,80,66,-1,4,256,56,50,62,-1,-1,116,-1,-1,-1,-1,-1,-1,110,202,42,-1,-1,86,-1,-1,-1,-1,340,-1,16,-1,200,412,-1,20,-1,-1,-1,-1,-1,-1,484,-1,-1,-1,94,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,182,6,52,350,24,20,24,2,24,38,206,-1,44,-1,-1,-1,32,18,-1,0,26,-1,26,12,52,0,144,32,108,48,4,6,1890,102,0,18,2,4,4,100,28,40,66,4,6,60,-1,-1,162,6,-1,60,-1,148,6,100,8,2,-1,38,18,52,-1,2,-1,0,2,12,-1,2,50,12,66,30,0,52,24,10,0,390,190,106,20,2,-1,38,92,0,36,34,4,2,-1,-1,4,32,0,4,-1,-1,-1,108,-1,54,-1,80,0,-1,2,-1,52,36,88,280,38,46,-1,0,-1,324,-1,192,48,-1,0,-1,34,14,2,32,48,-1,-1,-1,114,146,-1,68,128,4,6,112,-1,2,-1,-1,-1,348,174,-1,-1,-1,14,-1,44,-1,-1,-1,110,14,-1,-1,-1,138,94,280,0,-1,2,360,122,-1,-1,690,-1,0,6,18,6,-1,-1,-1,106,16,-1,20,74,10,10,96,160,24,6,-1,0,-1,244,-1,0,252,210,-1,4,-1,-1,16,56,58,-1,0,162,50,56,86,-1,-1,82,-1,-1,-1,-1,-1,-1,144,214,2,-1,-1,156,-1,-1,-1,-1,226,-1,0,-1,224,448,-1,28,-1,-1,-1,-1,-1,-1,502,-1,-1,-1,134,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,72,488,0,12,36,-1,12,24,66,-1,2,-1,-1,-1,68,12,-1,0,24,-1,32,40,28,0,168,18,42,48,14,12,-1,78,0,6,8,2,2,66,68,20,48,8,16,54,-1,-1,196,12,-1,102,-1,-1,12,92,44,36,-1,28,2,22,-1,2,-1,0,0,46,-1,12,-1,14,74,20,0,44,4,2,0,342,68,36,14,8,-1,42,68,6,24,28,18,0,-1,-1,48,18,0,4,-1,-1,-1,84,-1,-1,-1,124,6,-1,2,-1,88,16,68,-1,10,128,-1,0,-1,262,-1,156,60,-1,2,-1,14,4,4,76,26,-1,-1,-1,112,54,-1,70,68,12,20,124,-1,0,-1,-1,-1,-1,146,-1,-1,-1,80,-1,46,-1,-1,-1,-1,10,-1,-1,-1,232,70,-1,0,-1,2,180,66,-1,-1,1036,-1,0,0,6,26,-1,-1,-1,108,4,-1,10,172,28,-1,38,238,20,20,-1,0,-1,298,-1,0,104,292,-1,6,-1,-1,60,200,-1,-1,2,36,28,-1,94,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,198,4,-1,-1,132,-1,-1,-1,-1,-1,-1,12,-1,266,1296,-1,20,-1,-1,-1,-1,-1,-1,390,-1,-1,-1,80,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,68,214,12,8,28,-1,14,30,166,-1,50,-1,-1,-1,42,10,-1,2,0,-1,20,10,22,0,156,42,64,96,2,0,-1,140,2,24,42,0,6,-1,6,36,18,6,0,50,-1,-1,220,30,-1,88,-1,-1,32,112,24,4,-1,8,2,20,-1,26,-1,6,0,10,-1,0,-1,12,64,30,34,42,12,28,2,294,46,100,10,6,-1,246,44,0,24,26,12,12,-1,-1,40,4,0,2,-1,-1,-1,42,-1,-1,-1,116,0,-1,2,-1,30,18,92,-1,20,78,-1,12,-1,302,-1,220,104,-1,0,-1,28,12,52,84,40,-1,-1,-1,72,52,-1,52,174,16,20,160,-1,10,-1,-1,-1,-1,174,-1,-1,-1,60,-1,66,-1,-1,-1,-1,4,-1,-1,-1,-1,44,-1,2,-1,0,-1,-1,-1,-1,-1,-1,0,0,56,8,-1,-1,-1,252,12,-1,18,192,36,-1,44,100,16,4,-1,0,-1,492,-1,20,-1,212,-1,132,-1,-1,36,76,-1,-1,44,406,42,-1,124,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,150,28,-1,-1,100,-1,-1,-1,-1,-1,-1,8,-1,246,1106,-1,16,-1,-1,-1,-1,-1,-1,390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,112,274,26,0,12,-1,8,36,-1,-1,10,-1,-1,-1,24,14,-1,0,16,-1,20,16,12,0,110,34,28,100,6,2,-1,78,2,6,32,2,0,-1,12,48,38,2,6,18,-1,-1,296,18,-1,42,-1,-1,0,66,30,8,-1,10,8,24,-1,2,-1,8,0,0,-1,12,-1,12,90,26,4,22,8,16,0,424,96,-1,0,28,-1,218,280,0,18,32,18,2,-1,-1,28,24,0,6,-1,-1,-1,40,-1,-1,-1,90,0,-1,16,-1,46,6,76,-1,24,50,-1,0,-1,148,-1,-1,48,-1,0,-1,32,0,18,44,38,-1,-1,-1,106,82,-1,142,94,12,20,272,-1,6,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,0,-1,-1,-1,-1,60,-1,0,-1,4,-1,-1,-1,-1,-1,-1,0,14,22,22,-1,-1,-1,106,2,-1,26,152,18,-1,56,154,24,2,-1,32,-1,414,-1,0,-1,334,-1,40,-1,-1,30,28,-1,-1,36,-1,38,-1,70,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,80,0,-1,-1,122,-1,-1,-1,-1,-1,-1,68,-1,180,520,-1,26,-1,-1,-1,-1,-1,-1,364,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,6,172,0,36,26,-1,24,34,-1,-1,2,-1,-1,-1,12,0,-1,2,128,-1,12,18,2,2,104,44,48,24,4,6,-1,138,8,20,-1,4,2,-1,36,14,72,12,12,6,-1,-1,394,20,-1,174,-1,-1,0,120,0,6,-1,6,0,24,-1,2,-1,12,0,4,-1,0,-1,20,56,10,0,34,46,20,0,404,28,-1,0,16,-1,164,158,6,24,40,28,44,-1,-1,32,18,0,4,-1,-1,-1,80,-1,-1,-1,70,2,-1,0,-1,52,18,38,-1,2,30,-1,0,-1,302,-1,-1,60,-1,2,-1,42,102,0,78,90,-1,-1,-1,90,80,-1,70,158,12,6,142,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,0,-1,-1,-1,-1,52,-1,2,-1,12,-1,-1,-1,-1,-1,-1,0,0,4,68,-1,-1,-1,224,10,-1,26,178,0,-1,92,128,-1,6,-1,10,-1,-1,-1,0,-1,306,-1,34,-1,-1,12,-1,-1,-1,0,-1,134,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,40,6,-1,-1,240,-1,-1,-1,-1,-1,-1,42,-1,208,546,-1,28,-1,-1,-1,-1,-1,-1,392,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,10,122,0,2,22,-1,32,54,-1,-1,30,-1,-1,-1,22,14,-1,34,-1,-1,64,48,20,0,64,66,20,66,22,2,-1,140,0,42,-1,4,0,-1,48,66,74,4,6,14,-1,-1,216,22,-1,28,-1,-1,0,94,14,8,-1,24,0,30,-1,6,-1,14,0,100,-1,0,-1,2,6,38,12,30,24,46,2,386,48,-1,4,78,-1,-1,148,0,26,34,8,0,-1,-1,16,20,6,2,-1,-1,-1,-1,-1,-1,-1,56,28,-1,0,-1,56,12,110,-1,26,8,-1,2,-1,150,-1,-1,54,-1,2,-1,38,90,20,78,28,-1,-1,-1,136,64,-1,-1,96,12,6,198,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,16,-1,-1,-1,-1,162,-1,0,-1,0,-1,-1,-1,-1,-1,-1,6,0,4,50,-1,-1,-1,-1,40,-1,28,346,22,-1,90,148,-1,8,-1,4,-1,-1,-1,-1,-1,346,-1,40,-1,-1,24,-1,-1,-1,18,-1,86,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,126,-1,-1,-1,-1,-1,-1,2,-1,240,680,-1,14,-1,-1,-1,-1,-1,-1,506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,58,84,2,12,52,-1,26,36,-1,-1,14,-1,-1,-1,16,26,-1,28,-1,-1,20,10,2,6,78,20,54,38,8,0,-1,152,0,46,-1,14,0,-1,4,28,-1,12,6,18,-1,-1,212,32,-1,16,-1,-1,112,174,10,6,-1,10,6,112,-1,4,-1,-1,0,98,-1,0,-1,6,14,18,2,20,4,6,6,394,192,-1,10,12,-1,-1,154,0,12,36,2,8,-1,-1,22,24,0,0,-1,-1,-1,-1,-1,-1,-1,240,0,-1,4,-1,30,0,150,-1,22,22,-1,4,-1,76,-1,-1,60,-1,2,-1,38,26,0,46,44,-1,-1,-1,120,118,-1,-1,-1,8,0,162,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,32,-1,-1,-1,-1,72,-1,0,-1,2,-1,-1,-1,-1,-1,-1,2,12,16,10,-1,-1,-1,-1,14,-1,46,238,52,-1,58,188,-1,0,-1,2,-1,-1,-1,-1,-1,204,-1,-1,-1,-1,26,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,156,-1,-1,-1,-1,-1,-1,2,-1,196,640,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6,48,130,8,-1,60,-1,18,132,-1,-1,30,-1,-1,-1,26,36,-1,10,-1,-1,24,28,14,-1,102,8,12,50,2,10,-1,-1,2,6,-1,0,6,-1,6,32,-1,16,6,18,-1,-1,164,22,-1,-1,-1,-1,0,-1,-1,0,-1,6,2,80,-1,16,-1,-1,2,40,-1,6,-1,4,14,12,2,6,34,8,0,448,-1,-1,4,2,-1,-1,150,0,10,32,4,62,-1,-1,46,10,0,12,-1,-1,-1,-1,-1,-1,-1,158,6,-1,28,-1,64,0,112,-1,44,98,-1,0,-1,220,-1,-1,140,-1,2,-1,80,46,0,28,18,-1,-1,-1,94,104,-1,-1,-1,4,20,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,124,-1,0,-1,6,-1,-1,-1,-1,-1,-1,6,2,8,14,-1,-1,-1,-1,10,-1,30,212,16,-1,84,-1,-1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,148,-1,-1,-1,-1,-1,-1,10,-1,684,658,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,30,60,110,2,-1,58,-1,38,-1,-1,-1,2,-1,-1,-1,34,6,-1,2,-1,-1,26,10,10,-1,64,92,12,44,20,2,-1,-1,2,12,-1,16,0,-1,20,12,-1,16,2,26,-1,-1,270,10,-1,-1,-1,-1,6,-1,-1,16,-1,2,0,-1,-1,10,-1,-1,0,138,-1,2,-1,0,26,26,0,24,10,14,2,308,-1,-1,0,4,-1,-1,44,36,36,34,14,38,-1,-1,24,28,0,0,-1,-1,-1,-1,-1,-1,-1,90,12,-1,8,-1,58,6,78,-1,-1,150,-1,0,-1,48,-1,-1,44,-1,2,-1,38,60,-1,88,28,-1,-1,-1,54,192,-1,-1,-1,8,24,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,14,6,-1,-1,-1,-1,2,-1,26,98,4,-1,76,-1,-1,0,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,642,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,32,52,124,0,-1,34,-1,40,-1,-1,-1,12,-1,-1,-1,-1,8,-1,0,-1,-1,20,14,4,-1,60,24,2,104,0,0,-1,-1,20,14,-1,2,0,-1,0,10,-1,14,4,8,-1,-1,228,4,-1,-1,-1,-1,0,-1,-1,4,-1,22,0,-1,-1,6,-1,-1,16,388,-1,18,-1,4,24,10,12,22,8,8,0,172,-1,-1,8,0,-1,-1,70,6,16,14,10,-1,-1,-1,10,32,0,6,-1,-1,-1,-1,-1,-1,-1,110,0,-1,6,-1,16,10,98,-1,-1,60,-1,10,-1,48,-1,-1,172,-1,8,-1,60,14,-1,166,78,-1,-1,-1,70,284,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,6,6,-1,-1,-1,-1,0,-1,32,188,40,-1,48,-1,-1,36,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,578,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,22,44,44,32,-1,54,-1,24,-1,-1,-1,24,-1,-1,-1,-1,24,-1,0,-1,-1,20,34,6,-1,62,6,12,34,0,0,-1,-1,30,4,-1,18,12,-1,12,14,-1,18,8,2,-1,-1,338,30,-1,-1,-1,-1,-1,-1,-1,8,-1,8,-1,-1,-1,4,-1,-1,8,28,-1,16,-1,10,8,10,0,8,8,2,0,204,-1,-1,2,34,-1,-1,70,6,24,44,18,-1,-1,-1,30,16,0,18,-1,-1,-1,-1,-1,-1,-1,132,0,-1,0,-1,62,20,96,-1,-1,60,-1,2,-1,34,-1,-1,112,-1,4,-1,62,22,-1,40,18,-1,-1,-1,58,162,-1,-1,-1,24,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,122,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,22,6,-1,-1,-1,-1,4,-1,62,186,42,-1,54,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,524,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
