project_name,project_aliase,project_status
Nutch,nutch,graduated
Flex,flex,graduated
Lens,lens,graduated
Rave,rave,graduated
Ignite,ignite,graduated
Beehive,beehive,graduated
Imperius,imperius,retired
NiFi,nifi,graduated
Pirk,pirk,retired
Aries,aries,graduated
cTAKES,ctakes,graduated
WebWork 2,struts,graduated
Concerted,concerted,retired
MADlib,madlib,graduated
JDO,jdo,graduated
AWF,awf,retired
Muse,muse,graduated
Onami,onami,graduated
Storm,storm,graduated
Olingo,olingo,graduated
TripleSoup,triplesoup,retired
Subversion,subversion,graduated
Beam,beam,graduated
OGNL,commons,graduated
Directory,directory,graduated
JuiCE,juice,retired
Spark,spark,graduated
iBATIS,ibatis,graduated
WADI,wadi,retired
