openwebbeans,jena,shindig,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,devicemap,ambari,singa,guacamole,tashi,sis,airflow,myriad,daffodil,cordova,photark,sanselan,asterixdb,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,systemml,clerezza,wink,graffito,juneau,odf,mesos,curator,blur,imperius,freemarker,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,climate,sentry,echarts,shiro,vcl,pulsar,jclouds,trafficcontrol,htrace,sling,kafka,yoko,tephra,hise,solr,bookkeeper,jackrabbit,npanday,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,openwhisk,kitty,edgent,openmeetings,allura,unomi,gobblin,bigtop,kalumet,samoa,nuvem,empire,oodt,tika,roller,quickstep,qpid,click,mod_ftp,abdera,felix,isis,datafu,gora,openaz,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,horn,agila,drill,tamaya,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,synapse,flume,mrql,griffin,aurora,iceberg,apisix,celix,iota,geode,ace,mynewt,weex,harmony,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,commonsrdf,stonehenge,amaterasu,joshua,zeta,netbeans,dubbo,giraph,tuscany,beam,olio,oozie,tez,couchdb,ripple,servicemix,streams,s4,manifoldcf,bluesky,wookie,stanbol,whirr,ranger,triplesoup,impala,cxf,activemq,hudi,hdt,nmaven,cassandra,fineract,thrift,parquet,rave,gossip,openjpa,pirk,airavata,cloudstack,kato,olingo,alois,apex,pubscribe,commons,samza,ivy,metamodel,buildr,awf,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,ftpserver,calcite,openoffice,tvm,any23,xap,jdo,ctakes,onami,syncope,sqoop,myfaces,lens,nutch,flink,trafficserver,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,corinthia,phoenix,zipkin,shardingsphere,subversion,ibatis,cmda
-1,-1,288,-1,23,-1,65,-1,18,113,50,1161,116,204,12,3,277,1,139,-1,38,-1,-1,-1,5,8,-1,28,1411,27,148,242,-1,180,3,6,-1,24,119,-1,646,25,1654,86,-1,-1,-1,-1,2758,309,-1,903,1130,-1,141,876,288,21,-1,-1,663,116,222,-1,42,3,2,-1,-1,-1,17,124,-1,-1,-1,1535,-1,-1,2,-1,65,292,281,-1,-1,20731,37,285,459,-1,26,-1,-1,36,82,-1,4,2,11,65,-1,-1,339,294,779,-1,-1,237,147,382,13,-1,-1,15,-1,71,1322,-1,-1,6,25,-1,102,-1,-1,-1,-1,62,-1,-1,-1,1178,159,13,-1,-1,126,-1,6,56,120,-1,-1,-1,21,3494,-1,-1,-1,65,-1,16714,59,2392,142,-1,-1,-1,-1,380,-1,-1,-1,223,4,48,-1,-1,277,-1,-1,1660,-1,10,-1,-1,-1,3,165,497,163,125,95,111,199,-1,286,-1,562,716,-1,-1,57,58,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,223,-1,179,-1,372,-1,23,-1,3,770,142,-1,33,3,341,1,222,-1,55,-1,-1,-1,2,6,-1,2,872,13,219,282,-1,71,29,111,-1,1,27,-1,160,51,1187,4,-1,-1,-1,-1,1478,447,-1,424,983,-1,135,2452,27,88,-1,-1,-1,2,213,-1,-1,27,-1,-1,-1,-1,129,159,-1,-1,-1,1038,-1,-1,14,-1,35,-1,84,-1,-1,7941,216,169,679,-1,19,-1,-1,160,197,-1,-1,12,14,9,-1,-1,507,302,1119,-1,-1,366,-1,253,5,-1,-1,53,-1,49,402,-1,-1,2,69,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1802,258,2,-1,-1,-1,-1,3,14,272,-1,-1,-1,5,212,-1,-1,-1,279,-1,-1,29,-1,4,-1,-1,-1,-1,737,-1,-1,-1,-1,-1,-1,-1,-1,17683,-1,-1,2299,-1,-1,-1,-1,-1,16,363,751,1,106,31,106,361,-1,569,-1,-1,-1,-1,-1,-1,5,-1,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,201,-1,54,-1,325,-1,29,-1,4,794,157,-1,8,3,233,22,35,-1,95,-1,-1,-1,1,2,-1,1,619,1,182,24,-1,28,42,40,-1,3,297,-1,1337,28,1085,85,-1,-1,-1,-1,-1,1617,-1,39,858,-1,69,1695,31,57,-1,-1,-1,9,-1,-1,-1,31,-1,-1,-1,-1,9,121,-1,-1,-1,2204,-1,-1,14,-1,-1,-1,60,-1,-1,-1,184,295,212,-1,640,-1,-1,94,208,-1,-1,20,6,3,-1,-1,-1,11,572,-1,-1,102,-1,852,228,-1,-1,22,-1,78,428,-1,-1,2,48,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,627,762,8,-1,-1,-1,-1,23,5,74,-1,-1,-1,20,-1,-1,-1,-1,8,-1,-1,32,-1,536,-1,-1,-1,-1,970,-1,-1,-1,-1,-1,-1,-1,-1,669,-1,-1,1209,-1,-1,-1,-1,-1,17,-1,768,-1,218,3,87,-1,-1,360,-1,-1,-1,-1,-1,-1,77,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,154,-1,64,-1,81,-1,86,-1,4,863,90,-1,16,4,979,3,85,-1,32,-1,-1,-1,482,17,-1,5,591,2,104,19,-1,73,1,11,-1,10,318,-1,505,1,746,-1,-1,-1,-1,-1,-1,785,-1,-1,71,-1,215,907,-1,36,-1,-1,-1,10,-1,-1,-1,8,-1,-1,-1,-1,2,212,-1,-1,-1,954,-1,-1,28,-1,-1,-1,157,-1,-1,-1,325,447,231,-1,24,-1,-1,178,169,-1,-1,8,-1,10,-1,-1,-1,231,877,-1,-1,41,-1,842,30,-1,-1,45,-1,56,512,-1,-1,2,63,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,1515,687,67,-1,-1,-1,-1,-1,37,54,-1,-1,-1,13,-1,-1,-1,-1,88,-1,-1,19,-1,1931,-1,-1,-1,-1,219,-1,-1,-1,-1,-1,-1,-1,-1,5505,-1,-1,632,-1,-1,-1,-1,-1,3,-1,612,-1,384,-1,77,-1,-1,816,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,266,-1,3,-1,88,-1,45,-1,3,1140,53,-1,28,5,628,10,318,-1,39,-1,-1,-1,2,174,-1,51,499,3,173,17,-1,44,3,35,-1,3,-1,-1,389,12,1498,-1,-1,-1,-1,-1,-1,2,-1,-1,34,-1,67,327,-1,34,-1,-1,-1,1,-1,-1,-1,9,-1,-1,-1,-1,10,132,-1,-1,-1,2250,-1,-1,28,-1,-1,-1,114,-1,-1,-1,118,63,344,-1,24,-1,-1,113,106,-1,-1,14,-1,3,-1,-1,-1,179,958,-1,-1,76,-1,-1,2,-1,-1,66,-1,-1,253,-1,-1,92,62,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,315,176,-1,-1,-1,-1,-1,6,55,-1,-1,-1,17,-1,-1,-1,-1,30,-1,-1,28,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2214,-1,-1,813,-1,-1,-1,-1,-1,13,-1,515,-1,128,-1,175,-1,-1,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,-1,123,-1,15,-1,106,-1,83,-1,11,8,159,2,274,-1,26,-1,-1,-1,4,6,-1,10,479,33,178,199,-1,1,3,-1,-1,2,-1,-1,385,1,1034,-1,-1,-1,-1,-1,-1,29,-1,-1,40,-1,140,823,-1,63,-1,-1,-1,1,-1,-1,-1,10,-1,-1,-1,-1,5,85,-1,-1,-1,2132,-1,-1,2,-1,-1,-1,145,-1,-1,-1,341,639,232,-1,5,-1,-1,49,186,-1,-1,25,-1,68,-1,-1,-1,2,477,-1,-1,9,-1,-1,4,-1,-1,1,-1,-1,337,-1,-1,63,214,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,354,5,-1,-1,-1,-1,-1,211,-1,-1,-1,-1,3,-1,-1,-1,-1,5,-1,-1,19,-1,540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3852,-1,-1,1762,-1,-1,-1,-1,-1,13,-1,388,-1,84,-1,43,-1,-1,782,-1,-1,-1,-1,-1,-1,-1,-1,-1,235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,95,-1,175,-1,82,-1,16,-1,28,-1,7,15,239,8,340,-1,35,-1,-1,-1,112,5,-1,-1,1954,118,13,2,-1,6,3,-1,-1,2,-1,-1,217,6,76,-1,-1,-1,-1,-1,-1,11,-1,-1,16,-1,271,1275,-1,27,-1,-1,-1,-1,-1,-1,-1,332,-1,-1,-1,-1,1,160,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,519,-1,-1,-1,-1,116,-1,-1,3,-1,-1,110,164,-1,-1,38,-1,19,-1,-1,-1,7,-1,-1,-1,14,-1,-1,2,-1,-1,2,-1,-1,730,-1,-1,28,361,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,269,4,-1,-1,-1,-1,-1,75,-1,-1,-1,-1,10,-1,-1,-1,-1,2,-1,-1,75,-1,1797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1698,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,876,-1,-1,-1,162,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,155,-1,94,-1,29,-1,161,-1,2,-1,7,-1,-1,3,224,-1,2,-1,-1,-1,4,19,-1,-1,1653,28,2,19,-1,15,1,-1,-1,1,-1,-1,186,-1,628,-1,-1,-1,-1,-1,-1,29,-1,-1,460,-1,528,1161,-1,64,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,55,200,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,1,-1,-1,-1,-1,1064,-1,-1,87,-1,-1,70,141,-1,-1,13,-1,130,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,154,-1,-1,25,102,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,152,10,-1,-1,-1,-1,-1,381,-1,-1,-1,-1,3,-1,-1,-1,-1,46,-1,-1,25,-1,4358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,778,-1,-1,-1,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,-1,156,-1,66,-1,235,-1,10,-1,6,-1,-1,15,586,-1,1,-1,-1,-1,1,10,-1,-1,1163,7,3,-1,-1,23,11,-1,-1,2,-1,-1,165,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,100,-1,-1,2372,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,386,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,2,-1,-1,-1,-1,56,-1,-1,-1,-1,-1,52,192,-1,-1,2,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,246,-1,-1,-1,-1,-1,208,-1,-1,80,11,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,95,9,-1,-1,-1,-1,-1,322,-1,-1,-1,-1,3,-1,-1,-1,-1,2,-1,-1,-1,-1,762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,13,-1,417,-1,31,-1,10,-1,2,-1,46,-1,-1,1,84,-1,82,-1,-1,-1,37,31,-1,-1,-1,1,11,-1,-1,17,13,-1,-1,2,-1,-1,226,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,40,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,528,-1,-1,-1,-1,-1,-1,144,-1,-1,-1,76,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,46,171,-1,-1,75,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,426,-1,-1,46,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,457,3,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,1,-1,-1,-1,-1,257,-1,-1,-1,-1,1248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,454,-1,91,-1,129,-1,-1,-1,25,-1,65,-1,-1,2,171,-1,39,-1,-1,-1,15,13,-1,-1,-1,3,7,-1,-1,59,14,-1,-1,3,-1,-1,118,-1,-1,-1,-1,-1,-1,-1,-1,113,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,285,-1,-1,-1,-1,-1,-1,266,-1,-1,-1,10,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,206,163,-1,-1,18,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,600,-1,-1,30,67,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,508,-1,-1,-1,-1,-1,-1,37,-1,-1,-1,-1,16,-1,-1,-1,-1,122,-1,-1,-1,-1,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,108,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,40,-1,207,-1,176,-1,-1,-1,133,-1,117,-1,-1,1,188,-1,1,-1,-1,-1,64,13,-1,-1,-1,24,3,-1,-1,20,3,-1,-1,3,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,132,-1,-1,-1,-1,-1,-1,202,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,255,84,-1,-1,2,-1,121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1634,-1,-1,75,51,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,84,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,15,-1,213,-1,44,-1,-1,-1,81,-1,34,-1,-1,3,96,-1,1,-1,-1,-1,30,12,-1,-1,-1,3,2,-1,-1,-1,1,-1,-1,1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,287,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,95,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,3,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,92,-1,-1,374,-1,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,4027,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,9,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,98,-1,94,-1,160,-1,-1,-1,24,-1,50,-1,-1,1,-1,-1,3,-1,-1,-1,122,1,-1,-1,-1,2,20,-1,-1,-1,3,-1,-1,6,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,15,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,141,-1,-1,1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,1312,-1,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,15,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,50,-1,83,-1,96,-1,-1,-1,3,-1,20,-1,-1,-1,-1,-1,11,-1,-1,-1,81,1,-1,-1,-1,15,1,-1,-1,-1,-1,-1,-1,3,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,-1,13,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,164,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,3,-1,171,-1,132,-1,-1,-1,17,-1,65,-1,-1,-1,-1,-1,2,-1,-1,-1,154,4,-1,-1,-1,15,5,-1,-1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,-1,392,-1,62,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,456,2,-1,-1,-1,16,13,-1,-1,-1,-1,-1,-1,5,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,137,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,4,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
