openwebbeans,jena,etch,shindig,sanselan,rya,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,xap,datasketches,awf,tamaya,devicemap,horn,s4,freemarker,ambari,samoa,singa,guacamole,sis,tika,wookie,tashi,shardingsphere,pinot,allura,imperius,myriad,wink,airflow,daffodil,cordova,madlib,photark,trafficserver,iotdb,asterixdb,amaterasu,helix,mrql,giraph,river,droids,pivot,batchee,deltacloud,gearpump,weex,jspwiki,twill,kato,tephra,tuscany,systemml,clerezza,graffito,juneau,openwhisk,gossip,odf,mesos,quickstep,curator,blur,vxquery,bluesky,apisix,bval,lucy,nifi,predictionio,knox,trafodion,s2graph,buildr,datafu,usergrid,taverna,joshua,ranger,ariatosca,superset,kalumet,ibatis,hawq,jackrabbit,thrift,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,tvm,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,kafka,yoko,hise,solr,bookkeeper,npanday,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,atlas,directory,kitty,edgent,aurora,sirona,warble,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,nuvem,syncope,empire,xmlbeans,oodt,jdo,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,gora,openaz,oltu,marmotta,lokahi,synapse,deltaspike,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,cassandra,omid,agila,storm,ignite,zeppelin,streams,pdfbox,plc4x,phoenix,ant,lucenenet,triplesoup,iceberg,flume,manifoldcf,griffin,crunch,depot,beam,celix,iota,geode,airavata,ace,any23,mynewt,ripple,druid,kylin,directmemory,stanbol,eagle,tez,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,impala,netbeans,dubbo,ftpserver,cmda,oozie,apex,couchdb,servicemix,provisionr,parquet,hdt,samza,pubscribe,whirr,cxf,activemq,hudi,nmaven,openoffice,juddi,fineract,alois,ode,rave,commons,openjpa,pirk,olingo,aries,ivy,metamodel,flink,flex,beehive,cayenne,zipkin,struts,concerted,spamassassin,kudu,accumulo,calcite,socialsite,corinthia,ctakes,onami,sqoop,myfaces,nutch,muse,chemistry,reef,ofbiz,tapestry,subversion,kabuki
76,228,8,562,2,96,46,24,118,106,50,48,6,2,34,2,8,8,12,48,10,18,2,10,124,2,12,4,0,208,2,10,0,34,42,182,16,-1,26,4,-1,112,238,44,44,0,-1,134,16,-1,16,56,20,78,142,4,20,0,332,222,48,48,32,36,10,24,44,28,-1,22,0,2,-1,2,42,-1,116,-1,362,12,54,4,56,22,18,128,44,8,2,-1,404,202,214,0,-1,106,36,14,166,64,130,-1,204,102,-1,154,222,-1,158,12,124,214,104,0,-1,130,22,218,-1,76,-1,394,110,-1,90,-1,98,0,34,70,-1,20,68,74,6,24,180,24,0,282,144,20,732,18,62,2,-1,28,-1,-1,-1,194,30,126,194,30,26,0,32,146,38,42,24,-1,12,10,170,-1,28,-1,-1,32,110,506,6,14,-1,-1,644,8,62,36,-1,74,92,-1,38,-1,36,10,-1,-1,-1,8,48,514,56,6,-1,134,48,152,-1,-1,100,202,56,-1,-1,-1,320,-1,24,50,-1,222,652,288,6,24,142,-1,-1,258,-1,-1,8,36,-1,68,808,326,192,34,3702,-1,168,-1,116,158,-1,308,-1,-1,198,-1,30,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,148,-1,-1,-1,-1
-1,170,4,448,6,46,32,30,258,-1,2,64,2,2,22,-1,28,28,2,30,20,34,40,2,188,0,4,14,2,114,22,78,20,34,42,164,14,-1,40,6,-1,138,-1,22,96,26,-1,20,2,-1,6,70,56,64,134,2,42,2,504,18,26,12,26,36,18,24,60,20,-1,78,0,26,-1,18,42,-1,116,-1,276,0,40,4,82,40,20,68,80,4,2,-1,224,232,132,2,-1,22,58,8,80,36,124,-1,224,38,-1,102,164,-1,114,8,72,192,14,6,-1,138,30,324,-1,226,-1,-1,76,-1,60,-1,122,14,40,86,-1,24,136,190,12,10,158,2,0,214,184,6,920,10,116,4,-1,36,-1,-1,-1,124,28,190,202,20,20,6,24,318,28,38,58,-1,18,52,86,-1,20,-1,-1,24,100,-1,2,30,-1,-1,866,18,78,44,-1,198,34,-1,52,-1,22,26,-1,-1,-1,24,10,436,100,8,-1,200,10,162,-1,-1,80,140,44,-1,-1,-1,624,-1,14,14,-1,252,682,272,18,58,-1,-1,-1,312,-1,-1,0,76,-1,90,728,544,264,26,2716,-1,134,-1,160,-1,-1,-1,-1,-1,174,-1,16,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,-1,-1,-1,-1
-1,316,16,280,0,54,88,24,94,-1,22,-1,4,0,54,-1,28,44,2,30,0,44,22,20,82,2,18,38,2,176,0,34,12,54,12,250,12,-1,72,8,-1,68,-1,0,-1,26,-1,26,6,-1,8,92,18,94,134,12,12,32,498,140,32,20,38,126,14,20,46,6,-1,62,0,110,-1,16,30,-1,98,-1,362,6,84,0,102,16,22,72,76,10,38,-1,230,264,142,0,-1,34,24,24,126,10,-1,-1,266,82,-1,104,164,-1,142,10,98,242,6,0,-1,-1,8,352,-1,208,-1,-1,70,-1,128,-1,166,28,96,44,-1,-1,36,148,0,0,132,0,0,-1,-1,20,1112,0,-1,2,-1,30,-1,-1,-1,218,10,128,188,46,38,16,92,156,50,72,2,-1,42,104,34,-1,22,-1,-1,2,158,-1,10,26,-1,-1,796,38,84,46,-1,152,86,-1,276,-1,20,48,-1,-1,-1,16,2,418,130,8,-1,166,24,68,-1,-1,130,-1,154,-1,-1,-1,492,-1,46,20,-1,262,780,140,20,24,-1,-1,-1,414,-1,-1,6,94,-1,-1,574,-1,292,14,2220,-1,122,-1,108,-1,-1,-1,-1,-1,140,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,264,14,426,16,48,124,28,98,-1,98,-1,18,0,26,-1,24,80,16,38,86,50,4,16,126,0,2,32,2,122,28,72,8,66,62,310,8,-1,56,18,-1,132,-1,18,-1,10,-1,14,24,-1,0,52,26,88,166,46,6,2,474,114,88,6,-1,142,4,46,52,6,-1,66,0,12,-1,4,92,-1,116,-1,98,2,-1,2,48,50,32,90,56,34,0,-1,522,266,80,2,-1,52,28,2,78,68,-1,-1,194,-1,-1,150,188,-1,192,12,148,-1,14,2,-1,-1,26,438,-1,172,-1,-1,24,-1,46,-1,104,22,64,36,-1,-1,90,-1,0,44,360,4,0,-1,-1,12,1020,16,-1,6,-1,18,-1,-1,-1,158,18,38,60,-1,56,12,90,168,-1,68,10,-1,0,144,270,-1,28,-1,-1,22,76,-1,12,10,-1,-1,778,22,50,86,-1,92,86,-1,160,-1,44,56,-1,-1,-1,4,6,338,154,4,-1,308,38,150,-1,-1,170,-1,372,-1,-1,-1,320,-1,0,4,-1,292,650,-1,36,0,-1,-1,-1,348,-1,-1,6,124,-1,-1,608,-1,364,30,2208,-1,82,-1,158,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,676,18,50,-1,14,106,-1,16,-1,18,2,30,-1,34,30,0,24,94,66,16,12,132,2,10,40,4,96,68,48,10,16,68,252,12,-1,120,6,-1,96,-1,2,-1,2,-1,48,0,-1,12,-1,16,90,180,2,0,2,442,54,56,8,-1,82,6,22,38,20,-1,24,0,14,-1,2,108,-1,-1,-1,144,6,-1,2,28,102,32,96,26,132,0,-1,360,222,98,0,-1,18,12,16,98,38,-1,-1,66,-1,-1,118,70,-1,118,26,170,-1,64,0,-1,-1,18,-1,-1,186,-1,-1,80,-1,62,-1,-1,10,92,20,-1,-1,82,-1,6,34,232,4,0,-1,-1,4,1370,38,-1,0,-1,42,-1,-1,-1,148,4,16,248,-1,32,-1,44,296,-1,20,26,-1,0,66,120,-1,30,-1,-1,66,218,-1,0,2,-1,-1,-1,62,52,-1,-1,84,166,-1,42,-1,34,40,-1,-1,-1,12,36,432,-1,22,-1,254,4,182,-1,-1,168,-1,-1,-1,-1,-1,-1,-1,0,12,-1,326,1798,-1,22,6,-1,-1,-1,350,-1,-1,20,216,-1,-1,518,-1,-1,74,-1,-1,-1,-1,96,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,272,6,28,-1,14,122,-1,48,-1,6,0,6,-1,18,22,0,48,48,122,6,2,144,0,48,16,6,-1,8,32,8,6,44,350,32,-1,46,24,-1,120,-1,8,-1,18,-1,0,30,-1,0,-1,12,88,218,30,2,36,392,112,36,28,-1,120,0,38,28,14,-1,20,0,20,-1,14,44,-1,-1,-1,154,0,-1,2,46,44,22,78,26,104,12,-1,332,324,120,2,-1,34,10,58,86,48,-1,-1,350,-1,-1,128,96,-1,200,20,256,-1,22,16,-1,-1,6,-1,-1,198,-1,-1,-1,-1,54,-1,-1,4,156,44,-1,-1,66,-1,0,8,-1,2,2,-1,-1,2,-1,4,-1,2,-1,46,-1,-1,-1,254,12,26,152,-1,36,-1,88,128,-1,28,20,-1,36,-1,-1,-1,174,-1,-1,66,74,-1,0,0,-1,-1,-1,48,52,-1,-1,50,78,-1,-1,-1,32,32,-1,-1,-1,16,2,632,-1,62,-1,200,30,78,-1,-1,122,-1,-1,-1,-1,-1,-1,-1,12,60,-1,284,908,-1,16,10,-1,-1,-1,330,-1,-1,2,-1,-1,-1,508,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,10,266,36,24,-1,26,40,-1,14,-1,14,2,128,-1,16,10,2,48,66,88,4,6,174,2,-1,18,0,-1,36,78,12,12,22,468,22,-1,182,16,-1,136,-1,0,-1,2,-1,4,4,-1,12,-1,22,100,124,22,0,2,560,-1,40,8,-1,350,0,48,44,28,-1,26,0,40,-1,36,80,-1,-1,-1,66,2,-1,16,42,64,18,94,10,48,0,-1,262,-1,80,0,-1,54,104,2,104,92,-1,-1,234,-1,-1,112,106,-1,192,26,262,-1,20,8,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,0,70,14,-1,-1,78,-1,14,12,-1,8,2,-1,-1,0,-1,8,-1,0,-1,4,-1,-1,-1,236,14,28,222,-1,12,-1,84,174,-1,-1,30,-1,14,-1,-1,-1,36,-1,-1,26,-1,-1,0,14,-1,-1,-1,34,134,-1,-1,90,-1,-1,-1,-1,26,36,-1,-1,-1,20,0,-1,-1,2,-1,16,2,84,-1,-1,274,-1,-1,-1,-1,-1,-1,-1,10,52,-1,248,692,-1,40,0,-1,-1,-1,380,-1,-1,8,-1,-1,-1,446,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,8,162,4,28,-1,32,20,-1,30,-1,18,36,-1,-1,64,26,0,68,20,74,24,2,168,8,-1,54,2,-1,54,80,4,6,22,288,22,-1,42,60,-1,102,-1,0,-1,6,-1,100,0,-1,0,-1,14,12,80,46,2,14,446,-1,36,84,-1,198,6,72,46,20,-1,20,0,30,-1,8,-1,-1,-1,-1,104,28,-1,0,74,58,16,154,26,10,0,-1,236,-1,70,0,-1,78,98,20,82,48,-1,-1,-1,-1,-1,162,90,-1,110,6,252,-1,16,0,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,16,-1,46,-1,-1,184,-1,2,24,-1,2,0,-1,-1,6,-1,16,-1,6,-1,8,-1,-1,-1,-1,46,40,406,-1,26,-1,104,166,-1,-1,68,-1,4,-1,-1,-1,-1,-1,-1,26,-1,-1,0,2,-1,-1,-1,16,-1,-1,-1,106,-1,-1,-1,-1,28,36,-1,-1,-1,14,0,-1,-1,20,-1,-1,28,50,-1,-1,158,-1,-1,-1,-1,-1,-1,-1,26,2,-1,296,856,-1,18,-1,-1,-1,-1,448,-1,-1,12,-1,-1,-1,726,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,170,-1,80,-1,28,78,-1,26,-1,36,32,-1,-1,24,14,20,20,56,64,8,6,-1,0,-1,18,0,-1,10,-1,12,8,24,266,32,-1,32,36,-1,196,-1,6,-1,16,-1,100,10,-1,0,-1,2,24,146,6,6,4,490,-1,10,12,-1,204,0,30,34,6,-1,26,0,36,-1,36,-1,-1,-1,-1,308,6,-1,14,130,64,0,132,50,40,2,-1,114,-1,102,2,-1,86,48,0,50,48,-1,-1,-1,-1,-1,128,146,-1,-1,4,-1,-1,-1,0,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,34,-1,14,-1,-1,156,-1,2,6,-1,6,0,-1,-1,14,-1,4,-1,8,-1,18,-1,-1,-1,-1,20,44,294,-1,62,-1,80,-1,-1,-1,20,-1,2,-1,-1,-1,-1,-1,-1,26,-1,-1,0,12,-1,-1,-1,52,-1,-1,-1,46,-1,-1,-1,-1,16,158,-1,-1,-1,4,112,-1,-1,64,-1,-1,2,-1,-1,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,698,802,-1,4,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,18,126,-1,60,-1,40,60,-1,22,-1,26,4,-1,-1,26,8,-1,88,14,56,22,2,-1,2,-1,24,0,-1,20,-1,28,2,26,286,24,-1,-1,8,-1,-1,-1,0,-1,12,-1,158,6,-1,8,-1,0,22,78,16,2,0,450,-1,24,6,-1,76,36,26,36,14,-1,30,0,10,-1,52,-1,-1,-1,-1,104,6,-1,18,-1,68,6,110,-1,198,4,-1,190,-1,102,8,-1,54,54,-1,92,28,-1,-1,-1,-1,-1,68,100,-1,-1,36,-1,-1,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,154,-1,-1,-1,-1,34,-1,-1,48,-1,-1,6,-1,6,0,-1,-1,16,-1,16,-1,12,-1,14,-1,-1,-1,-1,2,26,150,-1,12,-1,102,-1,-1,-1,2,-1,12,-1,-1,-1,-1,-1,-1,10,-1,-1,4,-1,-1,-1,-1,36,-1,-1,-1,60,-1,-1,-1,-1,40,-1,-1,-1,-1,8,6,-1,-1,14,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,404,894,-1,14,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,36,144,-1,70,-1,44,74,-1,12,-1,8,0,-1,-1,24,8,-1,40,2,108,0,2,-1,22,-1,18,6,-1,0,-1,20,6,8,344,14,-1,-1,18,-1,-1,-1,0,-1,6,-1,390,0,-1,18,-1,6,38,84,8,0,12,266,-1,22,32,-1,94,6,16,44,12,-1,42,6,12,-1,-1,-1,-1,-1,-1,114,2,-1,8,-1,18,12,106,-1,80,10,-1,62,-1,242,8,-1,74,16,-1,176,82,-1,-1,-1,-1,-1,76,362,-1,-1,0,-1,-1,-1,20,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,222,-1,-1,22,-1,6,0,-1,-1,8,-1,4,-1,6,-1,8,-1,-1,-1,-1,2,36,224,-1,40,-1,60,-1,-1,-1,10,-1,10,-1,-1,-1,-1,-1,-1,40,-1,-1,18,-1,-1,-1,-1,12,-1,-1,-1,80,-1,-1,-1,-1,20,-1,-1,-1,-1,12,0,-1,-1,32,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,714,-1,6,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,20,206,-1,30,-1,30,52,-1,28,-1,42,0,-1,-1,20,4,-1,10,22,104,14,0,-1,66,-1,36,18,-1,10,-1,6,14,20,408,32,-1,-1,16,-1,-1,-1,-1,-1,14,-1,36,108,-1,16,-1,10,2,58,4,0,4,210,-1,26,14,-1,84,6,20,50,16,-1,16,0,2,-1,-1,-1,-1,-1,-1,176,0,-1,0,-1,74,20,108,-1,94,2,-1,44,-1,106,2,-1,52,36,-1,38,32,-1,-1,-1,-1,-1,134,412,-1,-1,16,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,8,-1,18,0,-1,-1,14,-1,26,-1,0,-1,24,-1,-1,-1,-1,12,-1,234,-1,56,-1,62,-1,-1,-1,24,-1,0,-1,-1,-1,-1,-1,-1,18,-1,-1,6,-1,-1,-1,-1,24,-1,-1,-1,82,-1,-1,-1,-1,34,-1,-1,-1,-1,20,-1,-1,-1,24,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,786,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,18,-1,-1,30,-1,48,26,-1,58,-1,12,0,-1,-1,24,14,-1,18,62,-1,8,0,-1,26,-1,28,20,-1,0,-1,0,20,28,324,56,-1,-1,12,-1,-1,-1,-1,-1,2,-1,38,10,-1,24,-1,4,34,76,22,0,6,340,-1,34,6,-1,98,28,20,84,6,-1,22,0,22,-1,-1,-1,-1,-1,-1,106,6,-1,4,-1,18,18,32,-1,46,6,-1,146,-1,182,-1,-1,92,44,-1,124,64,-1,-1,-1,-1,-1,60,518,-1,-1,6,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,12,-1,6,0,-1,-1,0,-1,6,-1,2,-1,18,-1,-1,-1,-1,2,-1,288,-1,-1,-1,40,-1,-1,-1,42,-1,0,-1,-1,-1,-1,-1,-1,16,-1,-1,12,-1,-1,-1,-1,28,-1,-1,-1,114,-1,-1,-1,-1,34,-1,-1,-1,-1,32,-1,-1,-1,38,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,22,-1,-1,20,-1,64,82,-1,8,-1,8,-1,-1,-1,20,28,-1,8,44,-1,0,0,-1,0,-1,48,2,-1,8,-1,40,80,8,500,40,-1,-1,8,-1,-1,-1,-1,-1,0,-1,214,38,-1,2,-1,8,28,56,18,0,6,528,-1,30,44,-1,186,-1,6,110,0,-1,22,0,0,-1,-1,-1,-1,-1,-1,134,0,-1,2,-1,26,0,56,-1,148,0,-1,52,-1,476,-1,-1,120,24,-1,-1,118,-1,-1,-1,-1,-1,96,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,2,-1,6,0,-1,-1,14,-1,18,-1,0,-1,8,-1,-1,-1,-1,0,-1,284,-1,-1,-1,16,-1,-1,-1,12,-1,8,-1,-1,-1,-1,-1,-1,10,-1,-1,0,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,-1,10,-1,-1,-1,6,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6,-1,-1,76,-1,-1,38,-1,8,-1,6,-1,-1,-1,16,32,-1,4,52,-1,10,0,-1,40,-1,40,0,-1,68,-1,10,0,20,568,30,-1,-1,26,-1,-1,-1,-1,-1,4,-1,56,34,-1,12,-1,0,26,38,0,0,2,576,-1,12,8,-1,122,-1,20,114,4,-1,22,0,2,-1,-1,-1,-1,-1,-1,60,0,-1,2,-1,24,2,254,-1,46,2,-1,42,-1,314,-1,-1,66,42,-1,-1,84,-1,-1,-1,-1,-1,72,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,2,-1,8,-1,-1,-1,34,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,32,-1,-1,-1,14,-1,10,-1,-1,-1,-1,-1,-1,20,-1,-1,4,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,12,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6,-1,-1,20,-1,-1,268,-1,22,-1,10,-1,-1,-1,18,38,-1,20,44,-1,10,0,-1,22,-1,10,2,-1,38,-1,2,2,18,656,16,-1,-1,24,-1,-1,-1,-1,-1,12,-1,114,22,-1,2,-1,8,18,26,42,0,18,-1,-1,18,4,-1,162,-1,32,-1,2,-1,16,0,2,-1,-1,-1,-1,-1,-1,202,2,-1,4,-1,6,2,146,-1,60,0,-1,132,-1,-1,-1,-1,158,66,-1,-1,114,-1,-1,-1,-1,-1,132,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,4,-1,6,-1,-1,-1,6,-1,4,-1,-1,-1,20,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,16,-1,-1,-1,-1,-1,-1,88,-1,-1,6,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,24,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,14,-1,-1,68,-1,-1,396,-1,42,-1,28,-1,-1,-1,20,40,-1,4,-1,-1,2,2,-1,-1,-1,28,10,-1,36,-1,2,12,2,208,20,-1,-1,6,-1,-1,-1,-1,-1,0,-1,156,40,-1,2,-1,-1,36,68,16,2,0,-1,-1,56,-1,-1,208,-1,22,-1,6,-1,12,22,0,-1,-1,-1,-1,-1,-1,180,16,-1,36,-1,2,16,-1,-1,16,0,-1,98,-1,-1,-1,-1,116,180,-1,-1,60,-1,-1,-1,-1,-1,152,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,8,-1,0,-1,-1,-1,10,-1,0,-1,-1,-1,20,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,4,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,148,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,-1,-1,20,-1,-1,138,-1,18,-1,24,-1,-1,-1,20,38,-1,24,-1,-1,2,0,-1,-1,-1,12,14,-1,168,-1,2,48,14,414,24,-1,-1,12,-1,-1,-1,-1,-1,6,-1,24,6,-1,0,-1,-1,10,12,-1,2,2,-1,-1,24,-1,-1,-1,-1,22,-1,-1,-1,0,0,8,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,6,-1,-1,-1,70,0,-1,392,-1,-1,-1,-1,-1,96,-1,-1,40,-1,-1,-1,-1,-1,174,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,20,-1,0,-1,-1,-1,20,-1,0,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,14,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
