project_name,project_aliase,project_status
Flink,flink,graduated
Oozie,oozie,graduated
Juneau,juneau,graduated
Bloodhound,bloodhound,graduated
OpenWebBeans,openwebbeans,graduated
Synapse,synapse,graduated
CloudStack,cloudstack,graduated
Amaterasu,amaterasu,retired
Any23,any23,graduated
Hermes,pubscribe,graduated
OpenNLP,opennlp,graduated
Giraph,giraph,graduated
jclouds,jclouds,graduated
Druid,druid,graduated
Concerted,concerted,retired
Flex,flex,graduated
Lens,lens,graduated
Rave,rave,graduated
Ignite,ignite,graduated
NiFi,nifi,graduated
RCF,rcf,retired
Kabuki,kabuki,retired
Aries,aries,graduated
WebWork 2,struts,graduated
MADlib,madlib,graduated
iBATIS,ibatis,graduated
JDO,jdo,graduated
MerlinDeveloper,avalon,graduated
Onami,onami,graduated
Storm,storm,graduated
Olingo,olingo,graduated
TripleSoup,triplesoup,retired
Subversion,subversion,graduated
Beam,beam,graduated
OGNL,commons,graduated
Spark,spark,graduated
WADI,wadi,retired
Tapestry,tapestry,graduated
SocialSite,socialsite,retired
