openwebbeans,jena,shindig,sanselan,skywalking,stdcxx,wave,tajo,ratis,mrunit,hama,xap,datasketches,awf,tamaya,devicemap,horn,s4,freemarker,ambari,samoa,singa,guacamole,sis,wookie,tashi,shardingsphere,allura,imperius,myriad,wink,airflow,daffodil,cordova,madlib,photark,trafficserver,asterixdb,amaterasu,helix,mrql,river,pivot,batchee,deltacloud,gearpump,pinot,weex,droids,jspwiki,twill,kato,tephra,tuscany,systemml,clerezza,graffito,juneau,openwhisk,gossip,odf,mesos,quickstep,curator,blur,vxquery,bluesky,apisix,bval,lucy,nifi,predictionio,knox,trafodion,buildr,usergrid,taverna,joshua,ariatosca,superset,kalumet,ibatis,hawq,jackrabbit,thrift,juice,climate,sentry,echarts,zeta,shiro,vcl,opennlp,cotton,tvm,pulsar,lens,uima,drill,jclouds,trafficcontrol,htrace,sling,s2graph,kafka,yoko,hise,solr,bookkeeper,npanday,metron,cloudstack,brooklyn,servicecomb,adffaces,libcloud,wicket,hcatalog,stratos,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,atlas,rya,directory,kitty,edgent,aurora,warble,openmeetings,bloodhound,unomi,harmony,gobblin,bigtop,nuvem,syncope,empire,ranger,xmlbeans,oodt,jdo,tika,roller,olio,esme,qpid,click,isis,mod_ftp,abdera,felix,datafu,gora,openaz,oltu,marmotta,lokahi,synapse,deltaspike,etch,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,cassandra,omid,agila,sirona,ignite,zeppelin,streams,pdfbox,plc4x,phoenix,ant,lucenenet,triplesoup,iceberg,flume,manifoldcf,griffin,crunch,depot,beam,celix,iota,geode,airavata,ace,any23,mynewt,ripple,druid,kylin,directmemory,stanbol,tez,spark,groovy,rocketmq,lenya,geronimo,commonsrdf,stonehenge,rcf,impala,netbeans,dubbo,giraph,ftpserver,cmda,oozie,apex,couchdb,servicemix,provisionr,parquet,hdt,samza,pubscribe,whirr,cxf,activemq,hudi,openoffice,juddi,nmaven,fineract,alois,rave,commons,openjpa,pirk,olingo,aries,ivy,metamodel,flink,ode,flex,eagle,beehive,cayenne,struts,concerted,spamassassin,kudu,accumulo,storm,calcite,socialsite,corinthia,ctakes,onami,sqoop,myfaces,nutch,muse,chemistry,reef,ofbiz,zipkin,tapestry,subversion,kabuki
42,178,496,6,50,28,260,164,4,64,4,4,40,0,20,28,2,26,22,30,38,6,190,2,12,2,136,46,12,32,42,186,12,-1,34,4,-1,294,58,102,12,78,-1,16,72,48,22,70,16,104,4,40,0,468,44,30,20,40,32,16,20,66,12,-1,44,0,8,-1,8,28,-1,116,-1,262,42,76,28,30,106,10,0,-1,424,260,130,0,-1,58,52,18,136,58,110,-1,306,64,-1,144,226,-1,122,12,94,0,228,24,6,-1,160,34,296,-1,140,-1,-1,114,-1,48,-1,144,8,46,102,-1,26,116,136,68,140,0,10,142,0,200,172,6,900,24,68,4,-1,36,96,-1,-1,-1,8,158,30,156,236,26,18,0,18,194,0,42,58,18,-1,2,28,188,4,-1,10,-1,-1,42,98,-1,4,18,8,-1,868,2,62,40,-1,162,54,-1,12,-1,38,14,-1,-1,-1,6,32,378,88,10,-1,180,10,128,-1,-1,74,68,-1,-1,-1,626,-1,12,50,-1,278,806,272,-1,8,60,144,-1,-1,282,-1,-1,0,76,-1,64,786,498,262,2890,-1,36,182,-1,-1,-1,-1,-1,-1,176,-1,26,-1,174,-1,208,140,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,-1,-1
-1,244,306,2,34,22,122,-1,8,-1,2,2,50,-1,22,30,4,42,6,52,28,14,124,2,10,2,146,76,16,52,20,210,16,-1,38,8,-1,-1,0,-1,14,26,-1,8,64,24,0,70,6,156,14,24,28,522,124,36,18,38,84,20,14,44,22,-1,98,0,104,-1,26,58,-1,108,-1,276,42,106,24,22,70,12,32,-1,220,246,158,2,-1,32,48,24,88,10,134,-1,230,70,-1,82,138,-1,152,8,100,6,218,10,0,-1,-1,8,342,-1,260,-1,-1,48,-1,122,-1,142,30,82,46,-1,-1,88,54,56,188,12,6,146,0,-1,198,20,1000,6,156,2,-1,30,70,-1,-1,-1,22,200,6,154,168,44,30,8,74,292,2,54,20,50,-1,52,100,54,2,-1,34,-1,-1,12,144,-1,12,40,0,-1,820,20,98,50,-1,160,46,-1,78,-1,16,50,-1,-1,-1,28,10,530,100,8,-1,210,14,154,-1,-1,114,116,-1,-1,-1,480,-1,22,14,-1,284,958,188,-1,28,30,-1,-1,-1,410,-1,-1,4,68,-1,82,686,-1,262,2182,-1,16,142,-1,-1,-1,-1,-1,-1,168,-1,12,-1,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,208,-1,-1,-1,-1,-1
-1,326,394,2,172,30,100,-1,108,-1,14,0,18,-1,30,84,16,22,32,26,12,18,122,2,58,2,154,62,14,64,60,336,8,-1,56,6,-1,-1,16,-1,28,8,-1,6,58,36,22,108,20,152,48,6,6,500,98,78,6,46,176,4,50,64,8,-1,74,0,18,-1,14,32,-1,138,-1,304,-1,64,38,10,76,24,18,-1,522,266,76,0,-1,42,28,0,130,70,-1,-1,278,204,-1,146,240,-1,182,14,110,2,-1,18,0,-1,-1,22,416,-1,168,-1,-1,54,-1,50,-1,142,22,80,24,-1,-1,138,60,56,-1,0,42,234,0,-1,-1,12,1246,16,-1,6,-1,20,82,-1,-1,-1,2,222,8,74,106,-1,58,16,90,168,2,54,100,10,-1,0,122,252,28,-1,36,-1,-1,18,94,-1,12,14,4,-1,1014,46,56,72,-1,132,76,-1,282,-1,36,68,-1,-1,-1,0,2,434,182,4,-1,296,42,126,-1,-1,148,386,-1,-1,-1,398,-1,32,16,-1,282,566,-1,-1,24,0,-1,-1,-1,420,-1,-1,0,138,-1,-1,608,-1,336,2612,-1,18,78,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,638,26,-1,20,100,-1,2,-1,16,0,42,-1,30,30,0,48,122,70,16,12,124,0,40,4,88,74,4,18,60,238,12,-1,116,12,-1,-1,6,-1,2,54,-1,12,-1,14,66,94,2,192,6,0,0,420,90,74,10,-1,96,6,18,38,18,-1,40,0,16,-1,2,128,-1,-1,-1,118,-1,48,118,40,42,142,0,-1,320,296,94,2,-1,38,12,6,78,44,-1,-1,6,-1,-1,140,84,-1,132,24,168,6,-1,42,2,-1,-1,18,-1,-1,176,-1,-1,84,-1,72,-1,-1,10,78,42,-1,-1,90,102,40,-1,6,34,392,0,-1,-1,4,1194,36,-1,0,-1,14,100,-1,-1,-1,10,150,14,20,186,-1,30,-1,96,280,4,-1,28,26,-1,0,106,134,6,-1,6,-1,-1,60,202,-1,0,2,4,-1,-1,44,52,-1,-1,86,140,-1,144,-1,38,48,-1,-1,-1,12,12,306,-1,2,-1,276,4,168,-1,-1,202,-1,-1,-1,-1,-1,-1,0,12,-1,314,1192,-1,-1,40,2,-1,-1,-1,334,-1,-1,22,208,-1,-1,606,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,358,8,-1,16,104,-1,50,-1,12,2,2,-1,20,22,0,44,66,118,10,2,158,2,12,6,-1,38,12,6,54,370,30,-1,92,24,-1,-1,4,-1,26,10,-1,0,-1,12,8,80,28,220,34,2,34,404,108,52,26,-1,124,0,48,30,14,-1,14,0,12,-1,14,74,-1,-1,-1,190,-1,44,42,22,32,104,12,-1,372,326,130,0,-1,28,12,54,106,46,-1,-1,368,-1,-1,100,74,-1,200,20,276,0,-1,26,16,-1,-1,10,-1,-1,218,-1,-1,68,-1,76,-1,-1,8,174,44,-1,-1,120,56,34,-1,0,12,-1,2,-1,-1,0,-1,6,-1,2,-1,72,94,-1,-1,-1,48,280,12,28,264,-1,40,-1,76,156,2,-1,24,18,-1,32,-1,-1,4,-1,194,-1,-1,58,112,-1,0,0,2,-1,-1,54,62,-1,-1,60,158,-1,408,-1,32,30,-1,-1,-1,16,32,682,-1,72,-1,210,30,90,-1,-1,142,-1,-1,-1,-1,-1,-1,14,24,-1,330,1550,-1,-1,20,20,-1,-1,-1,308,-1,-1,4,-1,-1,-1,570,-1,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,282,36,-1,28,92,-1,14,-1,14,0,122,-1,22,12,2,58,60,110,6,4,174,2,20,0,-1,78,12,12,22,484,22,-1,188,16,-1,-1,8,-1,2,4,-1,12,-1,22,36,112,4,124,22,0,2,602,-1,42,8,-1,350,0,50,44,32,-1,28,0,34,-1,34,84,-1,-1,-1,80,-1,42,62,18,12,48,0,-1,270,-1,82,2,-1,56,84,14,118,88,-1,-1,250,-1,-1,140,112,-1,168,26,270,2,-1,30,8,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,0,78,14,-1,-1,136,78,34,-1,14,12,-1,2,-1,-1,2,-1,4,-1,0,-1,8,90,-1,-1,-1,-1,222,14,26,222,-1,14,-1,62,214,16,-1,-1,30,-1,20,-1,-1,10,-1,30,-1,-1,32,-1,-1,0,14,8,-1,-1,28,136,-1,-1,90,-1,-1,-1,-1,26,40,-1,-1,-1,20,0,-1,-1,4,-1,2,2,102,-1,-1,264,-1,-1,-1,-1,-1,-1,10,62,-1,240,636,-1,-1,40,0,-1,-1,-1,438,-1,-1,6,-1,-1,-1,466,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,190,4,-1,32,20,-1,30,-1,18,36,-1,-1,64,26,0,68,22,72,22,4,168,8,54,2,-1,82,4,6,22,288,22,-1,42,60,-1,-1,0,-1,6,100,-1,0,-1,18,54,18,0,100,46,2,14,458,-1,36,88,-1,204,6,70,48,20,-1,20,0,38,-1,8,-1,-1,-1,-1,108,-1,78,66,18,26,10,0,-1,312,-1,66,0,-1,82,128,20,96,68,-1,-1,-1,-1,-1,176,96,-1,116,6,244,28,-1,14,0,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,16,-1,48,-1,-1,112,184,28,-1,6,24,-1,0,-1,-1,6,-1,18,-1,6,-1,8,150,-1,-1,-1,-1,-1,46,38,398,-1,26,-1,130,172,0,-1,-1,84,-1,4,-1,-1,8,-1,44,-1,-1,26,-1,-1,0,2,2,-1,-1,16,-1,-1,-1,110,-1,-1,-1,-1,30,38,-1,-1,-1,16,0,-1,-1,20,-1,-1,28,48,-1,-1,176,-1,-1,-1,-1,-1,-1,24,2,-1,314,918,-1,-1,18,-1,-1,-1,-1,464,-1,-1,16,-1,-1,-1,728,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,180,-1,-1,28,80,-1,26,-1,36,34,-1,-1,24,14,20,20,56,72,8,6,-1,0,28,0,-1,-1,12,10,24,294,32,-1,96,36,-1,-1,6,-1,18,100,-1,0,-1,2,10,24,10,150,6,6,4,540,-1,12,12,-1,214,0,32,38,6,-1,28,0,36,-1,60,-1,-1,-1,-1,308,-1,130,64,0,50,44,2,-1,114,-1,110,0,-1,98,58,0,50,54,-1,-1,-1,-1,-1,128,148,-1,-1,14,-1,6,-1,-1,0,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,34,-1,14,-1,-1,198,158,86,-1,2,10,-1,0,-1,-1,14,-1,4,-1,8,-1,20,140,-1,-1,-1,-1,-1,20,46,304,-1,62,-1,80,-1,24,-1,-1,20,-1,2,-1,-1,4,-1,-1,-1,-1,26,-1,-1,0,12,6,-1,-1,52,-1,-1,-1,48,-1,-1,-1,-1,16,160,-1,-1,-1,10,112,-1,-1,66,-1,-1,2,-1,-1,-1,174,-1,-1,-1,-1,-1,-1,-1,2,-1,706,864,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,126,-1,-1,42,68,-1,22,-1,26,2,-1,-1,26,10,-1,102,14,56,22,4,-1,8,16,0,-1,-1,28,2,26,322,22,-1,-1,12,-1,-1,0,-1,10,176,-1,8,-1,0,20,26,6,80,16,2,0,426,-1,24,6,-1,64,36,26,38,14,-1,28,0,10,-1,42,-1,-1,-1,-1,106,-1,-1,68,6,-1,190,4,-1,194,-1,118,8,-1,56,66,-1,100,52,-1,-1,-1,-1,-1,68,222,-1,-1,30,-1,12,-1,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,52,64,-1,-1,6,-1,0,-1,-1,16,-1,16,-1,12,-1,14,108,-1,-1,-1,-1,-1,2,26,162,-1,12,-1,102,-1,10,-1,-1,8,-1,24,-1,-1,46,-1,-1,-1,-1,10,-1,-1,6,-1,8,-1,-1,34,-1,-1,-1,64,-1,-1,-1,-1,40,-1,-1,-1,-1,10,6,-1,-1,20,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,976,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,148,-1,-1,42,64,-1,22,-1,10,0,-1,-1,28,8,-1,24,2,110,0,0,-1,30,24,6,-1,-1,26,8,8,336,16,-1,-1,14,-1,-1,-1,-1,8,344,-1,18,-1,6,0,28,0,86,8,0,12,270,-1,22,32,-1,114,6,18,40,20,-1,40,6,12,-1,-1,-1,-1,-1,-1,130,-1,-1,32,12,-1,78,12,-1,52,-1,244,10,-1,78,22,-1,180,80,-1,-1,-1,-1,-1,82,288,-1,-1,0,-1,0,-1,-1,20,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,226,70,-1,-1,22,-1,0,-1,-1,16,-1,4,-1,6,-1,8,116,-1,-1,-1,-1,-1,2,66,240,-1,40,-1,58,-1,6,-1,-1,12,-1,2,-1,-1,40,-1,-1,-1,-1,42,-1,-1,18,-1,8,-1,-1,14,-1,-1,-1,76,-1,-1,-1,-1,20,-1,-1,-1,-1,24,0,-1,-1,28,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,634,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,232,-1,-1,38,52,-1,22,-1,46,0,-1,-1,16,8,-1,10,42,128,14,0,-1,54,44,18,-1,-1,0,16,22,516,34,-1,-1,16,-1,-1,-1,-1,8,36,-1,30,-1,10,10,6,108,58,6,0,4,210,-1,28,10,-1,68,10,22,56,6,-1,20,0,2,-1,-1,-1,-1,-1,-1,154,-1,-1,80,16,-1,100,0,-1,44,-1,158,2,-1,36,52,-1,28,44,-1,-1,-1,-1,-1,132,472,-1,-1,24,-1,0,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,30,-1,-1,8,-1,0,-1,-1,2,-1,26,-1,2,-1,26,108,-1,-1,-1,-1,-1,12,-1,238,-1,52,-1,74,-1,0,-1,-1,32,-1,0,-1,-1,20,-1,-1,-1,-1,10,-1,-1,6,-1,16,-1,-1,26,-1,-1,-1,78,-1,-1,-1,-1,34,-1,-1,-1,-1,12,-1,-1,-1,34,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,906,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,44,36,-1,62,-1,10,0,-1,-1,22,34,-1,18,38,-1,6,0,-1,20,24,20,-1,-1,0,34,32,260,52,-1,-1,14,-1,-1,-1,-1,2,64,-1,2,-1,10,0,34,22,68,22,0,10,376,-1,32,6,-1,116,34,40,100,6,-1,22,0,22,-1,-1,-1,-1,-1,-1,124,-1,-1,8,18,-1,88,6,-1,152,-1,120,-1,-1,132,36,-1,122,70,-1,-1,-1,-1,-1,82,558,-1,-1,4,-1,6,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,20,-1,-1,12,-1,0,-1,-1,2,-1,6,-1,0,-1,16,38,-1,-1,-1,-1,-1,2,-1,304,-1,-1,-1,32,-1,6,-1,-1,42,-1,0,-1,-1,12,-1,-1,-1,-1,14,-1,-1,2,-1,10,-1,-1,42,-1,-1,-1,110,-1,-1,-1,-1,42,-1,-1,-1,-1,38,-1,-1,-1,28,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,732,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,64,96,-1,4,-1,6,-1,-1,-1,20,8,-1,8,50,-1,6,0,-1,2,46,2,-1,-1,42,78,18,488,42,-1,-1,8,-1,-1,-1,-1,4,218,-1,4,-1,2,20,24,46,64,12,0,0,586,-1,36,44,-1,208,-1,0,102,0,-1,26,0,0,-1,-1,-1,-1,-1,-1,126,-1,-1,38,0,-1,156,0,-1,60,-1,568,-1,-1,116,44,-1,-1,122,-1,-1,-1,-1,-1,78,-1,-1,-1,20,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,12,-1,-1,2,-1,0,-1,-1,14,-1,20,-1,0,-1,18,78,-1,-1,-1,-1,-1,2,-1,264,-1,-1,-1,30,-1,0,-1,-1,10,-1,8,-1,-1,22,-1,-1,-1,-1,6,-1,-1,4,-1,0,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,2,-1,-1,-1,16,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,6,-1,20,-1,8,-1,-1,-1,18,32,-1,18,40,-1,4,0,-1,48,20,2,-1,-1,6,0,6,766,28,-1,-1,32,-1,-1,-1,-1,0,32,-1,12,-1,0,56,32,34,40,4,0,14,600,-1,12,14,-1,102,-1,24,168,4,-1,16,0,2,-1,-1,-1,-1,-1,-1,78,-1,-1,22,2,-1,30,2,-1,52,-1,276,-1,-1,86,48,-1,-1,104,-1,-1,-1,-1,-1,106,-1,-1,-1,6,-1,2,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,72,-1,-1,4,-1,-1,-1,-1,2,-1,6,-1,-1,-1,26,272,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,40,-1,2,-1,-1,12,-1,10,-1,-1,4,-1,-1,-1,-1,84,-1,-1,2,-1,0,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,12,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,490,-1,30,-1,22,-1,-1,-1,20,44,-1,4,70,-1,6,0,-1,64,12,8,-1,-1,4,2,20,460,24,-1,-1,8,-1,-1,-1,-1,12,228,-1,4,-1,-1,36,24,20,8,42,6,6,-1,-1,50,-1,-1,198,-1,36,-1,8,-1,18,4,2,-1,-1,-1,-1,-1,-1,264,-1,-1,4,2,-1,58,0,-1,136,-1,-1,-1,-1,136,54,-1,-1,110,-1,-1,-1,-1,-1,148,-1,-1,-1,26,-1,16,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,72,-1,-1,2,-1,-1,-1,-1,12,-1,0,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,46,-1,16,-1,-1,4,-1,-1,-1,-1,44,-1,-1,4,-1,6,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,20,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,208,-1,30,-1,28,-1,-1,-1,20,34,-1,2,-1,-1,0,2,-1,-1,30,14,-1,-1,2,50,10,388,28,-1,-1,12,-1,-1,-1,-1,6,34,-1,0,-1,-1,78,24,30,74,-1,2,2,-1,-1,4,-1,-1,218,-1,8,-1,-1,-1,2,20,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,18,-1,34,0,-1,132,-1,-1,-1,-1,-1,200,-1,-1,42,-1,-1,-1,-1,-1,182,-1,-1,-1,14,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,32,-1,-1,8,-1,-1,-1,-1,12,-1,0,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,40,-1,-1,-1,-1,6,-1,-1,-1,-1,6,-1,-1,12,-1,0,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,148,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,48,-1,20,-1,28,-1,-1,-1,18,36,-1,-1,-1,-1,2,0,-1,-1,16,4,-1,-1,2,14,8,-1,18,-1,-1,18,-1,-1,-1,-1,2,64,-1,6,-1,-1,140,4,2,32,-1,0,8,-1,-1,38,-1,-1,-1,-1,32,-1,-1,-1,6,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,124,6,-1,404,-1,-1,-1,-1,-1,52,-1,-1,28,-1,-1,-1,-1,-1,150,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,2,-1,-1,28,-1,-1,-1,-1,20,-1,2,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,4,-1,6,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,72,-1,86,-1,38,-1,-1,-1,22,24,-1,-1,-1,-1,4,0,-1,-1,40,0,-1,-1,0,0,16,-1,24,-1,-1,20,-1,-1,-1,-1,0,140,-1,12,-1,-1,-1,28,28,32,-1,6,2,-1,-1,12,-1,-1,-1,-1,16,-1,-1,-1,18,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,110,0,-1,140,-1,-1,-1,-1,-1,112,-1,-1,74,-1,-1,-1,-1,-1,146,-1,-1,-1,62,-1,12,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,6,-1,-1,8,-1,-1,-1,-1,12,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,38,-1,-1,2,-1,0,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
