openwebbeans,drill,jena,etch,wave,shindig,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,myriad,wink,juddi,airflow,hudi,daffodil,cordova,madlib,fluo,trafficserver,tez,jackrabbit,mrql,qpid,iota,iotdb,yoko,ariatosca,servicemix,gobblin,asterixdb,edgent,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,pivot,batchee,deltacloud,gearpump,weex,falcon,slider,tephra,sling,carbondata,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,thrift,subversion,bigtop,directory,pulsar,stanbol,predictionio,apisix,s2graph,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,deltaspike,superset,solr,htrace,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,vcl,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,celix,kafka,hise,pdfbox,bookkeeper,hdt,mnemonic,storm,cloudstack,metron,adffaces,brooklyn,beam,servicecomb,ignite,libcloud,wicket,hcatalog,oozie,iceberg,click,stratos,tinkerpop,johnzon,xmlbeans,abdera,calcite,warble,kitty,aurora,synapse,openmeetings,kylin,bloodhound,harmony,nuvem,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,isis,mod_ftp,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,geode,pubscribe,pig,heraldry,derby,dolphinscheduler,myfaces,fineract,openjpa,flume,ace,ftpserver,plc4x,phoenix,ant,lenya,triplesoup,crunch,airavata,depot,accumulo,ripple,whirr,olingo,directmemory,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,apex,activemq,couchdb,cxf,commons,concerted,alois,ode,rave,onami,pirk,struts,metamodel,corinthia,cayenne,spamassassin,kudu,socialsite,ctakes,avalon,nutch,kabuki
16,100,78,34,40,346,2,88,14,42,306,10,10,32,24,80,48,36,20,0,12,12,294,2,18,4,22,0,38,0,30,36,42,0,16,0,0,46,14,0,4,1336,68,0,6,62,0,6,0,50,0,22,6,14,2,42,20,22,114,106,4,236,20,4,34,12,84,8,180,2,26,16,2,208,14,200,10,32,8,76,362,12,42,40,0,34,0,64,66,2,22,32,70,8,46,6,76,112,38,16,14,34,120,32,10,8,28,12,138,24,4,30,16,384,-1,26,12,0,6,22,-1,14,14,32,32,28,130,12,10,264,28,118,60,8,16,54,2,14,30,172,0,66,28,56,-1,88,30,14,24,0,34,92,48,72,70,-1,358,22,72,58,-1,150,22,94,2,0,28,0,8,108,22,2,312,1116,56,206,70,218,36,226,124,238,52,86,16,20,224,38,10,50,8,22,0,14,98,30,202,138,40,178,0,14,18,30,12,40,36,554,60,24,0,2,10,28,-1,12,0,230,8,64,30,250,16,-1,138,72,44,32,16,8,-1,88,188,-1,16,4,42,-1,6,8,42,8,700,260,52,74,122,114,-1,198,148,466,348,188,96,-1,-1,0,74,72,-1,2,-1,12,20,124,-1,130,-1,96,-1,-1,-1
4,62,62,2,116,334,6,224,24,16,414,38,0,24,22,104,24,94,30,0,28,12,300,6,18,4,26,14,16,0,20,26,20,16,46,6,4,168,6,0,8,1410,56,16,12,12,6,4,6,14,6,30,4,30,4,94,4,-1,200,58,8,336,6,4,74,24,212,6,92,10,42,32,6,222,2,160,18,36,6,24,390,12,48,50,0,0,0,18,64,0,36,32,40,8,14,2,170,110,20,26,10,62,14,28,6,2,52,6,166,64,14,42,6,548,-1,4,28,0,14,20,-1,10,22,18,82,74,180,12,6,72,40,126,28,2,24,52,0,26,72,170,0,84,2,182,-1,88,16,14,64,0,20,76,24,96,44,-1,140,28,144,76,-1,142,4,126,12,0,96,0,12,74,18,40,554,772,150,184,80,98,126,228,22,294,48,160,18,68,176,58,2,28,6,18,0,16,88,82,236,110,64,158,8,10,6,2,8,54,38,820,28,26,0,2,92,50,-1,22,0,326,10,122,72,400,82,-1,34,64,40,24,4,18,-1,56,144,-1,6,32,26,-1,22,28,122,0,1048,292,78,22,60,94,-1,170,26,726,284,182,128,-1,-1,2,36,42,-1,2,-1,16,38,104,-1,96,-1,68,-1,-1,-1
6,58,66,20,36,214,10,156,0,20,284,34,0,0,16,48,88,42,18,2,32,6,362,0,4,10,66,54,8,0,26,14,0,14,30,0,2,144,54,12,14,624,20,18,6,44,6,8,0,28,0,12,12,48,0,102,12,-1,150,152,4,272,6,2,68,16,88,2,102,2,72,24,6,250,16,188,16,2,6,34,370,28,54,118,14,0,0,188,80,0,22,30,64,16,36,2,112,132,46,4,6,46,24,38,-1,8,30,22,70,30,2,34,16,-1,-1,2,6,0,6,52,-1,40,38,28,168,30,304,6,30,248,28,100,36,2,30,66,-1,22,44,134,2,230,2,92,-1,64,42,8,28,2,38,18,6,70,28,-1,290,14,98,70,-1,132,0,166,30,10,54,2,8,54,14,0,680,1310,50,122,48,196,62,162,28,250,20,114,60,106,150,44,20,14,28,100,0,4,70,20,326,148,30,60,12,26,18,0,24,-1,76,510,42,14,8,4,10,84,-1,6,0,162,-1,54,40,364,130,-1,28,62,96,8,0,14,-1,92,154,-1,78,14,6,-1,16,58,82,10,1482,220,48,54,100,96,-1,302,60,244,436,220,182,-1,-1,-1,36,108,-1,42,-1,4,42,92,-1,-1,-1,72,-1,-1,-1
6,22,86,22,100,222,10,330,0,26,272,30,16,4,14,8,92,42,32,22,22,10,-1,0,18,4,38,18,6,2,22,14,6,28,52,28,0,114,42,40,10,910,60,26,0,26,8,0,4,18,0,10,12,20,8,124,30,-1,136,98,12,274,8,26,-1,46,126,4,154,8,60,14,40,234,8,130,20,40,0,14,344,4,166,62,16,40,12,98,80,0,50,24,46,30,54,22,128,230,48,16,4,68,46,36,-1,8,86,16,106,32,0,12,2,-1,-1,0,6,0,10,68,-1,88,12,48,50,52,70,12,18,-1,30,604,58,10,68,62,-1,18,36,94,0,140,2,68,-1,24,64,2,18,2,2,110,10,84,40,-1,230,0,168,84,-1,172,2,212,26,0,164,0,0,32,0,0,252,1558,54,158,54,392,160,286,28,250,0,80,36,48,238,230,6,34,12,104,0,0,66,62,232,174,76,230,4,0,6,12,38,-1,86,470,86,26,0,2,42,6,-1,22,0,442,-1,32,14,288,106,-1,26,98,136,18,0,38,-1,38,66,-1,48,70,4,-1,22,20,-1,88,-1,-1,132,48,110,56,-1,240,84,-1,288,312,164,-1,-1,-1,106,86,-1,0,-1,2,104,140,-1,-1,-1,86,-1,-1,-1
16,40,138,6,98,204,6,336,6,6,222,14,14,34,14,50,38,16,22,6,40,12,-1,14,4,8,28,20,36,0,20,22,0,24,16,2,0,88,16,6,2,1418,74,0,0,36,10,6,0,38,0,12,4,20,8,0,16,-1,148,154,16,354,6,6,-1,10,138,0,244,24,58,26,24,258,8,178,30,68,0,16,284,12,152,74,2,0,0,116,44,2,8,30,56,26,40,2,128,188,12,10,10,68,56,66,-1,10,10,14,100,16,2,14,14,-1,-1,34,16,0,2,144,-1,70,10,36,66,68,-1,4,40,-1,8,250,48,2,56,48,-1,114,20,110,0,90,0,60,-1,66,58,18,20,12,94,96,2,230,18,-1,260,2,238,62,-1,206,0,178,44,2,118,10,30,30,4,10,356,1822,68,62,90,336,140,334,8,-1,8,54,30,48,460,128,22,18,8,28,0,6,98,42,240,196,78,356,4,2,2,2,88,-1,34,372,30,32,0,0,66,40,-1,24,4,446,-1,40,0,450,122,-1,94,94,146,22,2,38,-1,32,148,-1,-1,48,2,-1,0,44,-1,30,-1,-1,62,66,66,52,-1,222,74,-1,236,-1,152,-1,-1,-1,52,76,-1,24,-1,14,2,82,-1,-1,-1,-1,-1,-1,-1
46,64,136,8,44,232,4,52,6,8,352,14,12,44,10,32,44,14,28,32,42,10,-1,4,8,12,-1,8,50,2,22,10,2,16,44,2,0,92,68,82,10,1874,64,2,2,28,22,0,2,62,4,22,2,36,0,32,10,-1,206,230,2,208,38,4,-1,10,216,2,172,4,56,12,42,280,16,72,14,32,18,32,416,4,90,-1,0,0,0,12,44,14,36,10,84,18,22,8,94,172,2,0,14,54,58,2,-1,20,8,18,336,12,10,22,2,-1,-1,12,16,0,6,142,-1,92,38,14,52,92,-1,14,14,-1,32,182,36,2,44,36,-1,12,84,80,12,142,50,30,-1,30,-1,10,46,22,46,76,4,122,36,-1,552,22,-1,100,-1,118,0,28,46,6,158,4,24,28,18,8,220,1966,268,170,54,448,18,316,10,-1,18,70,110,34,462,168,6,54,12,48,0,6,66,46,116,236,68,436,4,12,2,18,-1,-1,-1,638,52,42,0,2,-1,86,-1,50,38,338,-1,26,4,444,122,-1,108,126,94,16,4,22,-1,70,292,-1,-1,24,2,-1,0,22,-1,64,-1,-1,-1,116,-1,86,-1,184,120,-1,268,-1,170,-1,-1,-1,42,28,-1,-1,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1
14,42,150,2,100,174,14,24,30,20,516,44,54,50,12,42,104,34,48,2,62,8,-1,0,10,8,-1,6,8,0,30,18,2,20,14,2,6,90,40,18,4,1146,60,14,0,12,18,12,0,66,2,16,12,22,4,10,12,-1,206,58,12,314,22,2,-1,24,180,4,94,2,80,26,46,188,18,86,14,0,8,12,266,38,64,-1,0,0,0,52,70,6,44,18,68,18,44,8,162,-1,6,20,4,56,44,10,-1,18,0,8,436,16,14,46,10,-1,-1,6,22,0,0,120,-1,48,36,72,26,50,-1,18,22,-1,6,288,74,2,34,28,-1,6,96,212,2,200,18,68,-1,82,-1,2,24,0,112,16,10,120,58,-1,326,16,-1,66,-1,176,2,132,148,0,144,0,16,108,22,2,354,2262,228,134,50,264,-1,316,44,-1,30,74,54,68,510,128,0,58,20,50,0,0,80,64,136,144,106,544,2,48,6,4,-1,-1,-1,1444,70,40,6,0,-1,30,-1,66,4,360,-1,32,30,358,146,-1,76,68,130,2,6,16,-1,90,304,-1,-1,54,10,-1,20,10,-1,-1,-1,-1,-1,44,-1,22,-1,190,160,-1,244,-1,226,-1,-1,-1,28,78,-1,-1,-1,24,0,-1,-1,-1,-1,-1,-1,-1,-1
24,80,208,2,80,124,2,192,18,44,302,64,32,4,10,6,16,60,80,34,122,12,-1,2,16,0,-1,0,6,2,50,52,0,8,14,6,0,90,26,24,12,2086,44,0,0,6,20,30,6,24,0,34,30,14,0,36,56,-1,262,120,6,422,28,8,-1,16,62,0,114,0,60,8,68,222,6,112,28,0,16,10,418,16,24,-1,0,0,6,16,-1,0,46,6,88,28,46,30,74,-1,6,26,6,66,86,10,-1,36,12,2,160,14,20,44,26,-1,-1,12,14,0,0,120,-1,42,10,74,34,104,-1,18,36,-1,8,128,76,0,-1,14,-1,24,26,8,4,148,2,60,-1,136,-1,6,44,0,12,80,20,100,36,-1,170,14,-1,76,-1,208,0,142,-1,4,322,0,44,64,22,2,242,1592,166,210,50,-1,-1,-1,40,-1,6,60,246,56,312,32,8,-1,10,82,0,2,94,70,80,246,92,402,4,32,26,0,-1,-1,-1,454,88,4,0,2,-1,86,-1,42,0,226,-1,64,-1,242,58,-1,46,224,176,2,0,30,-1,48,210,-1,-1,56,-1,-1,14,20,-1,-1,-1,-1,-1,72,-1,48,-1,154,260,-1,300,-1,250,-1,-1,-1,72,108,-1,-1,-1,4,10,-1,-1,-1,-1,-1,-1,-1,-1
46,110,130,6,102,240,2,304,2,50,328,88,14,4,6,42,12,26,98,48,134,28,-1,0,22,2,-1,0,12,0,62,46,2,24,2,4,8,98,6,46,2,2394,96,6,2,16,24,4,0,132,0,18,10,6,2,22,18,-1,86,122,10,506,38,26,-1,86,128,2,134,6,54,98,26,186,0,166,22,0,2,30,274,12,96,-1,12,2,2,98,-1,0,56,26,66,18,24,14,82,-1,0,18,20,124,322,24,-1,30,14,6,134,10,12,32,0,-1,-1,0,12,0,20,72,-1,58,30,36,86,74,-1,12,16,-1,-1,148,8,4,-1,10,-1,12,36,50,4,312,30,72,-1,160,-1,46,66,6,4,128,40,86,94,-1,334,26,-1,82,-1,88,6,128,-1,2,220,6,38,40,10,26,-1,-1,186,162,76,-1,-1,-1,64,-1,64,96,22,10,-1,38,6,-1,20,184,0,2,168,50,114,-1,68,382,6,2,16,18,-1,-1,-1,492,78,12,2,0,-1,44,-1,-1,2,400,-1,74,-1,246,88,-1,56,214,236,12,0,34,-1,34,146,-1,-1,46,-1,-1,12,66,-1,-1,-1,-1,-1,78,-1,16,-1,166,158,-1,228,-1,472,-1,-1,-1,50,82,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
64,114,148,2,44,458,8,494,0,-1,436,58,46,8,14,30,44,20,42,2,42,26,-1,10,26,4,-1,2,26,0,4,44,0,2,2,6,12,94,42,8,2,2392,78,0,4,10,32,18,0,76,0,8,20,8,0,16,34,-1,126,146,14,-1,8,16,-1,30,94,0,130,28,72,52,36,124,12,202,14,44,8,24,178,38,146,-1,0,0,4,102,-1,6,28,10,50,10,56,0,50,-1,0,2,16,66,38,14,-1,24,150,8,284,32,30,26,0,-1,-1,4,14,0,8,152,-1,14,52,84,74,36,-1,6,34,-1,-1,264,48,0,-1,22,-1,14,110,166,8,-1,2,68,-1,82,-1,-1,54,32,6,78,34,86,68,-1,334,20,-1,88,-1,120,0,84,-1,6,106,0,42,94,0,10,-1,-1,116,234,42,-1,-1,-1,50,-1,36,60,22,20,-1,76,0,-1,14,42,0,0,104,8,166,-1,112,496,0,10,18,10,-1,-1,-1,-1,86,20,0,0,-1,74,-1,-1,16,370,-1,-1,-1,-1,60,-1,80,172,-1,6,2,18,-1,38,196,-1,-1,36,-1,-1,46,14,-1,-1,-1,-1,-1,100,-1,50,-1,156,166,-1,190,-1,430,-1,-1,-1,66,106,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1
