openwebbeans,drill,jena,etch,wave,shindig,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,myriad,wink,juddi,airflow,hudi,daffodil,cordova,madlib,fluo,trafficserver,tez,jackrabbit,mrql,qpid,iota,iotdb,yoko,ariatosca,servicemix,gobblin,asterixdb,edgent,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,pivot,batchee,deltacloud,gearpump,weex,falcon,slider,tephra,sling,carbondata,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,blur,vxquery,sirona,thrift,subversion,bigtop,directory,pulsar,stanbol,predictionio,apisix,s2graph,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,deltaspike,superset,solr,htrace,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,vcl,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,celix,kafka,hise,pdfbox,bookkeeper,hdt,mnemonic,storm,cloudstack,metron,adffaces,brooklyn,beam,servicecomb,ignite,libcloud,wicket,hcatalog,oozie,iceberg,click,stratos,tinkerpop,johnzon,xmlbeans,abdera,calcite,warble,kitty,aurora,synapse,openmeetings,kylin,bloodhound,harmony,nuvem,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,isis,mod_ftp,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,geode,pubscribe,pig,heraldry,derby,dolphinscheduler,myfaces,fineract,openjpa,flume,ace,ftpserver,plc4x,phoenix,ant,lenya,triplesoup,crunch,airavata,depot,accumulo,ripple,whirr,olingo,directmemory,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,apex,activemq,couchdb,cxf,commons,concerted,alois,ode,rave,onami,pirk,struts,metamodel,corinthia,cayenne,spamassassin,kudu,socialsite,ctakes,avalon,nutch,kabuki
24,182,50,2,152,126,12,362,6,-1,508,26,20,12,20,14,50,34,126,0,72,48,-1,0,20,2,-1,0,20,2,26,82,-1,20,12,28,0,48,8,8,32,1574,90,2,4,0,18,4,0,84,22,6,26,30,12,28,38,-1,92,210,8,-1,28,18,-1,48,174,12,164,16,74,4,60,170,8,174,4,14,12,98,304,14,108,-1,10,2,0,24,-1,12,46,40,28,16,78,0,64,-1,6,4,18,92,22,24,-1,18,166,8,224,14,20,4,8,-1,-1,0,36,0,2,42,-1,42,86,44,52,78,-1,0,10,-1,-1,136,16,0,-1,4,-1,16,50,58,2,-1,12,122,-1,106,-1,-1,20,22,0,68,46,94,48,-1,-1,18,-1,66,-1,56,2,58,-1,0,160,0,30,80,0,8,-1,-1,142,238,50,-1,-1,-1,82,-1,36,114,4,16,-1,74,8,-1,6,50,0,0,108,6,100,-1,136,618,4,6,18,10,-1,-1,-1,-1,88,4,0,56,-1,28,-1,-1,4,198,-1,-1,-1,-1,42,-1,92,-1,-1,10,8,30,-1,106,480,-1,-1,62,-1,-1,2,38,-1,-1,-1,-1,-1,70,-1,4,-1,156,140,-1,244,-1,414,-1,-1,-1,104,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,66,146,2,136,360,2,388,2,-1,338,38,18,10,16,24,50,50,-1,2,160,38,-1,2,12,2,-1,0,20,0,12,88,-1,12,4,8,0,72,18,30,14,1616,112,0,2,4,16,2,2,96,0,10,12,66,14,6,16,-1,102,138,10,-1,12,22,-1,34,112,8,98,10,112,10,44,156,8,74,0,0,10,8,334,4,48,-1,14,0,2,2,-1,0,28,20,40,34,18,2,44,-1,4,0,28,80,0,6,-1,12,108,12,90,10,56,18,8,-1,-1,14,66,0,0,84,-1,46,142,34,18,88,-1,0,36,-1,-1,208,18,4,-1,32,-1,14,36,42,2,-1,0,158,-1,108,-1,-1,12,54,8,44,6,232,96,-1,-1,16,-1,86,-1,102,14,70,-1,0,92,0,58,88,2,8,-1,-1,280,-1,186,-1,-1,-1,20,-1,38,-1,40,14,-1,72,8,-1,18,50,0,12,98,44,156,-1,112,550,0,28,22,56,-1,-1,-1,-1,138,18,0,32,-1,6,-1,-1,54,340,-1,-1,-1,-1,36,-1,86,-1,-1,0,16,30,-1,116,260,-1,-1,50,-1,-1,10,62,-1,-1,-1,-1,-1,48,-1,14,-1,140,166,-1,334,-1,454,-1,-1,-1,84,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,82,166,0,76,168,4,728,0,-1,450,34,10,0,18,60,44,44,-1,8,90,-1,-1,12,10,2,-1,2,40,0,12,30,-1,12,6,30,4,118,26,0,14,1028,62,0,4,8,34,20,2,92,0,4,2,20,6,36,6,-1,122,126,12,-1,10,-1,-1,92,154,2,148,0,40,4,42,226,0,-1,6,0,34,-1,368,6,-1,-1,20,10,10,24,-1,6,62,6,36,54,36,24,84,-1,104,8,18,64,92,0,-1,14,120,8,178,12,12,4,2,-1,-1,2,64,0,0,86,-1,130,90,34,88,20,-1,6,32,-1,-1,118,32,0,-1,2,-1,6,42,26,6,-1,2,78,-1,92,-1,-1,20,22,24,42,0,118,82,-1,-1,6,-1,32,-1,102,44,92,-1,24,124,0,34,-1,2,28,-1,-1,242,-1,144,-1,-1,-1,36,-1,80,-1,42,36,-1,110,28,-1,40,86,0,0,62,42,-1,-1,148,536,2,4,26,2,-1,-1,-1,-1,108,8,2,20,-1,26,-1,-1,24,294,-1,-1,-1,-1,112,-1,94,-1,-1,8,4,38,-1,70,332,-1,-1,52,-1,-1,8,36,-1,-1,-1,-1,-1,-1,-1,4,-1,184,96,-1,234,-1,278,-1,-1,-1,60,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,124,194,16,28,184,2,194,0,-1,670,20,88,0,22,98,78,60,-1,12,-1,-1,-1,8,10,2,-1,0,8,2,32,18,-1,26,40,22,0,64,8,44,12,1642,54,2,6,2,38,0,0,114,0,18,2,24,8,26,8,-1,202,256,6,-1,66,-1,-1,78,140,26,76,2,44,2,58,258,0,-1,2,0,46,-1,274,16,-1,-1,38,34,0,2,-1,8,64,18,74,56,8,6,58,-1,14,12,2,8,96,10,-1,34,146,6,76,16,42,4,14,-1,-1,42,38,0,0,70,-1,-1,98,66,68,84,-1,0,10,-1,-1,262,80,0,-1,16,-1,14,50,16,4,-1,10,126,-1,88,-1,-1,12,24,0,98,10,86,-1,-1,-1,0,-1,94,-1,154,0,60,-1,6,168,0,68,-1,2,28,-1,-1,230,-1,112,-1,-1,-1,44,-1,56,-1,250,22,-1,110,2,-1,72,86,0,0,94,88,-1,-1,-1,828,6,24,14,0,-1,-1,-1,-1,84,38,16,78,-1,68,-1,-1,0,286,-1,-1,-1,-1,112,-1,44,-1,-1,2,20,38,-1,96,274,-1,-1,114,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,162,98,-1,-1,-1,396,-1,-1,-1,76,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,138,164,14,76,214,20,460,2,-1,496,44,110,8,12,68,24,74,-1,82,-1,-1,-1,16,6,6,-1,0,12,2,74,24,-1,10,24,74,16,72,12,8,4,1238,68,0,2,2,28,12,0,104,0,34,6,30,6,60,48,-1,168,252,6,-1,30,-1,-1,322,150,10,42,0,116,12,40,252,14,-1,30,16,24,-1,344,6,-1,-1,0,0,10,4,-1,0,30,24,60,50,16,2,70,-1,4,26,0,106,80,10,-1,36,188,4,454,28,38,4,0,-1,-1,14,56,0,4,52,-1,-1,-1,174,102,104,-1,2,20,-1,-1,46,-1,2,-1,38,-1,4,48,168,10,-1,12,178,-1,-1,-1,-1,26,14,0,50,38,92,-1,-1,-1,8,-1,114,-1,108,0,154,-1,0,188,2,16,-1,0,10,-1,-1,274,-1,128,-1,-1,-1,16,-1,18,-1,32,-1,-1,52,22,-1,52,166,0,0,180,74,-1,-1,-1,784,0,10,8,4,-1,-1,-1,-1,28,54,8,60,-1,10,-1,-1,0,260,-1,-1,-1,-1,44,-1,48,-1,-1,4,14,58,-1,62,236,-1,-1,102,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,192,-1,-1,-1,-1,328,-1,-1,-1,88,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,68,146,6,52,324,2,290,20,-1,204,4,2,106,24,88,38,188,-1,30,-1,-1,-1,4,32,16,-1,0,26,2,48,76,-1,24,4,16,0,116,32,38,2,1532,74,0,18,2,-1,4,4,48,28,22,16,52,4,6,26,-1,74,194,6,-1,44,-1,-1,92,188,0,66,6,60,4,38,120,2,-1,18,2,44,-1,240,2,-1,-1,0,0,2,10,-1,2,44,6,40,52,24,0,112,-1,18,10,0,170,80,20,-1,-1,4,0,174,30,22,4,2,-1,-1,2,28,0,0,44,-1,-1,-1,-1,106,36,-1,0,100,-1,-1,56,-1,2,-1,48,-1,36,68,148,46,-1,4,172,-1,-1,-1,-1,28,10,2,32,36,122,-1,-1,-1,16,-1,66,-1,82,0,84,-1,4,-1,0,36,-1,6,0,-1,-1,290,-1,98,-1,-1,-1,6,-1,44,-1,150,-1,-1,84,2,-1,70,44,0,2,330,108,-1,-1,-1,486,0,2,18,6,-1,-1,-1,-1,18,10,8,22,-1,84,-1,-1,0,172,-1,-1,-1,-1,36,-1,44,-1,-1,0,24,50,-1,58,140,-1,-1,102,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,146,-1,-1,-1,-1,378,-1,-1,-1,106,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,46,184,2,58,406,0,812,10,-1,-1,36,-1,42,12,66,18,40,-1,0,-1,-1,-1,4,66,12,-1,0,0,2,6,40,-1,30,38,28,0,130,12,30,6,1940,54,0,6,4,-1,2,2,50,62,6,60,34,2,16,38,-1,176,-1,12,-1,88,-1,-1,-1,140,2,152,6,76,26,10,182,24,-1,18,2,20,-1,276,8,-1,-1,0,0,0,30,-1,12,-1,14,64,52,20,0,86,-1,4,2,0,26,32,10,-1,-1,2,6,178,18,20,16,0,-1,-1,32,14,6,2,54,-1,-1,-1,-1,106,-1,-1,2,40,-1,-1,34,-1,2,-1,80,-1,16,68,90,124,-1,20,168,-1,-1,-1,-1,14,4,2,38,22,202,-1,-1,-1,2,-1,102,-1,70,0,46,-1,12,-1,0,22,-1,12,6,-1,-1,-1,-1,114,-1,-1,-1,54,-1,20,-1,24,-1,-1,-1,10,-1,32,88,0,2,136,56,-1,-1,-1,854,0,0,0,20,-1,-1,-1,-1,8,26,6,20,-1,94,-1,-1,0,214,-1,-1,-1,-1,72,-1,-1,-1,-1,2,18,-1,-1,42,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,212,-1,-1,-1,-1,318,-1,-1,-1,56,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,32,-1,0,62,252,6,1388,8,-1,-1,20,-1,40,8,34,28,84,-1,16,-1,-1,-1,8,26,10,-1,2,24,2,52,54,-1,18,6,12,0,128,36,60,6,-1,96,2,4,28,-1,0,0,-1,10,18,34,22,8,2,50,-1,156,-1,8,-1,92,-1,-1,-1,94,26,208,36,60,44,10,214,14,-1,14,2,16,-1,244,0,-1,-1,0,0,0,12,-1,0,-1,10,50,40,16,14,112,-1,0,26,2,64,58,12,-1,-1,156,0,268,16,20,8,0,-1,-1,40,6,0,6,32,-1,-1,-1,-1,102,-1,-1,2,82,-1,-1,130,-1,0,-1,24,-1,12,60,54,66,-1,8,90,-1,-1,-1,-1,12,12,16,68,20,110,-1,-1,-1,10,-1,66,-1,186,0,60,-1,2,-1,0,28,-1,6,28,-1,-1,-1,-1,112,-1,-1,-1,38,-1,68,-1,204,-1,-1,-1,8,-1,28,-1,0,0,-1,-1,-1,-1,-1,1138,0,0,40,2,-1,-1,-1,-1,12,30,-1,0,-1,120,-1,-1,20,378,-1,-1,-1,-1,158,-1,-1,-1,-1,36,10,-1,-1,34,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,210,-1,-1,-1,-1,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,48,-1,2,50,140,26,368,2,-1,-1,14,-1,40,12,96,30,-1,-1,48,-1,-1,-1,0,42,6,-1,0,0,0,26,36,-1,16,10,18,0,118,18,80,4,-1,88,0,22,26,-1,0,6,-1,6,36,42,18,6,6,22,-1,118,-1,30,-1,12,-1,-1,-1,222,0,98,2,106,0,26,158,4,-1,4,2,14,-1,260,26,-1,-1,8,12,0,0,-1,0,-1,12,40,134,32,28,160,-1,12,12,0,54,88,6,-1,-1,194,0,170,22,18,8,14,-1,-1,32,12,0,0,110,-1,-1,-1,-1,54,-1,-1,0,16,-1,-1,84,-1,2,-1,34,-1,8,28,-1,36,-1,14,146,-1,-1,-1,-1,18,0,44,58,36,60,-1,-1,-1,4,-1,28,-1,142,24,154,-1,14,-1,12,38,-1,0,174,-1,-1,-1,-1,136,-1,-1,-1,60,-1,32,-1,334,-1,-1,-1,0,-1,42,-1,0,4,-1,-1,-1,-1,-1,-1,0,14,34,8,-1,-1,-1,-1,26,10,-1,22,-1,24,-1,-1,0,480,-1,-1,-1,-1,54,-1,-1,-1,-1,14,14,-1,-1,32,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,160,-1,-1,-1,-1,298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,66,-1,8,104,216,4,440,0,-1,-1,12,-1,20,8,226,28,-1,-1,8,-1,-1,-1,2,10,14,-1,0,16,0,14,48,-1,20,14,12,0,74,32,98,4,-1,60,2,6,28,-1,2,0,-1,6,46,28,18,2,0,14,-1,282,-1,16,-1,36,-1,-1,-1,-1,2,126,0,58,28,12,286,4,-1,10,8,14,-1,354,4,-1,-1,8,0,0,0,-1,12,-1,10,88,46,14,0,204,-1,8,8,0,82,26,0,-1,-1,118,0,118,16,32,14,0,-1,-1,28,14,0,0,22,-1,-1,-1,-1,100,-1,-1,0,34,-1,-1,80,-1,16,-1,38,-1,4,76,-1,42,-1,8,24,-1,-1,-1,-1,30,0,18,28,28,136,-1,-1,-1,2,-1,104,-1,68,10,70,-1,10,-1,6,16,-1,0,4,-1,-1,-1,-1,292,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,0,-1,54,-1,2,2,-1,-1,-1,-1,-1,-1,0,0,20,18,-1,-1,-1,-1,18,18,-1,14,-1,68,-1,-1,0,290,-1,-1,-1,-1,24,-1,-1,-1,-1,28,24,-1,-1,24,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,146,-1,-1,-1,-1,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,66,-1,2,2,132,0,332,32,-1,-1,24,-1,50,20,112,18,-1,-1,2,-1,-1,-1,4,12,0,-1,0,118,6,38,40,-1,10,14,0,2,86,34,22,4,-1,126,8,12,-1,-1,0,2,-1,28,22,22,68,12,12,6,-1,334,-1,20,-1,150,-1,-1,-1,-1,2,132,0,70,0,2,220,2,-1,6,0,24,-1,360,2,-1,-1,4,0,0,4,-1,0,-1,18,50,64,6,2,140,-1,16,20,0,26,-1,0,-1,-1,150,0,162,20,24,18,34,-1,-1,26,18,0,8,62,-1,-1,-1,-1,214,-1,-1,2,80,-1,-1,50,-1,0,-1,48,-1,16,16,-1,24,-1,16,0,-1,-1,-1,-1,36,78,0,80,52,106,-1,-1,-1,10,-1,68,-1,132,10,124,-1,14,-1,8,112,-1,6,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,6,-1,56,-1,0,6,-1,-1,-1,-1,-1,-1,0,0,4,16,-1,-1,-1,-1,24,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,24,-1,-1,66,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,160,-1,-1,-1,-1,318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,26,-1,4,6,146,0,512,4,-1,-1,18,-1,14,16,98,50,-1,-1,2,-1,-1,-1,4,10,4,-1,28,26,0,16,122,-1,48,12,2,0,72,48,12,6,-1,78,0,36,-1,-1,4,0,-1,58,0,8,56,0,6,6,-1,196,-1,16,-1,40,-1,-1,-1,-1,0,254,0,90,6,0,174,12,-1,8,0,24,-1,300,40,-1,-1,12,2,0,6,-1,0,-1,8,24,50,20,2,116,-1,42,36,0,32,-1,2,-1,-1,78,6,204,18,38,20,2,-1,-1,8,10,0,0,10,-1,-1,-1,-1,70,-1,-1,0,-1,-1,-1,50,-1,0,-1,52,-1,14,54,-1,12,-1,4,80,-1,-1,-1,-1,30,90,6,48,70,130,-1,-1,-1,30,-1,100,-1,176,4,34,-1,16,-1,0,72,-1,14,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,2,-1,88,-1,0,6,-1,-1,-1,-1,-1,-1,2,0,2,60,-1,-1,-1,-1,18,12,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,24,-1,-1,62,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,150,-1,-1,-1,-1,260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,66,-1,2,20,52,0,536,0,-1,-1,8,-1,12,30,150,48,-1,-1,30,-1,-1,-1,0,16,14,-1,8,-1,0,22,92,-1,34,46,20,0,36,14,60,10,-1,106,0,42,-1,-1,2,0,-1,0,56,18,26,4,0,8,-1,82,-1,20,-1,16,-1,-1,-1,-1,6,282,0,68,8,26,292,2,-1,22,0,18,-1,312,54,-1,-1,14,4,0,74,-1,0,-1,14,0,-1,32,12,140,-1,14,30,0,14,-1,2,-1,-1,-1,0,144,20,28,2,6,-1,-1,16,18,2,0,46,-1,-1,-1,-1,96,-1,-1,28,-1,-1,-1,42,-1,0,-1,44,-1,4,92,-1,8,-1,4,-1,-1,-1,-1,-1,40,54,14,64,12,90,-1,-1,-1,28,-1,92,-1,-1,2,82,-1,0,-1,0,52,-1,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,12,-1,54,-1,0,0,-1,-1,-1,-1,-1,-1,2,6,4,48,-1,-1,-1,-1,22,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,-1,-1,34,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,184,-1,-1,-1,-1,444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,92,-1,2,38,56,2,502,12,-1,-1,48,-1,52,26,134,24,-1,-1,2,-1,-1,-1,0,16,16,-1,26,-1,0,18,64,-1,18,6,2,0,62,18,32,8,-1,104,0,36,-1,-1,14,6,-1,4,18,24,-1,10,6,12,-1,182,-1,32,-1,6,-1,-1,-1,-1,4,192,112,116,10,22,140,6,-1,10,6,104,-1,316,8,-1,-1,-1,0,0,50,-1,0,-1,0,10,-1,12,0,150,-1,4,6,6,182,-1,8,-1,-1,-1,0,58,12,32,2,2,-1,-1,20,14,0,0,56,-1,-1,-1,-1,138,-1,-1,0,-1,-1,-1,222,-1,4,-1,24,-1,0,142,-1,22,-1,0,-1,-1,-1,-1,-1,20,16,0,32,44,178,-1,-1,-1,10,-1,96,-1,-1,2,-1,-1,8,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,28,-1,44,-1,0,2,-1,-1,-1,-1,-1,-1,2,2,14,10,-1,-1,-1,-1,46,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,2,-1,-1,44,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,80,-1,2,54,132,8,474,-1,-1,-1,52,-1,14,6,120,118,-1,-1,26,-1,-1,-1,6,26,24,-1,8,-1,0,2,134,-1,24,14,14,20,90,6,42,2,-1,-1,2,6,-1,-1,0,0,-1,6,20,2,-1,6,6,22,-1,128,-1,12,-1,28,-1,-1,-1,-1,14,180,0,112,-1,44,-1,0,-1,4,0,74,-1,320,6,-1,-1,-1,0,0,14,-1,0,-1,2,14,-1,8,2,-1,-1,34,0,0,-1,-1,8,-1,-1,-1,0,74,6,24,4,34,-1,-1,40,12,20,6,68,-1,-1,-1,-1,74,-1,-1,6,-1,-1,-1,154,-1,12,-1,60,-1,0,82,-1,20,-1,4,-1,-1,-1,-1,-1,84,38,0,28,16,-1,-1,-1,-1,10,-1,92,-1,-1,0,-1,-1,2,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,6,-1,60,-1,0,0,-1,-1,-1,-1,-1,-1,6,0,10,12,-1,-1,-1,-1,30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,2,-1,-1,28,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,622,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,66,-1,6,10,42,4,540,-1,-1,-1,30,-1,2,36,48,-1,-1,-1,20,-1,-1,-1,2,26,24,-1,0,-1,0,10,22,-1,26,22,6,-1,40,10,26,6,-1,-1,0,8,-1,-1,12,0,-1,18,16,2,-1,20,0,8,-1,100,-1,24,-1,-1,-1,-1,-1,-1,4,102,6,-1,-1,-1,-1,0,-1,6,0,54,-1,344,6,-1,-1,-1,0,4,128,-1,8,-1,0,0,-1,24,0,-1,-1,4,10,2,-1,-1,0,-1,-1,-1,0,176,22,18,8,42,-1,-1,32,6,2,6,86,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,70,-1,12,-1,42,-1,0,64,-1,120,-1,30,-1,-1,-1,-1,-1,48,18,88,16,14,-1,-1,-1,-1,0,-1,38,-1,-1,0,-1,-1,8,-1,20,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,-1,-1,-1,-1,-1,-1,-1,68,-1,0,10,-1,-1,-1,-1,-1,-1,6,2,0,2,-1,-1,-1,-1,12,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,6,-1,-1,20,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,182,-1,42,60,88,2,472,-1,-1,-1,50,-1,12,16,38,-1,-1,-1,2,-1,-1,-1,2,10,6,-1,2,-1,2,18,42,-1,20,14,6,-1,54,94,32,20,-1,-1,8,10,-1,-1,6,0,-1,0,12,4,-1,12,2,16,-1,220,-1,4,-1,-1,-1,-1,-1,-1,8,92,0,-1,-1,-1,-1,14,-1,2,0,-1,-1,220,0,-1,-1,-1,2,2,44,-1,0,-1,0,26,-1,10,0,-1,-1,10,10,0,-1,-1,0,-1,-1,-1,36,42,30,30,8,38,-1,-1,12,28,0,2,34,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,66,-1,8,-1,46,-1,2,68,-1,126,-1,14,-1,-1,-1,-1,-1,16,60,-1,94,42,-1,-1,-1,-1,0,-1,26,-1,-1,20,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,0,-1,-1,-1,-1,-1,-1,-1,6,-1,12,6,-1,-1,-1,-1,24,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,10,-1,-1,40,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,276,-1,32,36,108,0,380,-1,-1,-1,24,-1,2,34,36,-1,-1,-1,12,-1,-1,-1,0,-1,8,-1,0,-1,-1,22,156,-1,20,10,2,-1,38,22,100,0,-1,-1,20,14,-1,-1,2,2,-1,0,10,14,-1,10,4,6,-1,162,-1,4,-1,-1,-1,-1,-1,-1,6,138,0,-1,-1,-1,-1,4,-1,18,0,-1,-1,140,0,-1,-1,-1,6,12,344,-1,18,-1,0,24,-1,4,12,-1,-1,8,8,0,-1,-1,8,-1,-1,-1,6,20,14,10,8,-1,-1,-1,10,28,0,6,108,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,84,-1,6,-1,16,-1,10,90,-1,52,-1,0,-1,-1,-1,-1,-1,42,14,-1,134,66,-1,-1,-1,-1,0,-1,44,-1,-1,2,-1,-1,6,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,2,6,-1,-1,-1,-1,30,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,0,-1,-1,56,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
