openwebbeans,jena,etch,shindig,sanselan,rya,skywalking,stdcxx,usergrid,samza,wave,tajo,ratis,mrunit,nmaven,hama,xap,datasketches,awf,tamaya,wookie,devicemap,horn,jspwiki,freemarker,ambari,singa,openoffice,guacamole,sis,photark,tika,unomi,tashi,shardingsphere,pinot,allura,myriad,wink,gora,airflow,daffodil,cordova,madlib,trafficserver,tez,iotdb,gobblin,asterixdb,amaterasu,griffin,helix,mrql,giraph,river,pivot,batchee,deltacloud,gearpump,weex,slider,droids,clerezza,twill,tephra,tuscany,druid,systemml,s4,graffito,juneau,openwhisk,gossip,manifoldcf,odf,mesos,quickstep,bval,curator,streams,blur,vxquery,imperius,subversion,apisix,lucy,nifi,predictionio,knox,trafodion,buildr,yoko,datafu,taverna,ranger,hudi,ariatosca,superset,solr,hawq,aries,jackrabbit,thrift,syncope,climate,sentry,echarts,zeta,shiro,vcl,opennlp,tvm,pulsar,lens,uima,drill,jclouds,falcon,roller,trafficcontrol,celix,htrace,sling,s2graph,kafka,hise,bookkeeper,npanday,samoa,joshua,metron,cloudstack,brooklyn,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,click,stratos,cassandra,tinkerpop,johnzon,carbondata,fluo,calcite,atlas,zeppelin,kitty,edgent,aurora,synapse,sirona,openmeetings,bloodhound,harmony,bigtop,kalumet,nuvem,empire,oltu,oodt,jdo,bluesky,olio,flex,esme,qpid,isis,mod_ftp,abdera,felix,openaz,chemistry,marmotta,geode,deltaspike,servicemix,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,omid,agila,storm,beam,ace,iceberg,pdfbox,plc4x,lokahi,lucenenet,kylin,phoenix,ant,triplesoup,flume,commonsrdf,crunch,myfaces,accumulo,iota,airavata,any23,mynewt,ibatis,ripple,olingo,directmemory,stanbol,eagle,spark,groovy,rocketmq,stonehenge,impala,netbeans,dubbo,oozie,apex,kato,couchdb,whirr,parquet,hdt,pubscribe,cxf,activemq,fineract,ode,rave,commons,openjpa,pirk,metamodel,alois,ivy,ftpserver,flink,cayenne,zipkin,struts,kudu,provisionr,corinthia,ctakes,reef,onami,sqoop,nutch,juice,muse,beehive,ofbiz,directory,cmda
272,851,22,469,8,63,2152,19,2596,82,23,635,80,12,21,16,446,142,-1,146,1,1,65,69,529,153,2,387,70,3,17,63,39,19,-1,476,139,7,33,138,148,281,1562,1,-1,68,1459,97,1049,55,519,70,1,-1,3,192,4,105,251,229,168,1,115,10,25,1273,414,138,3,48,936,221,42,30,1,603,799,12,-1,1,961,5,19,-1,-1,152,-1,106,62,1198,38,106,3,104,529,421,256,239,74,1118,91,131,244,-1,2,199,44,8,23,54,198,1402,642,457,79,628,-1,125,51,369,4,121,114,7,47,47,190,7,10,2,164,9055,299,517,310,37350,41,-1,53,1,6943,187,480,26,1040,1,138,73,39,2,338,146,281,60,242,163,1268,39,10,73,9,18,-1,-1,30,1,44,12,304,186,3,103,30,-1,89,232,10094,56,645,197,8,-1,-1,7,444,21,143,519,4872,5,144,10,963,24,636,558,-1,8,-1,88,4,-1,-1,-1,2,78,-1,1368,-1,49,-1,6,83,923,-1,-1,-1,83,122,7,798,15,-1,126,-1,47,63,2,-1,659,455,63,221,121,-1,-1,-1,14,-1,52,23,-1,-1,-1,-1,-1,-1,-1,-1,943,-1,-1,-1,-1,-1,-1,-1,-1,-1
146,506,2,318,91,233,340,77,2482,90,10,678,116,27,20,30,56,101,-1,155,85,1,1,66,471,155,11,326,1052,3,1,42,26,3,-1,235,138,65,92,2,190,25,-1,10,-1,126,275,40,2179,1396,168,694,6,-1,3,-1,1,66,115,628,318,85,82,48,15,512,482,203,63,130,554,121,82,20,3,91,749,5,-1,34,1110,6,1,-1,-1,182,-1,487,36,1008,59,108,6,84,437,242,108,420,90,1653,93,112,596,-1,72,65,87,2,56,14,58,1024,404,-1,207,362,-1,109,124,891,29,186,16,29,99,18,503,36,7,11,176,-1,2257,485,172,-1,140,-1,99,16,1108,194,597,29,-1,28,148,131,83,13,189,214,55,68,157,37,956,11,13,95,2,10,-1,-1,36,14,117,61,510,82,1,42,75,-1,-1,1185,32049,100,320,122,8,-1,-1,1,268,56,33,-1,1633,33,34,20,1403,2,167,582,-1,68,-1,54,48,-1,-1,-1,5,10,-1,491,-1,1,-1,15,140,530,-1,-1,-1,66,361,1073,1372,59,-1,105,-1,93,513,19,-1,439,841,240,111,159,-1,-1,-1,36,-1,34,37,-1,-1,-1,-1,-1,-1,-1,-1,381,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,282,10,261,15,322,658,78,2548,130,19,560,47,47,70,21,47,275,-1,187,12,16,5,135,183,28,18,456,107,3,1,20,63,6,-1,121,213,51,17,10,145,12,-1,3,-1,298,959,102,782,7,229,806,88,-1,1,-1,10,200,64,417,235,1,118,147,285,833,2444,275,15,31,1501,357,94,16,2,51,393,33,-1,53,70,2,5,-1,-1,65,-1,284,97,808,103,73,122,6,224,560,565,196,68,380,178,101,16,-1,13,65,41,3,58,10,62,1611,462,-1,61,1554,-1,109,734,15,92,75,66,102,78,4,363,24,22,8,349,-1,403,-1,47,-1,15,-1,108,16,-1,255,482,4,-1,71,69,244,193,14,59,592,88,41,228,41,1296,31,1,27,9,7,-1,-1,36,28,304,79,659,227,3,24,256,-1,-1,-1,15645,55,411,200,49,-1,-1,4,243,56,-1,-1,-1,17,50,17,1751,19,1,-1,-1,37,-1,-1,4,-1,-1,-1,-1,59,-1,1475,-1,1,-1,-1,364,1109,-1,-1,-1,28,304,1437,635,89,-1,-1,-1,83,-1,28,-1,476,546,238,133,166,-1,-1,-1,17,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,350,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,336,3,217,34,125,1091,50,2652,193,45,333,48,43,52,8,12,389,-1,55,11,7,-1,761,1,456,106,353,1804,4,6,34,5,11,-1,309,221,53,142,1,97,112,-1,23,-1,275,973,57,317,14,92,250,18,-1,1,-1,10,57,5,1156,164,3,42,152,7,945,2685,177,58,9,1362,383,17,24,7,109,354,34,-1,89,303,2,1,-1,-1,165,-1,304,-1,2497,74,77,14,90,59,627,122,439,106,603,207,105,27,-1,-1,29,46,2,46,8,346,2784,598,-1,55,14,-1,28,391,14,71,45,131,60,82,17,444,31,7,9,159,-1,194,-1,-1,-1,6,-1,112,41,-1,-1,753,12,-1,12,133,206,223,10,36,306,119,4,93,70,974,20,4,13,13,6,-1,-1,2,55,-1,108,440,221,4,100,126,-1,-1,-1,8825,92,223,118,49,-1,-1,6,476,14,-1,-1,-1,26,442,43,271,7,53,-1,-1,16,-1,-1,25,-1,-1,-1,-1,90,-1,2605,-1,2,-1,-1,188,569,-1,-1,-1,55,253,1329,672,217,-1,-1,-1,73,-1,17,-1,212,576,83,169,87,-1,-1,-1,45,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,415,-1,-1,-1,-1,-1,-1,-1,-1,-1
163,380,6,145,6,754,571,71,821,260,5,676,64,-1,125,8,117,245,-1,205,14,1,-1,190,2,821,311,426,54,5,4,19,39,2,-1,202,199,1,95,9,194,189,-1,416,-1,151,532,84,-1,9,333,880,2,-1,1,-1,1,47,1508,573,73,98,35,21,19,784,2496,673,61,145,1002,366,29,27,2,11,261,1,-1,6,1054,7,2,-1,-1,124,-1,323,-1,757,1,93,3,2,171,171,288,180,-1,1712,168,117,6,-1,-1,185,22,3,2,4,100,-1,531,-1,152,123,-1,123,292,10,52,52,60,14,139,2,-1,2,34,2,179,-1,382,-1,-1,-1,10,-1,66,-1,-1,-1,410,12,-1,12,127,436,326,-1,326,271,24,12,122,97,1305,22,-1,59,2,3,-1,-1,357,45,-1,19,497,305,5,70,129,-1,-1,-1,5425,84,354,-1,20,-1,-1,1,185,5,-1,-1,-1,25,798,47,993,6,118,-1,-1,32,-1,-1,40,-1,-1,-1,-1,383,-1,453,-1,3,-1,-1,395,482,-1,-1,-1,22,496,23902,1015,-1,-1,-1,-1,4,-1,27,-1,408,143,17,106,-1,-1,-1,-1,25,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,796,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,194,2,445,1,122,360,25,1241,144,17,-1,35,-1,69,2,13,135,-1,180,43,5,-1,170,176,517,236,554,96,8,1,5,46,20,-1,1084,219,14,46,4,105,32,-1,1,-1,138,339,95,-1,36,282,-1,6,-1,4,-1,2,212,81,1258,54,48,71,3,5,1535,1107,266,85,30,1301,410,33,12,3,137,16,1,-1,87,653,2,25,-1,-1,18,-1,381,-1,784,1,102,2,1,290,207,204,232,-1,282,271,288,30,-1,-1,122,23,6,51,41,63,-1,667,-1,76,104,-1,25,285,144,99,8,41,47,131,11,-1,2,11,4,194,-1,297,-1,-1,-1,36,-1,143,-1,-1,-1,484,27,-1,-1,177,361,244,-1,56,73,87,12,191,194,1116,3,-1,13,10,12,-1,-1,11,95,-1,73,365,291,4,133,276,-1,-1,-1,11632,78,394,-1,43,-1,-1,15,281,21,-1,-1,-1,2,89,44,835,2,175,-1,-1,57,-1,-1,78,-1,-1,-1,-1,157,-1,1523,-1,8,-1,-1,235,427,-1,-1,-1,3,500,2211,556,-1,-1,-1,-1,25,-1,2,-1,377,409,6,226,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,412,2,541,10,20,279,106,1342,50,76,-1,40,-1,78,89,14,55,-1,124,1,7,-1,128,175,197,272,449,127,15,4,5,69,1,-1,121,245,14,5,7,86,233,-1,8,-1,117,2174,101,-1,26,154,-1,18,-1,10,-1,6,21,47,163,13,24,70,31,301,1643,425,152,197,37,1062,396,34,36,28,87,67,51,-1,55,305,14,51,-1,-1,85,-1,377,-1,1790,7,142,13,3,205,908,163,289,-1,373,385,-1,23,-1,-1,180,1573,5,19,10,48,-1,-1,-1,313,65,-1,63,160,13,10,7,71,4,228,2,-1,118,80,1,100,-1,1859,-1,-1,-1,18,-1,49,-1,-1,-1,696,23,-1,-1,294,316,201,-1,41,184,87,2,-1,-1,846,-1,-1,1,29,22,-1,-1,14,2,-1,89,485,83,2,161,250,-1,-1,-1,1282,26,107,-1,9,-1,-1,2,176,2,-1,-1,-1,4,14,36,510,1,176,-1,-1,61,-1,-1,89,-1,-1,-1,-1,146,-1,438,-1,5,-1,-1,406,-1,-1,-1,-1,42,826,311,-1,-1,-1,-1,-1,31,-1,56,-1,585,1081,53,66,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,262,2,397,-1,13,247,31,1291,146,13,-1,33,-1,24,47,61,89,-1,124,2,5,-1,143,37,156,193,528,81,10,16,3,9,3,-1,79,247,1,70,29,62,204,-1,1,-1,277,3962,95,-1,2,447,-1,3,-1,10,-1,3,88,1516,1272,9,2,96,209,27,1700,417,274,147,29,-1,189,-1,21,43,113,10,20,-1,86,297,14,15,-1,-1,89,-1,532,-1,685,18,134,5,231,431,283,3,544,-1,168,-1,-1,22,-1,-1,83,59,7,66,7,-1,-1,-1,-1,242,64,-1,221,156,138,2,4,102,25,-1,-1,-1,195,11,-1,327,-1,8259,-1,-1,-1,14,-1,10,-1,-1,-1,176,25,-1,-1,230,247,173,-1,26,178,154,131,-1,-1,1334,-1,-1,15,22,1,-1,-1,80,1,-1,42,175,402,3,127,82,-1,-1,-1,6766,209,149,-1,86,-1,-1,1,1597,2,-1,-1,-1,43,19,14,1647,23,7,-1,-1,75,-1,-1,77,-1,-1,-1,-1,64,-1,843,-1,3,-1,-1,269,-1,-1,-1,-1,10,348,331,-1,-1,-1,-1,-1,-1,-1,2,-1,394,-1,27,66,-1,-1,-1,-1,280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,5,348,-1,120,305,41,1937,184,19,-1,40,-1,18,47,29,71,-1,114,69,2,-1,277,38,605,462,862,1096,20,5,1,29,1,-1,100,446,1,162,-1,388,82,-1,16,-1,275,26751,45,-1,48,140,-1,1,-1,12,-1,1,-1,214,353,5,27,68,3,44,2523,165,396,201,50,-1,368,-1,60,28,108,93,4,-1,257,175,28,10,-1,-1,314,-1,-1,-1,2180,-1,85,5,109,198,445,11,1262,-1,813,-1,-1,9,-1,-1,135,5,147,35,29,-1,-1,-1,-1,162,233,-1,289,651,549,5,1,93,42,-1,-1,-1,355,2,-1,327,-1,268,-1,-1,-1,112,-1,125,-1,-1,-1,238,21,-1,-1,-1,25,145,-1,17,271,117,18,-1,-1,2798,-1,-1,11,19,3,-1,-1,1,1,-1,80,324,142,-1,137,61,-1,-1,-1,6577,49,124,-1,42,-1,-1,8,1173,13,-1,-1,-1,5,49,51,-1,-1,178,-1,-1,114,-1,-1,36,-1,-1,-1,-1,317,-1,1005,-1,13,-1,-1,455,-1,-1,-1,-1,20,628,145,-1,-1,-1,-1,-1,-1,-1,2,-1,367,-1,-1,112,-1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,67,314,-1,36,-1,23,2697,30,1,-1,11,-1,2,64,12,105,-1,72,49,5,-1,181,339,623,71,-1,53,15,19,20,13,1,-1,332,174,22,29,-1,245,32,-1,20,-1,-1,8907,86,-1,-1,153,-1,53,-1,6,-1,4,-1,165,228,22,13,75,5,348,877,577,345,6,20,-1,355,-1,45,12,167,137,3,-1,173,106,28,1,-1,-1,174,-1,-1,-1,834,-1,108,1,4,53,-1,-1,386,-1,924,-1,-1,15,-1,-1,39,226,2,24,9,-1,-1,-1,-1,165,496,-1,378,330,207,20,12,95,10,-1,-1,-1,89,2,-1,-1,-1,950,-1,-1,-1,42,-1,96,-1,-1,-1,-1,6,-1,-1,-1,237,-1,-1,1,-1,71,8,-1,-1,-1,-1,-1,10,1,12,-1,-1,15,10,-1,57,579,97,-1,111,17,-1,-1,-1,6605,-1,70,-1,122,-1,-1,41,714,3,-1,-1,-1,6,189,89,-1,-1,128,-1,-1,197,-1,-1,54,-1,-1,-1,-1,-1,-1,2168,-1,3,-1,-1,168,-1,-1,-1,-1,37,392,130,-1,-1,-1,-1,-1,-1,-1,-1,-1,387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
