openwebbeans,jena,etch,shindig,sanselan,rya,skywalking,stdcxx,usergrid,samza,wave,tajo,ratis,mrunit,nmaven,hama,xap,datasketches,awf,tamaya,wookie,devicemap,horn,jspwiki,freemarker,ambari,singa,openoffice,guacamole,sis,photark,tika,unomi,tashi,shardingsphere,pinot,allura,myriad,wink,gora,airflow,daffodil,cordova,madlib,trafficserver,tez,iotdb,gobblin,asterixdb,amaterasu,griffin,helix,mrql,giraph,river,pivot,batchee,deltacloud,gearpump,weex,slider,droids,clerezza,twill,tephra,tuscany,druid,systemml,s4,graffito,juneau,openwhisk,gossip,manifoldcf,odf,mesos,quickstep,bval,curator,streams,blur,vxquery,imperius,subversion,apisix,lucy,nifi,predictionio,knox,trafodion,buildr,yoko,datafu,taverna,ranger,hudi,ariatosca,superset,solr,hawq,aries,jackrabbit,thrift,syncope,climate,sentry,echarts,zeta,shiro,vcl,opennlp,tvm,pulsar,lens,uima,drill,jclouds,falcon,roller,trafficcontrol,celix,htrace,sling,s2graph,kafka,hise,bookkeeper,npanday,samoa,joshua,metron,cloudstack,brooklyn,servicecomb,adffaces,ignite,libcloud,wicket,hcatalog,click,stratos,cassandra,tinkerpop,johnzon,carbondata,fluo,calcite,atlas,zeppelin,kitty,edgent,aurora,synapse,sirona,openmeetings,bloodhound,harmony,bigtop,kalumet,nuvem,empire,oltu,oodt,jdo,bluesky,olio,flex,esme,qpid,isis,mod_ftp,abdera,felix,openaz,chemistry,marmotta,geode,deltaspike,servicemix,pig,mnemonic,heraldry,derby,chukwa,dolphinscheduler,omid,agila,storm,beam,ace,iceberg,pdfbox,plc4x,lokahi,lucenenet,kylin,phoenix,ant,triplesoup,flume,commonsrdf,crunch,myfaces,accumulo,iota,airavata,any23,mynewt,ibatis,ripple,olingo,directmemory,stanbol,eagle,spark,groovy,rocketmq,stonehenge,impala,netbeans,dubbo,oozie,apex,kato,couchdb,whirr,parquet,hdt,pubscribe,cxf,activemq,fineract,ode,rave,commons,openjpa,pirk,metamodel,alois,ivy,ftpserver,flink,cayenne,zipkin,struts,kudu,provisionr,corinthia,ctakes,reef,onami,sqoop,nutch,juice,muse,beehive,ofbiz,directory,cmda
-1,-1,5,175,-1,196,-1,22,2083,-1,14,-1,38,-1,3,18,4,22,-1,108,78,12,-1,141,1337,640,100,-1,8,2,27,43,8,10,-1,903,126,3,1,-1,136,19,-1,899,-1,-1,13170,32,-1,-1,330,-1,10,-1,1,-1,8,-1,16,122,96,1,109,59,3,756,-1,262,163,6,-1,326,-1,65,17,54,287,86,-1,454,539,2,8,-1,-1,80,-1,-1,-1,403,-1,1,222,152,65,-1,-1,305,-1,1041,-1,-1,66,-1,-1,123,583,-1,51,18,-1,-1,-1,-1,75,320,-1,198,220,490,26,113,101,21,-1,-1,-1,1,2,-1,-1,-1,1228,-1,-1,-1,56,-1,38,-1,-1,-1,-1,65,-1,-1,-1,215,-1,-1,26,-1,-1,1,-1,-1,-1,-1,-1,4,44,17,-1,-1,2,-1,-1,33,561,283,-1,174,135,-1,-1,-1,15883,-1,14,-1,43,-1,-1,62,740,1,-1,-1,-1,58,520,53,-1,-1,110,-1,-1,85,-1,-1,115,-1,-1,-1,-1,-1,-1,2082,-1,17,-1,-1,131,-1,-1,-1,-1,2,387,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,504,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,13,139,-1,92,-1,18,1706,-1,9,-1,37,-1,53,1,4,100,-1,55,52,43,-1,9,732,646,19,-1,196,19,22,-1,28,3,-1,567,-1,10,2,-1,157,122,-1,4,-1,-1,7848,55,-1,-1,3173,-1,17,-1,4,-1,6,-1,12,23,266,2,90,242,27,1028,-1,-1,1,5,-1,194,-1,76,7,83,7,3,-1,236,140,8,1,-1,-1,-1,-1,-1,-1,1174,-1,41,2,179,225,-1,-1,1071,-1,102,-1,-1,18,-1,-1,21,429,-1,268,5,-1,-1,-1,-1,67,945,-1,164,155,239,41,3,137,1,-1,-1,-1,16,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,9,-1,-1,-1,190,-1,-1,1,-1,-1,12,-1,-1,-1,-1,-1,6,32,1,-1,-1,2,-1,-1,52,291,120,-1,107,40,-1,-1,-1,8057,-1,151,-1,63,-1,-1,1,-1,2,-1,-1,-1,4,-1,74,-1,-1,-1,-1,-1,35,-1,-1,182,-1,-1,-1,-1,-1,-1,408,-1,3,-1,-1,106,-1,-1,-1,-1,3,207,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,3,158,-1,34,-1,188,848,-1,139,-1,301,-1,5,10,11,-1,-1,240,83,3,-1,67,376,271,71,-1,119,15,20,-1,75,13,-1,479,-1,2,2,-1,86,204,-1,26,-1,-1,4878,88,-1,-1,126,-1,5,-1,2,-1,2,-1,2,1,44,3,44,68,31,1546,-1,-1,-1,55,-1,176,-1,42,1,4,120,1,-1,449,49,66,12,-1,-1,-1,-1,-1,-1,705,-1,-1,25,363,324,-1,-1,299,-1,491,-1,-1,27,-1,-1,111,1262,-1,2,65,-1,-1,-1,-1,84,986,-1,301,243,-1,8,1,115,2,-1,-1,-1,72,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,28,-1,-1,-1,510,-1,-1,4,-1,-1,2,-1,-1,-1,-1,-1,-1,2,22,-1,-1,31,-1,-1,26,788,186,-1,333,34,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,1,-1,4,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,225,-1,-1,271,-1,-1,-1,-1,-1,-1,13,-1,3,-1,-1,233,-1,-1,-1,-1,-1,-1,5163,-1,-1,-1,-1,-1,-1,-1,-1,-1,286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,25,91,-1,136,-1,37,957,-1,41,-1,85,-1,1,13,2,-1,-1,81,28,2,-1,161,895,604,73,-1,-1,41,41,-1,109,20,-1,444,-1,8,27,-1,260,88,-1,401,-1,-1,4137,117,-1,-1,92,-1,20,-1,1,-1,17,-1,1,3,46,3,27,281,5,1042,-1,-1,-1,52,-1,516,-1,66,1,25,210,5,-1,554,128,9,1,-1,-1,-1,-1,-1,-1,571,-1,-1,26,94,276,-1,-1,122,-1,538,-1,-1,35,-1,-1,25,1257,-1,25,48,-1,-1,-1,-1,98,1083,-1,-1,300,-1,271,1,113,5,-1,-1,-1,76,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,-1,-1,-1,-1,9,-1,-1,-1,294,-1,-1,15,-1,-1,8,-1,-1,-1,-1,-1,-1,7,1,-1,-1,3,-1,-1,36,468,75,-1,79,-1,-1,-1,-1,-1,-1,228,-1,-1,-1,-1,1,-1,7,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,174,-1,-1,-1,-1,-1,-1,12527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6,125,-1,10,-1,25,782,-1,2,-1,199,-1,9,8,1,-1,-1,102,20,2,-1,76,790,452,79,-1,-1,1,62,-1,37,8,-1,362,-1,3,34,-1,112,6,-1,24,-1,-1,-1,152,-1,-1,-1,-1,13,-1,480,-1,21,-1,2,42,41,21,23,19,3,508,-1,-1,-1,31,-1,168,-1,66,1,247,1,8,-1,605,442,21,6,-1,-1,-1,-1,-1,-1,783,-1,-1,2,207,190,-1,-1,226,-1,820,-1,-1,55,-1,-1,36,1618,-1,29,48,-1,-1,-1,-1,58,260,-1,-1,-1,-1,4,6,146,2,-1,-1,-1,9,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,20,-1,-1,-1,749,-1,-1,355,-1,-1,3,-1,-1,-1,-1,-1,-1,3,7,-1,-1,-1,-1,-1,43,282,701,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,22,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,132,-1,-1,-1,-1,-1,-1,355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,2,89,-1,290,-1,166,-1,-1,52,-1,194,-1,71,22,-1,-1,-1,757,70,1,-1,116,333,481,109,-1,-1,-1,46,-1,90,1,-1,295,-1,15,8,-1,126,29,-1,17,-1,-1,-1,68,-1,-1,-1,-1,1,-1,3,-1,1,-1,3,505,23,2,5,22,1,815,-1,-1,-1,11,-1,49,-1,189,1,102,10,73,-1,240,975,31,1,-1,-1,-1,-1,-1,-1,1491,-1,-1,4,1415,191,-1,-1,236,-1,41,-1,-1,43,-1,-1,33,79,-1,2,19,-1,-1,-1,-1,79,400,-1,-1,-1,-1,5,3,-1,46,-1,-1,-1,2,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,521,-1,-1,329,-1,-1,1,-1,-1,-1,-1,-1,-1,10,1,-1,-1,-1,-1,-1,60,375,207,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,42,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1,120,-1,322,-1,68,-1,-1,12,-1,71,-1,-1,34,-1,-1,-1,219,42,4,-1,22,275,524,28,-1,-1,-1,24,-1,102,2,-1,417,-1,1,1,-1,197,23,-1,-1,-1,-1,-1,107,-1,-1,-1,-1,9,-1,2,-1,8,-1,18,317,107,20,62,18,2,433,-1,-1,-1,11,-1,125,-1,347,8,123,231,-1,-1,196,450,36,-1,-1,-1,-1,-1,-1,-1,782,-1,-1,2,178,557,-1,-1,179,-1,48,-1,-1,53,-1,-1,116,644,-1,-1,30,-1,-1,-1,-1,116,1322,-1,-1,-1,-1,16,10,-1,55,-1,-1,-1,10,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,-1,-1,15,-1,-1,67,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,23,552,583,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,140,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,33,42,-1,129,-1,285,-1,-1,52,-1,22,-1,-1,59,-1,-1,-1,600,40,3,-1,90,559,478,66,-1,-1,-1,8,-1,112,14,-1,208,-1,2,3,-1,800,62,-1,-1,-1,-1,-1,64,-1,-1,-1,-1,6,-1,4,-1,1,-1,7,1632,88,2,15,1,5,262,-1,-1,-1,7,-1,128,-1,122,3,234,2,-1,-1,500,97,1,-1,-1,-1,-1,-1,-1,-1,192,-1,-1,1,632,303,-1,-1,375,-1,29,-1,-1,14,-1,-1,209,749,-1,-1,14,-1,-1,-1,-1,146,211,-1,-1,-1,-1,82,1,-1,12,-1,-1,-1,5,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1,12,-1,-1,55,-1,-1,-1,-1,-1,-1,1,34,-1,-1,-1,-1,-1,36,384,386,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,10,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,3,136,-1,63,-1,61,-1,-1,2,-1,23,-1,-1,45,-1,-1,-1,239,119,5,-1,66,981,375,9,-1,-1,-1,9,-1,79,12,-1,250,-1,1,3,-1,420,128,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,1,-1,1,-1,1,-1,12,58,39,7,15,1,1,402,-1,-1,-1,4,-1,205,-1,80,3,-1,135,-1,-1,475,256,34,-1,-1,-1,-1,-1,-1,-1,270,-1,-1,2,2,112,-1,-1,153,-1,17,-1,-1,15,-1,-1,27,206,-1,-1,31,-1,-1,-1,-1,79,281,-1,-1,-1,-1,30,1,-1,22,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,292,-1,-1,19,-1,-1,63,-1,-1,-1,-1,-1,-1,1,65,-1,-1,-1,-1,-1,-1,549,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,20,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,6,139,-1,55,-1,76,-1,-1,1,-1,70,-1,-1,10,-1,-1,-1,148,78,4,-1,120,1050,853,47,-1,-1,-1,30,-1,36,24,-1,275,-1,3,3,-1,237,209,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,3,-1,100,-1,153,-1,14,1326,106,1,30,16,2,471,-1,-1,-1,29,-1,192,-1,75,2,-1,45,-1,-1,44,193,8,-1,-1,-1,-1,-1,-1,-1,2046,-1,-1,1,2,170,-1,-1,120,-1,17,-1,-1,24,-1,-1,42,144,-1,-1,8,-1,-1,-1,-1,63,-1,-1,-1,-1,-1,5,-1,-1,45,-1,-1,-1,21,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,96,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,586,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,2100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,5,-1,-1,119,-1,249,-1,-1,2,-1,68,-1,-1,11,-1,-1,-1,96,8,2,-1,161,1034,-1,22,-1,-1,-1,26,-1,22,8,-1,397,-1,1,1,-1,136,99,-1,-1,-1,-1,-1,108,-1,-1,-1,-1,1,-1,2,-1,4,-1,10,369,114,3,1,199,9,1170,-1,-1,-1,13,-1,124,-1,51,2,-1,2,-1,-1,156,319,25,-1,-1,-1,-1,-1,-1,-1,2050,-1,-1,246,29,641,-1,-1,77,-1,20,-1,-1,106,-1,-1,99,348,-1,-1,52,-1,-1,-1,-1,45,-1,-1,-1,-1,-1,1,-1,-1,27,-1,-1,-1,5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,5,-1,-1,-1,-1,-1,-1,16,1,-1,-1,-1,-1,-1,-1,303,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,6,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,22,-1,-1,465,-1,115,-1,-1,1,-1,64,-1,-1,11,-1,-1,-1,328,40,100,-1,29,1,-1,64,-1,-1,-1,7,-1,28,6,-1,190,-1,-1,11,-1,25,176,-1,-1,-1,-1,-1,85,-1,-1,-1,-1,10,-1,4,-1,2,-1,1,312,49,2,6,1,1,751,-1,-1,-1,-1,-1,121,-1,39,1,-1,7,-1,-1,257,80,2,-1,-1,-1,-1,-1,-1,-1,259,-1,-1,2,10,175,-1,-1,265,-1,20,-1,-1,150,-1,-1,44,566,-1,-1,13,-1,-1,-1,-1,53,-1,-1,-1,-1,-1,1,-1,-1,214,-1,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,-1,-1,-1,61,1,-1,-1,-1,-1,-1,-1,207,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,41,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,1074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1,-1,-1,34,-1,187,-1,-1,90,-1,157,-1,-1,75,-1,-1,-1,194,84,16,-1,4,34,-1,13,-1,-1,-1,7,-1,109,2,-1,1850,-1,-1,2,-1,239,102,-1,-1,-1,-1,-1,90,-1,-1,-1,-1,3,-1,8,-1,5,-1,-1,419,518,93,1,1,332,988,-1,-1,-1,-1,-1,232,-1,-1,2,-1,17,-1,-1,270,111,13,-1,-1,-1,-1,-1,-1,-1,579,-1,-1,1,1,45,-1,-1,267,-1,11,-1,-1,243,-1,-1,55,1118,-1,-1,9,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,3,-1,-1,292,-1,-1,-1,34,374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,-1,-1,1,-1,-1,-1,-1,-1,-1,12,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,27,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1,-1,-1,88,-1,-1,-1,-1,18,-1,34,-1,-1,38,-1,-1,-1,142,100,17,-1,11,53,-1,18,-1,-1,-1,23,-1,1,7,-1,127,-1,-1,13,-1,2,260,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,3,-1,4,-1,11,-1,-1,1537,4,22,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,626,152,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,13,98,-1,-1,510,-1,6,-1,-1,-1,-1,-1,220,283,-1,-1,21,-1,-1,-1,-1,134,-1,-1,-1,-1,-1,1,-1,-1,109,-1,-1,-1,13,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,8,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,151,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,1632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,24,-1,-1,13,-1,-1,-1,-1,155,-1,77,-1,-1,28,-1,-1,-1,70,36,22,-1,2,54,-1,1,-1,-1,-1,1,-1,15,1,-1,1215,-1,-1,2,-1,2,203,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,1,-1,1,-1,8,-1,-1,4113,1,10,5,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,613,86,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,208,-1,-1,59,-1,50,-1,-1,-1,-1,-1,180,620,-1,-1,27,-1,-1,-1,-1,73,-1,-1,-1,-1,-1,2,-1,-1,92,-1,-1,-1,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,256,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,-1,-1,1051,-1,-1,-1,-1,2,-1,22,-1,-1,1,-1,-1,-1,148,13,158,-1,3,588,-1,1,-1,-1,-1,1,-1,65,7,-1,483,-1,-1,2,-1,-1,24,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,6,-1,1,-1,10,-1,-1,494,2,18,8,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,219,125,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,10,-1,-1,-1,102,-1,411,-1,-1,-1,-1,-1,417,651,-1,-1,46,-1,-1,-1,-1,146,-1,-1,-1,-1,-1,41,-1,-1,16,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,126,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,83,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,4,-1,-1,56,-1,-1,-1,-1,1,-1,68,-1,-1,36,-1,-1,-1,3,64,14,-1,11,-1,-1,10,-1,-1,-1,1,-1,12,6,-1,721,-1,-1,11,-1,-1,506,-1,-1,-1,-1,-1,92,-1,-1,-1,-1,4,-1,7,-1,11,-1,-1,700,2,7,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,46,114,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,74,-1,55,-1,-1,-1,-1,-1,-1,2057,-1,-1,12,-1,-1,-1,-1,211,-1,-1,-1,-1,-1,2,-1,-1,11,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,18,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,62,-1,-1,34,-1,-1,-1,-1,1,-1,116,-1,-1,56,-1,-1,-1,92,57,221,-1,1,-1,-1,2,-1,-1,-1,36,-1,41,5,-1,546,-1,-1,1,-1,-1,81,-1,-1,-1,-1,-1,106,-1,-1,-1,-1,10,-1,2,-1,16,-1,-1,601,4,1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,6,70,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,11,-1,-1,-1,143,-1,69,-1,-1,-1,-1,-1,-1,515,-1,-1,11,-1,-1,-1,-1,195,-1,-1,-1,-1,-1,16,-1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
