openwebbeans,myriad,drill,jena,etch,wave,shindig,iota,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,pivot,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,celix,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,wink,juddi,airflow,hudi,htrace,daffodil,cordova,madlib,fluo,trafficserver,activemq,tez,jackrabbit,mrql,qpid,iotdb,yoko,ariatosca,blur,batchee,servicemix,gobblin,asterixdb,edgent,subversion,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,deltacloud,beam,gearpump,weex,falcon,slider,hdt,tephra,sling,carbondata,pubscribe,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,vcl,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,vxquery,sirona,geode,thrift,bigtop,directory,pulsar,stanbol,predictionio,apisix,isis,s2graph,libcloud,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,openjpa,deltaspike,superset,solr,apex,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,kafka,hise,pdfbox,bookkeeper,tinkerpop,depot,mnemonic,storm,cloudstack,nuvem,metron,adffaces,brooklyn,servicecomb,ignite,wicket,hcatalog,oozie,iceberg,click,stratos,johnzon,xmlbeans,abdera,calcite,ctakes,warble,kitty,ripple,aurora,synapse,openmeetings,kylin,bloodhound,harmony,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,mod_ftp,plc4x,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,pig,dolphinscheduler,heraldry,derby,myfaces,fineract,flume,ace,ftpserver,phoenix,ant,lenya,triplesoup,crunch,airavata,pirk,accumulo,rave,whirr,olingo,directmemory,socialsite,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,couchdb,concerted,cxf,ode,commons,alois,onami,struts,metamodel,corinthia,cayenne,spamassassin,kudu,avalon,nutch,kabuki
20,130,62,56,2,96,334,4,10,98,4,44,396,50,0,4,18,84,76,20,20,44,0,8,2,220,16,20,2,20,6,58,12,20,2,12,36,44,0,2,0,156,16,6,28,652,72,12,2,44,24,10,0,12,14,28,6,10,0,28,10,156,26,22,10,208,30,6,24,254,0,278,8,68,8,78,8,36,6,160,18,186,24,-1,2,24,20,234,8,36,70,18,0,0,8,50,202,16,98,12,46,0,22,108,148,0,36,16,12,42,22,22,4,12,2,48,16,148,20,4,24,2,228,26,0,0,0,168,52,2,0,54,50,34,154,30,20,118,2,162,6,188,74,2,58,16,0,10,18,68,12,6,84,302,60,-1,84,16,38,26,0,46,148,74,34,-1,182,32,54,86,146,134,2,96,6,120,2,34,56,68,0,4,274,1118,8,114,166,50,78,120,218,14,46,38,30,170,0,38,38,32,38,0,12,12,110,22,178,160,12,232,2,10,10,18,38,66,596,4,0,2,26,16,32,-1,34,0,26,20,60,236,-1,26,32,2,0,-1,40,112,-1,32,62,6,120,60,2,32,2,-1,520,168,52,36,88,84,-1,80,134,164,-1,110,36,-1,0,-1,-1,28,24,104,1228,130,-1,-1,-1
18,64,104,82,32,48,288,2,2,106,14,44,292,4,0,20,20,74,20,36,14,58,0,12,12,250,2,18,4,22,0,48,0,30,38,30,0,20,0,0,0,36,8,0,4,1092,62,0,4,64,0,4,0,50,0,20,6,30,0,22,20,118,112,10,6,182,20,4,38,370,12,86,8,212,24,16,2,16,2,172,12,172,14,-1,32,4,50,214,12,34,20,0,34,0,52,24,218,28,60,4,46,22,4,92,138,6,36,12,8,30,86,30,10,8,14,30,8,110,4,2,18,16,340,-1,42,0,6,232,32,16,10,34,28,14,80,18,4,132,10,282,10,134,60,8,16,56,2,6,32,76,120,0,74,480,56,-1,74,26,16,48,0,40,62,102,82,-1,248,20,78,46,-1,136,20,90,2,24,0,8,114,32,46,0,256,1044,0,46,196,64,36,190,156,52,94,42,30,170,10,48,14,24,52,0,18,6,90,40,188,102,38,162,14,20,40,24,30,26,658,46,4,10,2,34,30,-1,16,0,70,14,64,232,-1,112,50,24,8,-1,74,166,-1,14,2,2,-1,60,10,48,10,-1,492,246,56,76,140,112,-1,156,136,176,-1,98,74,-1,0,-1,-1,12,40,118,-1,128,-1,-1,-1
6,52,60,56,16,80,318,10,0,164,24,22,276,26,10,48,24,126,34,82,8,72,0,10,12,282,6,12,2,18,4,20,0,22,26,32,6,30,6,0,0,144,12,0,2,1236,48,16,14,10,6,4,2,14,0,20,4,8,2,0,-1,158,62,20,8,296,4,4,36,226,16,182,0,58,34,30,6,10,0,162,4,152,14,-1,20,10,24,476,10,28,58,0,0,0,18,24,70,36,42,16,22,18,4,120,132,10,22,28,12,26,40,22,6,2,72,36,6,128,44,12,28,6,496,-1,10,0,14,290,24,12,14,8,30,64,140,16,18,24,6,68,30,84,18,0,26,42,0,26,72,52,224,0,86,676,130,-1,94,12,16,44,0,2,108,72,46,-1,300,22,84,84,-1,132,8,120,4,86,0,0,50,40,26,38,498,760,8,130,174,76,96,262,290,42,138,18,26,208,4,36,6,14,90,0,6,4,98,82,192,128,56,178,4,8,2,18,42,32,604,54,0,6,2,8,48,-1,20,0,96,74,60,352,-1,56,30,32,8,-1,82,120,-1,6,18,0,-1,44,26,76,2,-1,970,300,30,20,62,76,-1,188,58,126,-1,96,36,-1,2,-1,-1,16,8,74,-1,96,-1,-1,-1
4,130,52,56,18,36,316,2,20,156,0,16,322,18,0,8,18,22,36,58,26,78,0,32,14,274,0,6,10,36,34,8,0,18,0,2,18,54,0,8,4,118,14,10,4,816,30,18,8,38,0,0,2,12,6,30,12,26,2,10,-1,120,116,2,4,290,2,0,74,398,22,84,10,108,48,14,2,30,0,226,0,162,14,-1,6,2,18,294,28,42,62,4,0,0,46,20,134,24,42,14,30,2,4,142,66,-1,38,2,10,52,18,36,-1,4,10,20,24,122,52,4,42,0,362,-1,6,0,6,238,18,32,42,32,166,38,346,24,6,4,22,164,34,134,36,4,6,48,0,30,24,50,110,0,182,322,98,-1,62,38,4,30,2,46,34,62,26,-1,232,16,104,56,-1,134,0,74,18,62,2,10,64,72,8,2,304,992,6,72,82,46,102,186,230,26,120,14,62,136,2,12,8,60,70,0,20,24,56,2,220,138,46,52,26,14,0,18,44,44,644,24,0,20,4,90,84,-1,18,0,72,118,52,310,-1,30,64,12,0,-1,84,144,-1,12,22,4,-1,74,36,104,2,-1,1102,162,80,38,84,70,-1,234,60,218,-1,146,20,-1,-1,-1,-1,2,44,106,-1,-1,-1,-1,-1
6,90,40,64,20,52,166,2,2,262,0,20,238,42,0,2,12,46,110,26,32,62,2,26,10,350,0,4,6,68,42,0,2,8,20,0,18,42,0,2,0,116,60,2,10,574,30,6,4,22,10,14,4,26,0,4,0,48,0,16,-1,74,110,0,8,264,14,2,36,292,2,114,6,110,60,26,12,4,0,260,18,124,10,-1,30,4,42,428,10,186,100,8,26,12,186,48,232,24,58,30,48,14,6,74,184,-1,48,10,4,28,10,36,-1,6,46,8,12,58,40,2,16,10,-1,-1,0,0,12,364,40,56,14,18,100,54,106,20,16,22,30,-1,18,150,26,0,36,54,-1,10,50,92,98,2,150,-1,86,-1,42,54,6,42,0,14,42,50,32,-1,232,0,196,96,-1,124,0,176,28,146,0,8,54,116,2,0,616,970,12,40,134,52,72,176,228,8,74,82,98,166,10,18,22,66,68,0,2,28,74,38,316,156,36,100,2,12,12,30,-1,94,494,72,8,30,2,2,14,-1,0,0,70,96,14,290,-1,10,110,20,0,-1,46,124,-1,88,14,42,-1,80,50,56,74,-1,-1,-1,84,56,64,82,-1,258,82,240,-1,112,68,-1,-1,-1,-1,4,64,64,-1,-1,-1,-1,-1
6,68,22,80,6,98,176,18,10,292,0,14,260,30,16,4,18,20,72,32,26,70,22,40,12,-1,0,18,10,36,18,2,0,28,14,6,32,22,28,2,0,124,24,40,4,984,74,24,0,26,12,0,0,32,0,16,12,22,16,22,-1,126,146,2,6,262,16,26,-1,246,34,120,2,168,56,8,36,4,0,194,8,134,18,-1,10,0,4,270,8,76,88,18,2,0,86,20,426,30,32,28,36,4,16,152,184,-1,16,14,0,88,66,70,-1,10,48,2,18,80,20,0,20,14,-1,-1,0,0,0,330,154,70,14,40,22,48,150,34,0,28,12,-1,26,602,62,8,78,56,-1,52,16,64,78,0,100,-1,40,-1,46,36,2,20,6,6,112,136,38,-1,94,0,74,34,-1,196,2,196,20,82,0,4,6,186,6,6,188,1724,8,26,152,84,158,238,206,2,54,32,20,308,8,26,14,88,52,0,0,2,64,70,228,118,78,174,0,2,0,52,-1,50,294,80,0,22,0,56,16,-1,26,2,30,58,2,256,-1,44,140,12,0,-1,32,76,-1,-1,84,22,-1,82,24,-1,58,-1,-1,-1,96,70,108,72,-1,206,84,288,-1,188,92,-1,-1,-1,-1,6,88,136,-1,-1,-1,-1,-1
18,14,40,136,6,86,246,12,10,214,6,6,194,8,8,34,2,44,12,8,12,46,4,28,0,-1,18,6,2,64,12,40,2,14,16,0,18,16,0,6,0,78,22,64,8,1428,62,0,0,40,4,6,2,46,0,14,4,32,0,16,-1,168,136,8,12,260,2,4,-1,202,10,94,0,228,60,30,24,8,2,220,6,136,36,-1,68,4,22,292,6,102,52,0,0,0,90,10,278,12,70,20,30,6,2,122,154,-1,4,6,16,50,28,18,-1,2,10,0,8,116,12,2,22,0,-1,-1,30,0,6,374,46,48,2,24,66,58,-1,32,4,10,38,-1,26,240,46,2,48,46,-1,74,54,112,104,12,90,-1,50,-1,52,-1,18,26,14,92,76,182,16,-1,498,2,220,62,-1,174,0,126,44,126,10,28,26,126,2,2,348,1670,0,152,48,54,106,352,-1,8,72,120,44,430,20,40,4,32,-1,0,10,0,72,28,170,270,72,402,2,4,2,74,-1,-1,514,8,0,38,2,58,50,-1,18,4,30,142,2,414,-1,86,114,14,2,-1,22,172,-1,-1,28,4,-1,58,30,-1,18,-1,-1,-1,40,54,86,38,-1,162,58,-1,-1,164,24,-1,-1,-1,-1,14,0,-1,-1,-1,-1,-1,-1
46,16,46,122,8,28,186,4,0,16,6,10,448,20,12,44,10,36,86,12,28,44,30,34,12,-1,0,4,12,-1,8,44,0,18,6,2,16,46,6,2,0,78,78,38,10,1698,62,2,2,22,26,0,0,66,4,10,2,18,0,10,-1,164,196,50,0,200,44,4,-1,252,10,238,2,78,64,12,42,18,14,228,24,72,10,-1,32,14,30,364,14,92,-1,0,0,0,10,36,410,6,70,20,22,18,6,86,160,-1,2,0,10,56,58,0,-1,20,6,6,18,376,12,20,16,2,-1,-1,10,0,0,314,144,92,40,10,40,92,-1,34,14,4,8,-1,4,160,32,2,44,26,-1,12,68,98,80,0,144,-1,18,-1,30,-1,10,38,16,42,74,94,28,-1,322,28,-1,102,-1,90,0,28,48,120,4,22,64,146,2,8,186,1738,4,248,174,54,12,322,-1,20,48,20,32,462,2,30,12,64,-1,0,2,2,68,46,122,156,56,440,10,2,18,-1,-1,-1,446,66,0,14,0,-1,82,-1,52,32,22,84,4,446,-1,80,86,16,4,-1,96,254,-1,-1,22,-1,-1,52,18,-1,62,-1,-1,-1,-1,102,-1,76,-1,178,122,-1,-1,122,40,-1,-1,-1,-1,6,0,-1,-1,-1,-1,-1,-1
14,10,42,144,2,100,156,0,14,24,30,20,422,38,54,50,12,42,84,34,48,62,2,62,2,-1,0,10,8,-1,6,2,2,30,18,2,20,14,2,0,6,86,30,18,4,1024,48,14,0,12,14,12,0,36,2,16,12,22,4,12,-1,196,56,18,12,298,6,2,-1,228,24,124,4,84,70,24,46,18,6,188,12,84,14,-1,0,6,12,260,32,56,-1,0,0,0,52,44,252,18,64,16,44,22,8,150,-1,-1,6,20,4,46,44,10,-1,18,0,8,8,414,16,8,46,10,-1,-1,6,0,0,350,116,46,34,70,26,40,-1,40,18,44,20,-1,6,282,70,2,32,28,-1,0,92,68,212,2,178,-1,68,-1,80,-1,2,22,0,112,16,110,52,-1,320,14,-1,62,-1,174,2,124,146,136,0,16,96,126,8,2,338,2114,2,214,114,46,-1,270,-1,24,72,50,62,392,0,58,20,42,-1,0,0,20,76,64,118,134,106,462,48,6,4,-1,-1,-1,1444,64,6,16,0,-1,28,-1,66,4,32,116,30,306,-1,76,118,2,6,-1,62,304,-1,-1,54,-1,-1,64,10,-1,-1,-1,-1,-1,-1,38,-1,20,-1,186,160,-1,-1,218,28,-1,-1,-1,-1,22,0,-1,-1,-1,-1,-1,-1
20,36,56,186,2,80,90,0,2,144,18,34,296,36,32,4,8,6,16,58,80,-1,20,106,12,-1,2,4,0,-1,0,0,0,44,50,0,4,14,6,4,0,80,22,24,12,1728,42,0,0,6,20,30,6,24,0,34,30,14,0,54,-1,262,112,2,4,406,12,8,-1,258,10,54,0,114,46,8,66,14,0,210,6,108,24,-1,0,14,2,412,16,22,-1,0,0,6,14,44,-1,6,86,28,40,12,22,70,-1,-1,6,26,6,66,86,10,-1,36,12,14,2,152,14,18,42,26,-1,-1,12,0,0,212,116,42,10,56,34,88,-1,4,18,40,34,-1,8,106,76,0,-1,14,-1,22,24,210,4,4,134,-1,56,-1,134,-1,6,44,0,12,32,96,26,-1,130,12,-1,68,-1,180,0,134,-1,322,0,34,60,28,-1,0,222,1412,4,166,200,46,-1,340,-1,6,60,192,56,310,2,-1,10,80,-1,0,2,10,94,70,66,226,92,354,32,26,0,-1,-1,-1,442,86,0,26,2,-1,86,-1,38,0,58,52,-1,242,-1,44,156,2,0,-1,44,208,-1,-1,56,-1,-1,96,18,-1,-1,-1,-1,-1,-1,72,-1,46,-1,140,256,-1,-1,220,62,-1,-1,-1,-1,4,10,-1,-1,-1,-1,-1,-1
