openwebbeans,myriad,drill,jena,etch,wave,shindig,iota,droids,netbeans,sanselan,ivy,zeppelin,rya,skywalking,freemarker,stdcxx,openwhisk,usergrid,samza,tajo,pivot,ratis,reef,mrunit,ofbiz,singa,nmaven,hama,zipkin,xap,datasketches,juice,clerezza,atlas,awf,tamaya,wookie,devicemap,celix,horn,jspwiki,s4,ambari,samoa,openoffice,guacamole,sis,photark,tika,gora,unomi,tashi,shardingsphere,pinot,odf,chukwa,allura,imperius,wink,juddi,airflow,hudi,htrace,daffodil,cordova,madlib,fluo,trafficserver,activemq,tez,jackrabbit,mrql,qpid,iotdb,yoko,ariatosca,blur,batchee,servicemix,gobblin,asterixdb,edgent,subversion,amaterasu,griffin,helix,tuscany,graffito,eagle,giraph,commonsrdf,kalumet,omid,river,deltacloud,beam,gearpump,weex,falcon,slider,hdt,tephra,sling,carbondata,pubscribe,bluesky,twill,kato,druid,systemml,npanday,muse,juneau,tvm,vcl,gossip,hawq,manifoldcf,mesos,quickstep,bval,flink,curator,streams,vxquery,sirona,geode,thrift,bigtop,directory,pulsar,stanbol,predictionio,apisix,isis,s2graph,libcloud,lucy,nifi,knox,trafodion,buildr,datafu,any23,taverna,provisionr,joshua,ranger,openjpa,deltaspike,superset,solr,apex,mynewt,ibatis,aries,syncope,climate,sentry,echarts,zeta,shiro,felix,opennlp,cotton,cassandra,olio,lens,uima,jclouds,roller,lokahi,trafficcontrol,parquet,kafka,hise,pdfbox,bookkeeper,tinkerpop,depot,mnemonic,storm,cloudstack,nuvem,metron,adffaces,brooklyn,servicecomb,ignite,wicket,hcatalog,oozie,iceberg,click,stratos,johnzon,xmlbeans,abdera,calcite,ctakes,warble,kitty,ripple,aurora,synapse,openmeetings,kylin,bloodhound,harmony,agila,empire,oltu,oodt,jdo,sqoop,flex,esme,mod_ftp,plc4x,openaz,chemistry,lucenenet,tapestry,marmotta,cmda,pig,dolphinscheduler,heraldry,derby,myfaces,fineract,flume,ace,ftpserver,phoenix,ant,lenya,triplesoup,crunch,airavata,pirk,accumulo,rave,whirr,olingo,directmemory,socialsite,spark,groovy,rocketmq,beehive,geronimo,stonehenge,rcf,impala,dubbo,couchdb,concerted,cxf,ode,commons,alois,onami,struts,metamodel,corinthia,cayenne,spamassassin,kudu,avalon,nutch,kabuki
26,10,116,158,2,74,228,0,4,302,2,52,236,104,10,4,8,34,12,28,100,-1,56,122,28,-1,0,24,2,-1,0,18,0,68,42,2,22,2,4,2,4,104,12,44,2,2404,88,6,2,14,24,0,0,50,0,12,10,6,2,34,-1,96,124,28,8,490,48,26,-1,218,88,100,2,90,48,82,30,18,0,146,0,164,22,-1,0,0,34,216,4,90,-1,12,0,2,100,62,-1,26,64,10,30,16,20,78,-1,-1,2,26,18,88,314,24,-1,28,12,42,6,92,10,12,34,0,-1,-1,0,0,0,360,50,34,12,48,80,94,-1,6,6,52,14,-1,22,138,8,2,-1,10,-1,14,22,200,42,4,226,-1,72,-1,132,-1,4,48,4,4,144,28,96,-1,344,28,-1,80,-1,96,6,98,-1,190,6,30,36,34,-1,8,-1,-1,6,110,134,72,-1,-1,-1,34,78,122,14,-1,18,-1,20,190,-1,0,2,6,132,46,98,-1,74,430,2,14,8,-1,-1,-1,456,66,2,32,0,-1,36,-1,54,0,100,70,-1,188,-1,52,236,12,0,-1,40,138,-1,-1,46,-1,-1,92,62,-1,-1,-1,-1,-1,-1,74,-1,16,-1,190,116,-1,-1,400,52,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
64,16,102,116,6,62,366,26,2,460,0,-1,406,48,42,0,14,26,28,22,30,-1,8,52,20,-1,10,26,4,-1,0,12,2,2,30,0,4,4,6,2,12,76,40,4,2,2418,66,0,4,4,20,20,0,138,0,16,8,4,0,26,-1,102,142,4,8,374,12,8,-1,202,8,76,0,132,76,68,32,12,2,162,0,104,14,-1,2,8,18,228,38,70,-1,2,2,0,60,28,-1,8,46,10,32,4,0,56,-1,-1,2,0,12,76,74,4,-1,26,112,28,4,182,20,14,26,0,-1,-1,8,0,16,336,140,40,34,70,80,28,-1,14,12,34,24,-1,-1,260,18,0,-1,6,-1,2,114,152,72,2,282,-1,64,-1,92,-1,-1,18,2,2,48,126,66,-1,296,28,-1,74,-1,84,0,110,-1,120,0,48,94,52,-1,22,-1,-1,0,148,198,46,-1,-1,-1,60,62,18,12,-1,0,-1,12,42,-1,0,0,44,150,10,152,-1,82,356,10,18,22,-1,-1,-1,-1,104,0,14,0,-1,74,-1,-1,14,-1,60,-1,-1,-1,50,-1,0,2,-1,18,148,-1,-1,28,-1,-1,92,26,-1,-1,-1,-1,-1,-1,66,-1,8,-1,84,168,-1,-1,382,42,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1
30,12,168,76,2,52,224,30,12,266,4,-1,268,36,10,20,18,2,50,28,80,-1,0,44,54,-1,4,20,4,-1,2,36,0,26,38,-1,4,6,0,4,2,44,8,4,10,1464,60,2,4,4,26,0,0,96,18,4,28,8,0,16,-1,112,162,12,8,-1,6,16,-1,82,62,154,4,128,68,16,32,34,12,82,18,174,6,-1,40,6,36,144,18,132,-1,8,0,4,70,18,-1,28,22,26,44,0,0,64,-1,-1,6,2,2,64,36,20,-1,14,146,42,6,340,28,30,4,8,-1,-1,0,0,0,226,50,24,68,50,42,70,-1,8,0,78,22,-1,-1,164,38,0,-1,18,-1,22,46,238,146,6,-1,-1,90,-1,86,-1,-1,44,40,12,102,60,38,-1,272,12,-1,76,-1,100,2,34,-1,108,0,20,74,84,-1,8,-1,-1,2,102,218,36,-1,-1,-1,16,90,8,20,-1,8,-1,6,28,-1,0,0,4,76,4,112,-1,114,610,2,8,6,-1,-1,-1,-1,42,0,16,42,-1,34,-1,-1,6,-1,58,-1,-1,-1,112,-1,6,8,-1,64,274,-1,-1,30,-1,-1,98,14,-1,-1,-1,-1,-1,-1,94,-1,50,-1,154,160,-1,-1,350,78,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1
-1,26,72,94,2,230,308,6,2,480,2,-1,576,32,22,6,20,26,32,54,128,-1,2,76,34,-1,2,22,2,-1,0,20,0,10,110,-1,20,6,28,0,0,60,12,16,30,1442,120,0,0,0,12,6,2,60,6,18,16,38,12,32,-1,66,134,0,8,-1,14,20,-1,354,10,120,2,162,100,4,70,36,0,180,6,130,2,-1,20,12,72,354,8,126,-1,10,2,2,10,62,-1,16,42,34,52,2,0,42,-1,-1,2,2,36,48,8,12,-1,8,124,6,6,80,16,42,2,0,-1,-1,0,0,2,180,76,38,116,12,18,50,-1,10,0,38,12,-1,-1,108,4,0,-1,18,-1,12,54,-1,32,0,-1,-1,114,-1,112,-1,-1,8,40,8,36,160,78,-1,-1,20,-1,74,-1,66,14,42,-1,108,0,46,62,62,-1,0,-1,-1,2,270,-1,116,-1,-1,-1,40,68,6,8,-1,2,-1,8,50,-1,0,2,4,120,24,78,-1,92,398,16,36,20,-1,-1,-1,-1,142,0,28,32,-1,16,-1,-1,48,-1,26,-1,-1,-1,78,-1,6,2,-1,96,422,-1,-1,68,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,58,-1,14,-1,158,150,-1,-1,422,108,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1
-1,12,56,132,0,68,158,0,0,560,2,-1,488,18,10,6,20,18,58,38,-1,-1,0,164,40,-1,6,6,0,-1,2,20,2,12,34,-1,16,4,12,24,4,92,34,18,20,1326,78,0,2,6,24,6,2,112,0,8,12,70,14,12,-1,98,142,0,6,-1,12,8,-1,238,56,110,8,58,64,8,28,76,6,198,6,-1,6,-1,0,28,12,354,2,-1,-1,10,0,2,4,14,-1,24,24,16,14,2,6,66,-1,-1,80,0,14,118,18,6,-1,16,78,10,10,156,12,26,22,12,-1,-1,16,0,0,322,56,96,128,42,40,46,-1,8,0,40,48,-1,-1,174,30,2,-1,24,-1,4,18,-1,26,8,-1,-1,116,-1,84,-1,-1,16,18,0,36,264,64,-1,-1,0,-1,40,-1,106,44,64,-1,54,0,36,-1,92,-1,26,-1,-1,2,196,-1,160,-1,-1,-1,92,-1,40,28,-1,8,-1,22,58,-1,0,6,2,80,36,-1,-1,108,614,24,2,40,-1,-1,-1,-1,126,2,20,20,-1,0,-1,-1,6,-1,70,-1,-1,-1,58,-1,2,16,-1,84,300,-1,-1,52,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,48,-1,4,-1,170,166,-1,-1,386,68,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1
-1,36,98,138,0,50,174,0,4,410,0,-1,230,40,10,0,12,54,54,32,-1,-1,8,88,-1,-1,2,14,2,-1,0,40,2,14,34,-1,10,6,22,14,0,92,6,22,16,936,48,0,6,16,40,6,0,20,0,4,0,20,2,8,-1,124,154,6,12,-1,14,-1,-1,-1,72,136,4,144,28,2,52,40,8,204,0,-1,2,-1,0,24,-1,238,18,-1,-1,16,30,8,24,58,-1,4,40,56,36,0,18,46,-1,-1,38,12,12,54,116,2,-1,12,128,0,12,50,8,22,0,2,-1,-1,2,0,0,254,114,62,66,30,78,48,-1,24,6,14,16,-1,-1,112,14,0,-1,2,-1,20,62,-1,28,4,-1,-1,82,-1,88,-1,-1,22,22,16,52,72,88,-1,-1,6,-1,56,-1,96,0,104,-1,164,0,56,-1,46,-1,14,-1,-1,6,234,-1,110,-1,-1,-1,18,-1,26,22,-1,24,-1,60,92,-1,0,0,10,54,64,-1,-1,162,612,8,28,2,-1,-1,-1,-1,96,2,46,0,-1,36,-1,-1,24,-1,86,-1,-1,-1,76,-1,6,10,-1,56,256,-1,-1,48,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,152,26,-1,-1,270,60,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1
-1,24,98,178,16,58,164,2,2,142,0,-1,798,16,100,0,18,98,62,74,-1,-1,12,-1,-1,-1,8,0,2,-1,0,8,2,30,8,-1,26,48,14,0,0,64,12,10,10,1514,40,0,2,0,20,12,0,110,0,18,4,24,14,2,-1,176,168,6,6,-1,56,-1,-1,-1,78,188,26,64,44,2,64,58,6,248,2,-1,2,-1,0,48,-1,278,4,-1,-1,36,26,0,2,52,-1,18,64,30,8,0,4,52,-1,-1,12,16,6,8,60,10,-1,36,164,12,2,152,12,32,8,14,-1,-1,44,0,0,272,40,-1,102,122,56,88,-1,54,2,48,12,-1,-1,252,82,0,-1,18,-1,4,24,-1,8,2,-1,-1,124,-1,-1,-1,-1,12,22,0,92,60,-1,-1,-1,2,-1,76,-1,138,0,110,-1,184,2,54,-1,114,-1,28,-1,-1,0,216,-1,72,-1,-1,-1,46,-1,250,26,-1,2,-1,54,114,-1,0,0,10,110,68,-1,-1,-1,802,12,14,0,-1,-1,-1,-1,76,16,22,80,-1,60,-1,-1,0,-1,66,-1,-1,-1,40,-1,2,14,-1,96,266,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,128,102,-1,-1,300,66,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1
-1,44,146,174,14,32,232,0,20,444,2,-1,282,44,58,12,12,66,16,64,-1,-1,82,-1,-1,-1,12,6,6,-1,0,10,2,74,30,-1,10,22,74,0,16,88,10,12,4,1126,64,0,6,2,18,0,2,92,0,30,4,30,0,48,-1,176,206,12,6,-1,18,-1,-1,-1,312,74,8,36,114,12,32,22,0,202,14,-1,40,-1,16,18,-1,316,2,-1,-1,0,0,10,4,30,-1,24,54,50,16,0,2,66,-1,-1,12,24,0,106,74,10,-1,22,126,46,2,402,26,40,2,0,-1,-1,0,0,4,228,36,-1,-1,108,102,84,-1,12,0,6,20,-1,-1,44,-1,2,-1,34,-1,4,48,-1,206,8,-1,-1,160,-1,-1,-1,-1,28,14,0,38,86,-1,-1,-1,6,-1,106,-1,94,0,112,-1,144,0,14,-1,48,-1,8,-1,-1,0,250,-1,118,-1,-1,-1,6,-1,32,-1,-1,18,-1,54,128,-1,0,0,38,180,60,-1,-1,-1,698,10,8,2,-1,-1,-1,-1,26,8,58,60,-1,8,-1,-1,0,-1,42,-1,-1,-1,38,-1,2,14,-1,52,208,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,198,-1,-1,-1,314,106,-1,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1
-1,6,60,120,6,48,240,6,2,284,16,-1,190,4,2,90,24,72,32,160,-1,-1,30,-1,-1,-1,4,26,14,-1,0,26,2,40,72,-1,24,4,16,4,0,80,32,38,2,1370,74,0,14,2,-1,4,2,40,28,18,16,50,2,26,-1,54,186,4,4,-1,34,-1,-1,-1,82,182,0,54,60,4,36,16,0,112,2,-1,12,-1,2,40,-1,202,2,-1,-1,0,0,2,8,38,-1,6,38,48,24,6,0,108,-1,-1,6,10,0,162,80,20,-1,-1,4,24,0,142,30,22,4,2,-1,-1,2,6,0,152,36,-1,-1,-1,104,30,-1,10,2,6,88,-1,-1,52,-1,2,-1,46,-1,32,64,-1,112,40,-1,-1,156,-1,-1,-1,-1,24,8,2,30,112,-1,-1,-1,16,-1,64,-1,68,0,78,-1,-1,0,34,-1,80,-1,0,-1,-1,0,282,-1,88,-1,-1,-1,42,-1,146,-1,-1,2,-1,70,34,-1,0,2,0,326,108,-1,-1,-1,430,2,18,2,-1,-1,-1,-1,18,4,44,22,-1,78,-1,-1,0,-1,36,-1,-1,-1,42,-1,0,24,-1,50,130,-1,-1,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,130,-1,-1,-1,362,72,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1
-1,10,56,146,2,64,392,6,0,516,12,-1,360,36,-1,72,12,66,20,70,-1,-1,0,-1,-1,-1,4,70,12,-1,0,0,0,14,44,-1,30,36,26,8,0,116,12,32,0,1896,54,0,4,2,-1,2,2,10,62,0,60,34,4,36,-1,146,-1,0,12,-1,80,-1,-1,-1,-1,142,2,152,66,24,12,16,12,138,24,-1,18,-1,2,20,-1,286,8,-1,-1,0,0,0,18,-1,-1,14,58,46,20,8,0,74,-1,-1,14,2,0,20,30,4,-1,-1,0,24,6,188,18,16,14,0,-1,-1,30,0,2,162,54,-1,-1,-1,98,-1,-1,28,0,12,40,-1,-1,36,-1,2,-1,84,-1,28,62,-1,84,14,-1,-1,146,-1,-1,-1,-1,10,4,2,38,196,-1,-1,-1,2,-1,96,-1,68,0,72,-1,-1,0,20,-1,-1,-1,6,-1,-1,0,-1,-1,104,-1,-1,-1,22,-1,24,-1,-1,6,-1,30,98,-1,0,2,4,132,54,-1,-1,-1,858,0,0,2,-1,-1,-1,-1,8,6,-1,16,-1,74,-1,-1,0,-1,30,-1,-1,-1,-1,-1,2,12,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,172,-1,-1,-1,296,54,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1
-1,8,18,-1,0,60,298,36,0,1598,6,-1,-1,26,-1,34,6,20,16,52,-1,-1,16,-1,-1,-1,8,18,10,-1,2,24,0,50,50,-1,18,8,16,6,0,116,16,36,12,-1,78,2,4,20,-1,0,0,-1,22,20,26,24,8,42,-1,148,-1,22,10,-1,88,-1,-1,-1,-1,72,20,184,42,44,10,6,0,250,14,-1,14,-1,2,12,-1,258,0,-1,-1,0,0,0,30,-1,-1,8,46,50,6,16,2,100,-1,-1,0,12,2,58,40,12,-1,-1,80,20,2,204,8,26,8,0,-1,-1,40,0,4,404,26,-1,-1,-1,70,-1,-1,26,0,70,82,-1,-1,128,-1,0,-1,28,-1,0,42,-1,54,128,-1,-1,110,-1,-1,-1,-1,16,12,14,60,128,-1,-1,-1,10,-1,50,-1,114,24,58,-1,-1,2,28,-1,-1,-1,28,-1,-1,0,-1,-1,120,-1,-1,-1,60,-1,148,-1,-1,8,-1,28,-1,-1,2,0,2,-1,-1,-1,-1,-1,846,0,38,26,-1,-1,-1,-1,12,-1,-1,0,-1,130,-1,-1,6,-1,174,-1,-1,-1,-1,-1,20,12,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,222,-1,-1,-1,242,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,40,-1,2,36,92,2,12,512,4,-1,-1,12,-1,40,12,32,20,142,-1,-1,46,-1,-1,-1,0,36,4,-1,0,0,6,34,40,-1,18,10,20,14,0,80,36,56,0,-1,90,0,24,24,-1,0,6,-1,4,34,24,10,6,32,-1,120,-1,18,30,-1,18,-1,-1,-1,-1,180,6,78,112,4,18,0,0,116,0,-1,2,-1,0,14,-1,224,2,-1,-1,0,12,0,0,-1,-1,12,38,46,28,0,32,102,-1,-1,12,16,0,42,88,0,-1,-1,188,24,0,266,22,14,10,12,-1,-1,32,0,2,370,74,-1,-1,-1,56,-1,-1,26,0,60,18,-1,-1,82,-1,2,-1,28,-1,18,68,-1,-1,68,-1,-1,102,-1,-1,-1,-1,20,0,44,54,44,-1,-1,-1,2,-1,56,-1,204,0,152,-1,-1,8,24,-1,-1,-1,66,-1,-1,0,-1,-1,120,-1,-1,-1,40,-1,338,-1,-1,2,-1,28,-1,-1,0,4,28,-1,-1,-1,-1,-1,-1,14,30,8,-1,-1,-1,-1,16,-1,-1,16,-1,26,-1,-1,6,-1,52,-1,-1,-1,-1,-1,28,10,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,162,-1,-1,-1,244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,62,-1,0,96,218,0,26,318,0,-1,-1,12,-1,18,8,96,14,-1,-1,-1,6,-1,-1,-1,2,30,4,-1,0,6,0,16,44,-1,16,12,2,2,0,126,28,68,6,-1,48,2,6,12,-1,2,0,-1,4,10,32,28,2,4,-1,220,-1,8,14,-1,22,-1,-1,-1,-1,168,2,84,36,18,18,18,0,236,4,-1,4,-1,10,12,-1,250,28,-1,-1,8,0,0,0,-1,-1,6,60,136,22,0,4,202,-1,-1,8,12,0,42,52,2,-1,-1,160,30,0,84,16,22,6,2,-1,-1,24,0,0,434,54,-1,-1,-1,78,-1,-1,12,0,-1,34,-1,-1,80,-1,0,-1,30,-1,4,10,-1,-1,26,-1,-1,108,-1,-1,-1,-1,22,0,20,32,106,-1,-1,-1,2,-1,82,-1,60,2,68,-1,-1,8,30,-1,-1,-1,128,-1,-1,0,-1,-1,126,-1,-1,-1,10,-1,-1,-1,-1,0,-1,68,-1,-1,0,2,0,-1,-1,-1,-1,-1,-1,0,22,22,-1,-1,-1,-1,30,-1,-1,16,-1,38,-1,-1,0,-1,28,-1,-1,-1,-1,-1,36,12,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,136,-1,-1,-1,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,54,-1,8,34,154,0,2,416,20,-1,-1,16,-1,54,4,242,32,-1,-1,-1,10,-1,-1,-1,0,6,14,-1,0,34,0,18,48,-1,12,12,10,12,0,46,30,64,4,-1,74,8,8,42,-1,0,2,-1,30,48,24,24,12,18,-1,232,-1,22,14,-1,22,-1,-1,-1,-1,-1,0,134,64,20,10,16,12,230,4,-1,12,-1,0,30,-1,304,0,-1,-1,6,0,0,0,-1,-1,16,62,62,4,6,2,144,-1,-1,14,16,0,60,-1,2,-1,-1,122,42,0,162,20,30,16,16,-1,-1,20,0,6,206,26,-1,-1,-1,78,-1,-1,6,0,-1,22,-1,-1,40,-1,16,-1,44,-1,2,72,-1,-1,40,-1,-1,0,-1,-1,-1,-1,36,6,2,42,128,-1,-1,-1,6,-1,50,-1,104,6,120,-1,-1,8,48,-1,-1,-1,6,-1,-1,2,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,0,-1,16,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,4,14,-1,-1,-1,-1,14,-1,-1,14,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,26,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,130,-1,-1,-1,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,68,-1,2,4,110,0,0,338,12,-1,-1,6,-1,10,24,106,10,-1,-1,-1,2,-1,-1,-1,4,12,0,-1,2,60,0,32,40,-1,6,8,2,12,2,74,20,22,0,-1,106,0,16,-1,-1,0,0,-1,6,8,2,66,2,4,-1,264,-1,4,16,-1,166,-1,-1,-1,-1,-1,2,138,100,6,0,14,0,180,4,-1,6,-1,0,4,-1,324,6,-1,-1,4,2,0,4,-1,-1,10,48,16,10,4,0,136,-1,-1,34,8,0,26,-1,0,-1,-1,96,66,0,132,10,30,10,26,-1,-1,16,2,4,-1,44,-1,-1,-1,216,-1,-1,0,2,-1,78,-1,-1,28,-1,0,-1,36,-1,16,26,-1,-1,22,-1,-1,16,-1,-1,-1,-1,12,102,0,72,52,-1,-1,-1,10,-1,80,-1,180,6,52,-1,-1,0,98,-1,-1,-1,32,-1,-1,0,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,6,-1,74,-1,-1,0,10,2,-1,-1,-1,-1,-1,-1,0,2,16,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,12,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,152,-1,-1,-1,278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,28,-1,4,8,118,0,0,628,4,-1,-1,16,-1,10,14,98,48,-1,-1,-1,2,-1,-1,-1,2,12,4,-1,26,20,0,16,122,-1,50,22,4,12,0,52,60,12,20,-1,74,0,32,-1,-1,4,0,-1,54,0,16,74,2,6,-1,174,-1,2,12,-1,32,-1,-1,-1,-1,-1,0,302,74,2,0,12,0,186,10,-1,10,-1,0,26,-1,288,36,-1,-1,10,4,0,90,-1,-1,0,12,-1,18,10,2,108,-1,-1,28,36,0,34,-1,2,-1,-1,90,34,6,120,24,30,18,0,-1,-1,10,0,2,-1,12,-1,-1,-1,50,-1,-1,12,6,-1,-1,-1,-1,52,-1,0,-1,40,-1,12,50,-1,-1,4,-1,-1,60,-1,-1,-1,-1,14,72,6,34,140,-1,-1,-1,36,-1,86,-1,112,4,28,-1,-1,0,72,-1,-1,-1,38,-1,-1,2,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,6,-1,62,-1,-1,0,2,28,-1,-1,-1,-1,-1,-1,6,2,60,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,2,18,-1,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,178,-1,-1,-1,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,70,-1,2,18,52,0,0,324,0,-1,-1,8,-1,14,28,130,46,-1,-1,-1,30,-1,-1,-1,0,14,16,-1,6,-1,0,24,92,-1,34,38,20,0,0,32,6,60,4,-1,100,0,42,-1,-1,2,6,-1,0,56,10,10,2,16,-1,106,-1,4,20,-1,12,-1,-1,-1,-1,-1,6,196,54,6,26,12,0,282,6,-1,20,-1,0,12,-1,242,56,-1,-1,16,0,0,12,-1,-1,12,0,-1,38,2,12,166,-1,-1,4,30,0,12,-1,8,-1,-1,-1,16,0,132,12,28,2,6,-1,-1,8,20,0,-1,52,-1,-1,-1,116,-1,-1,20,28,-1,-1,-1,-1,58,-1,0,-1,42,-1,4,130,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,60,38,14,52,64,-1,-1,-1,20,-1,114,-1,-1,2,86,-1,-1,0,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,10,-1,62,-1,-1,0,0,2,-1,-1,-1,-1,-1,-1,2,8,26,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,158,-1,-1,-1,456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,84,-1,2,38,46,112,2,444,12,-1,-1,38,-1,52,26,134,24,-1,-1,-1,2,-1,-1,-1,0,16,14,-1,26,-1,2,10,46,-1,18,6,2,8,0,62,18,30,8,-1,86,2,34,-1,-1,14,0,-1,4,16,24,-1,10,6,-1,142,-1,0,30,-1,6,-1,-1,-1,-1,-1,4,190,114,10,22,14,0,134,4,-1,10,-1,6,104,-1,312,8,-1,-1,-1,0,0,50,-1,-1,0,10,-1,6,0,0,122,-1,-1,4,6,6,182,-1,8,-1,-1,-1,42,0,42,12,22,2,2,-1,-1,20,2,0,-1,50,-1,-1,-1,106,-1,-1,52,0,-1,-1,-1,-1,200,-1,4,-1,20,-1,0,108,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,18,14,0,26,172,-1,-1,-1,10,-1,68,-1,-1,2,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,28,-1,36,-1,-1,0,2,2,-1,-1,-1,-1,-1,-1,0,12,10,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,2,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,6,66,-1,2,44,114,0,8,370,-1,-1,-1,46,-1,14,4,100,118,-1,-1,-1,26,-1,-1,-1,6,20,24,-1,8,-1,-1,2,78,-1,24,14,14,2,20,70,6,24,2,-1,-1,0,6,-1,-1,0,0,-1,6,18,2,-1,6,12,-1,124,-1,4,8,-1,28,-1,-1,-1,-1,-1,14,158,112,-1,44,12,0,-1,0,-1,4,-1,0,74,-1,310,6,-1,-1,-1,0,0,14,-1,-1,2,4,-1,6,0,2,-1,-1,-1,34,0,0,24,-1,8,-1,-1,-1,10,0,74,4,24,4,28,-1,-1,34,0,6,-1,60,-1,-1,-1,72,-1,-1,8,6,-1,-1,-1,-1,148,-1,12,-1,60,-1,0,78,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,78,36,0,28,-1,-1,-1,-1,6,-1,76,-1,-1,0,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,6,-1,42,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,2,10,12,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,2,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
