openwebbeans,jena,shindig,sanselan,skywalking,wave,tajo,ratis,mrunit,hama,datasketches,awf,tamaya,ambari,singa,guacamole,tashi,shardingsphere,myriad,sis,airflow,daffodil,cordova,photark,asterixdb,amaterasu,helix,river,batchee,deltacloud,gearpump,pinot,droids,jspwiki,twill,kato,systemml,clerezza,horn,wink,s4,graffito,juneau,gossip,odf,mesos,curator,blur,imperius,bval,lucy,nifi,predictionio,knox,usergrid,taverna,ariatosca,madlib,hawq,jackrabbit,juice,climate,sentry,echarts,zeta,shiro,vcl,cotton,pulsar,jclouds,trafficcontrol,htrace,kafka,yoko,tephra,hise,solr,bookkeeper,npanday,samoa,joshua,uima,brooklyn,servicecomb,adffaces,trafodion,libcloud,wicket,vxquery,tinkerpop,johnzon,falcon,slider,carbondata,fluo,iotdb,stdcxx,rya,openwhisk,directory,kitty,edgent,warble,openmeetings,allura,unomi,gobblin,bigtop,kalumet,nuvem,empire,oodt,tika,bluesky,roller,olio,quickstep,click,xmlbeans,devicemap,mod_ftp,abdera,felix,isis,datafu,gora,openaz,wookie,oltu,marmotta,esme,superset,metron,deltaspike,etch,s2graph,pig,mnemonic,heraldry,bloodhound,stratos,derby,chukwa,dolphinscheduler,sling,agila,drill,sirona,ignite,zeppelin,pdfbox,plc4x,lokahi,omid,ant,lucenenet,triplesoup,synapse,flume,mrql,griffin,aurora,iceberg,apisix,celix,iota,freemarker,geode,ace,any23,mynewt,weex,ibatis,harmony,druid,kylin,directmemory,atlas,spark,groovy,rocketmq,qpid,lenya,geronimo,commonsrdf,stonehenge,rcf,netbeans,dubbo,giraph,tuscany,beam,cmda,oozie,tez,couchdb,ripple,streams,manifoldcf,stanbol,whirr,ranger,impala,cxf,activemq,hudi,hdt,nmaven,cassandra,fineract,pubscribe,thrift,trafficserver,parquet,rave,openjpa,pirk,airavata,cloudstack,olingo,alois,apex,commons,samza,ivy,ftpserver,metamodel,buildr,eagle,crunch,aries,pivot,hcatalog,kudu,provisionr,ode,accumulo,calcite,socialsite,openoffice,tvm,servicemix,xap,concerted,depot,jdo,ctakes,onami,corinthia,syncope,sqoop,myfaces,lens,nutch,flink,opennlp,struts,muse,beehive,storm,reef,chemistry,cayenne,flex,ofbiz,spamassassin,juddi,zipkin,phoenix,tapestry,subversion,kabuki
-1,-1,398,40,-1,110,-1,18,-1,16,130,-1,46,128,8,238,6,-1,12,2,670,26,-1,40,-1,8,-1,4,12,-1,26,68,26,172,50,2,-1,46,2,22,78,56,-1,6,52,56,-1,30,14,44,86,-1,-1,-1,52,84,14,200,412,-1,0,-1,82,106,24,138,132,-1,-1,-1,216,30,-1,32,4,12,-1,-1,2,8,30,198,-1,-1,-1,160,-1,-1,0,-1,10,132,32,-1,-1,170,28,50,384,-1,18,14,2,-1,92,6,16,-1,0,6,22,-1,-1,52,324,32,46,-1,-1,14,-1,158,296,24,16,-1,-1,36,72,-1,32,56,-1,-1,12,2,-1,62,-1,-1,-1,-1,48,-1,358,14,140,8,-1,-1,170,-1,40,2,136,-1,-1,-1,-1,2,60,-1,-1,-1,26,0,68,-1,28,-1,94,126,-1,-1,128,-1,-1,130,-1,-1,-1,332,-1,-1,18,84,-1,1008,-1,-1,724,-1,0,-1,-1,-1,32,46,38,322,-1,122,338,716,-1,-1,14,28,-1,-1,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,324,590,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,238,-1,-1,70,-1,38,-1,46,-1,-1,60,110,4,-1,0,-1,10,8,374,38,-1,60,-1,6,-1,168,0,-1,16,10,10,176,36,8,-1,40,20,32,70,78,-1,0,70,60,-1,36,14,34,-1,-1,-1,-1,170,80,44,46,214,-1,6,-1,122,102,14,110,56,-1,-1,-1,-1,10,-1,-1,16,0,-1,-1,20,24,8,194,-1,-1,-1,348,-1,-1,0,-1,38,-1,52,-1,-1,226,42,92,268,-1,0,26,0,-1,-1,16,8,-1,2,10,22,-1,-1,50,-1,44,10,-1,-1,24,-1,106,-1,68,14,-1,-1,48,52,-1,52,38,-1,-1,8,28,-1,-1,-1,-1,-1,-1,40,-1,-1,14,190,6,-1,-1,-1,-1,2,0,104,-1,-1,-1,-1,16,132,-1,-1,-1,10,112,60,-1,54,-1,-1,16,-1,-1,230,-1,-1,206,-1,-1,-1,460,-1,-1,-1,2,-1,1182,-1,-1,680,-1,-1,-1,-1,-1,6,52,28,270,-1,210,804,-1,-1,-1,6,28,-1,-1,-1,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,254,-1,-1,98,-1,30,-1,30,-1,-1,26,120,6,-1,2,-1,4,18,430,24,-1,16,-1,0,-1,526,8,-1,0,20,6,118,20,2,-1,36,-1,38,110,6,-1,38,34,46,-1,38,28,-1,-1,-1,-1,-1,-1,72,-1,-1,248,-1,16,-1,96,68,-1,140,78,-1,-1,-1,-1,38,-1,-1,14,0,-1,-1,0,22,14,134,-1,-1,-1,162,-1,-1,0,-1,-1,-1,34,-1,-1,-1,60,78,128,-1,-1,8,0,-1,-1,16,18,-1,8,12,14,-1,-1,16,-1,6,14,-1,-1,10,-1,134,-1,24,28,-1,-1,30,12,-1,48,214,-1,-1,70,12,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,386,10,-1,-1,-1,-1,24,14,120,-1,-1,-1,-1,16,-1,-1,-1,-1,12,6,20,-1,62,-1,-1,44,-1,-1,-1,-1,-1,228,-1,-1,-1,254,-1,-1,-1,2,-1,1196,-1,-1,510,-1,-1,-1,-1,-1,48,40,46,-1,-1,160,-1,-1,-1,-1,30,52,-1,-1,-1,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,244,-1,-1,88,-1,30,-1,42,-1,-1,28,144,0,-1,18,-1,18,68,588,36,-1,22,-1,-1,-1,106,24,-1,12,12,108,104,6,0,-1,26,-1,24,10,40,-1,6,28,80,-1,34,24,-1,-1,-1,-1,-1,-1,76,-1,-1,70,-1,4,-1,76,44,-1,154,60,-1,-1,-1,-1,16,-1,-1,4,6,-1,-1,4,14,22,180,-1,-1,-1,200,-1,-1,8,-1,-1,-1,16,-1,-1,-1,40,78,146,-1,-1,24,0,-1,-1,18,26,-1,4,6,28,-1,-1,8,-1,14,22,-1,-1,6,-1,80,-1,66,2,-1,-1,52,24,-1,-1,150,-1,-1,38,0,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,452,18,-1,-1,-1,-1,2,10,104,-1,-1,-1,-1,14,-1,-1,-1,-1,26,-1,22,-1,36,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,342,-1,-1,-1,32,-1,1160,-1,-1,340,-1,-1,-1,-1,-1,60,32,36,-1,-1,146,-1,-1,-1,-1,-1,-1,-1,-1,-1,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,52,-1,64,-1,16,-1,-1,28,-1,0,-1,20,-1,88,26,550,66,-1,14,-1,-1,-1,212,24,-1,10,0,26,78,38,0,-1,36,-1,32,18,36,-1,46,40,134,-1,24,2,-1,-1,-1,-1,-1,-1,22,-1,-1,176,-1,-1,-1,138,54,-1,146,152,-1,-1,-1,-1,8,-1,-1,10,-1,-1,-1,8,8,18,132,-1,-1,-1,162,-1,-1,0,-1,-1,-1,66,-1,-1,-1,62,42,146,-1,-1,14,0,-1,-1,8,16,-1,6,2,18,-1,-1,22,-1,2,6,-1,-1,34,-1,48,-1,-1,6,-1,-1,42,48,-1,-1,160,-1,-1,18,6,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,738,10,-1,-1,-1,-1,0,12,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,40,-1,70,-1,38,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,368,-1,-1,-1,0,-1,1048,-1,-1,490,-1,-1,-1,-1,-1,34,44,48,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,80,-1,10,-1,8,-1,-1,18,-1,0,-1,0,-1,12,40,864,46,-1,28,-1,-1,-1,86,12,-1,0,70,60,74,0,2,-1,28,-1,20,26,24,-1,-1,22,172,-1,34,40,-1,-1,-1,-1,-1,-1,52,-1,-1,74,-1,-1,-1,118,46,-1,-1,102,-1,-1,-1,-1,22,-1,-1,6,-1,-1,-1,4,10,2,96,-1,-1,-1,136,-1,-1,0,-1,-1,-1,4,-1,-1,-1,-1,78,230,-1,-1,0,-1,-1,-1,8,10,-1,0,-1,36,-1,-1,2,-1,4,4,-1,-1,34,-1,44,-1,-1,2,-1,-1,58,18,-1,-1,90,-1,-1,22,0,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,0,-1,-1,-1,-1,0,4,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,16,-1,62,-1,20,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1074,-1,-1,834,-1,-1,-1,-1,-1,42,22,-1,-1,-1,276,-1,-1,-1,-1,-1,-1,-1,-1,-1,638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,506,-1,42,-1,26,-1,-1,20,-1,2,-1,14,-1,14,74,622,24,-1,16,-1,-1,-1,260,4,-1,-1,54,42,50,46,6,-1,58,-1,20,8,-1,-1,-1,40,-1,-1,20,4,-1,-1,-1,-1,-1,-1,6,-1,-1,188,-1,-1,-1,174,120,-1,-1,156,-1,-1,-1,-1,26,-1,-1,10,-1,-1,-1,8,16,10,226,-1,-1,-1,290,-1,-1,26,-1,-1,-1,22,-1,-1,-1,-1,76,256,-1,-1,10,-1,-1,-1,14,4,-1,2,-1,24,-1,-1,2,-1,0,8,-1,-1,44,-1,-1,-1,-1,20,-1,-1,20,58,-1,-1,72,-1,-1,14,16,-1,-1,-1,-1,-1,-1,56,-1,-1,-1,-1,6,-1,-1,-1,-1,8,8,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,20,-1,-1,-1,132,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,1194,-1,-1,-1,-1,-1,-1,-1,-1,44,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,144,-1,28,-1,44,-1,-1,20,-1,0,-1,14,-1,48,-1,-1,30,-1,20,-1,-1,-1,30,0,-1,-1,186,12,62,-1,2,-1,38,-1,14,24,-1,-1,-1,30,-1,-1,4,4,-1,-1,-1,-1,-1,-1,22,-1,-1,404,-1,-1,-1,-1,186,-1,-1,48,-1,-1,-1,-1,8,-1,-1,8,-1,-1,-1,6,2,-1,194,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,18,-1,-1,-1,-1,22,-1,-1,-1,22,-1,-1,-1,22,0,-1,6,-1,22,-1,-1,8,-1,0,-1,-1,-1,42,-1,-1,-1,-1,18,-1,-1,36,-1,-1,-1,104,-1,-1,6,2,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,8,-1,-1,-1,-1,10,14,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,86,-1,86,-1,54,-1,-1,24,-1,0,-1,0,-1,14,-1,-1,32,-1,28,-1,-1,-1,190,18,-1,-1,-1,28,42,-1,6,-1,16,-1,18,-1,-1,-1,-1,22,-1,-1,22,4,-1,-1,-1,-1,-1,-1,16,-1,-1,210,-1,-1,-1,-1,120,-1,-1,92,-1,-1,-1,-1,68,-1,-1,2,-1,-1,-1,12,4,-1,206,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,40,-1,-1,-1,-1,8,-1,-1,-1,24,-1,-1,-1,18,16,-1,0,-1,6,-1,-1,0,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,42,-1,-1,-1,166,-1,-1,10,12,-1,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,2,-1,-1,-1,-1,16,4,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,438,-1,8,-1,70,-1,-1,24,-1,0,-1,8,-1,28,-1,-1,20,-1,12,-1,-1,-1,118,14,-1,-1,-1,12,36,-1,6,-1,98,-1,26,-1,-1,-1,-1,12,-1,-1,28,2,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,-1,2,-1,-1,14,-1,-1,-1,4,8,-1,116,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,26,-1,-1,-1,-1,90,-1,-1,-1,16,-1,-1,-1,54,0,-1,0,-1,34,-1,-1,50,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,44,-1,-1,-1,30,-1,-1,12,26,-1,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,158,-1,26,-1,80,-1,-1,12,-1,22,-1,12,-1,28,-1,-1,52,-1,0,-1,-1,-1,122,0,-1,-1,-1,6,20,-1,18,-1,64,-1,2,-1,-1,-1,-1,20,-1,-1,14,4,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,-1,-1,-1,-1,10,-1,-1,0,-1,-1,-1,0,2,-1,128,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,4,-1,-1,-1,-1,40,-1,-1,-1,16,-1,-1,-1,28,6,-1,0,-1,12,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,44,-1,-1,-1,92,-1,-1,0,10,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,60,-1,74,-1,78,-1,-1,38,-1,8,-1,4,-1,12,-1,-1,40,-1,0,-1,-1,-1,178,8,-1,-1,-1,4,46,-1,12,-1,-1,-1,96,-1,-1,-1,-1,32,-1,-1,18,2,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102,-1,-1,-1,-1,2,-1,-1,18,-1,-1,-1,36,10,-1,196,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,8,-1,-1,-1,-1,8,-1,-1,-1,2,-1,-1,-1,-1,30,-1,6,-1,32,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,30,-1,-1,-1,290,-1,-1,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,52,-1,48,-1,44,-1,-1,12,-1,2,-1,36,-1,0,-1,-1,76,-1,28,-1,-1,-1,100,8,-1,-1,-1,12,62,-1,0,-1,-1,-1,18,-1,-1,-1,-1,6,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,12,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,8,-1,-1,-1,-1,14,-1,-1,-1,6,-1,-1,-1,-1,14,-1,4,-1,8,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,228,-1,-1,12,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,54,-1,42,-1,26,-1,-1,16,-1,0,-1,18,-1,10,-1,-1,-1,-1,28,-1,-1,-1,76,6,-1,-1,-1,10,70,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,398,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,14,4,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,12,-1,-1,-1,-1,10,-1,-1,-1,32,-1,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,98,-1,22,-1,42,-1,-1,10,-1,8,-1,10,-1,14,-1,-1,-1,-1,38,-1,-1,-1,290,10,-1,-1,-1,14,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,22,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,-1,6,-1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,74,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,54,-1,98,-1,78,-1,-1,28,-1,20,-1,0,-1,0,-1,-1,-1,-1,16,-1,-1,-1,352,2,-1,-1,-1,6,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,4,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,12,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,18,-1,192,-1,-1,-1,-1,68,-1,32,-1,0,-1,22,-1,-1,-1,-1,20,-1,-1,-1,374,12,-1,-1,-1,18,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
